Test,Purpose,Basis,ForecastColumn,Target,Gate,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Pass
Last 45 days,Recent behavior,recent_45_day_backtest,Final_Backtest_Forecast_MWH,Recent MAE <= 3.0 MWh,mae<=3.0,1077,183.15723369668834,183.00582738315262,0.1514063135356905,2.942956347635221,3.997728930349142,1.6334874279768055,52.089136490250695,6.55259122083637,18.767181765616186,16.434814319184767,352.83,341.52439310783814,11.305606892161848,True
Seasonal rolling origins,General robustness,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,"MAE <= 4.5, MAPE <= 3.5%, abs bias <= 0.75",mae<=4.5;mape<=3.5;abs_bias<=0.75,9208,147.02737807156822,146.83398012800833,0.1933979435598535,3.775829631847225,5.186596107920703,2.5630058381592082,52.03084274543875,8.464857013845027,27.18600025578172,32.77541820133354,352.83,343.9919551940421,8.838044805957907,True
Day 1 only,Near-term operational forecast,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 3.5 MWh,mae<=3.5,576,133.62200413020835,132.31864228673504,1.3033618434732879,3.3976636677812495,4.988208883538413,2.408784093097784,53.125,8.535369165464829,20.17600826292434,15.06205876628286,333.002841,320.1045680526585,12.898272947341468,True
Days 2-3,Short weather forecast horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,1152,139.03631937760417,138.22363170400064,0.8126876736035269,3.9572692502678755,5.427970355797638,2.739416513667394,51.041666666666664,9.56401797679897,19.45523382079392,16.450013615496744,333.002841,320.421343523388,12.581497476612014,True
Days 4-7,Weather uncertainty horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,2304,144.97101395486112,144.48260174519208,0.4884122096690224,3.46665778848804,4.72180143397274,2.396122582970849,52.604166666666664,7.4715917953937385,24.304728803169382,21.696025853368525,327.308191,326.8639993730317,0.44419162696834746,True
Hot peak days,Operational risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 6.0 MWh,mae<=6.0,719,264.072132611961,263.6806458592946,0.39148675266644806,5.563111304209021,7.017376584488047,2.1440774802298637,48.817802503477054,11.991963435323798,19.20751061488903,20.389658866495807,352.83,343.9919551940421,8.838044805957907,True
Cloud/solar midday,BTM solar/cloud risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,1616,141.9577870321782,141.51777575569238,0.4400112764858238,5.089382606914603,6.82585263134284,3.6207726947825813,51.98019801980198,10.961127506805838,24.304728803169382,32.77541820133354,315.46625,311.02855884041946,4.437691159580538,True
Shoulder heat transition,Spring/fall load-response risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,693,145.27323621067822,145.6387792711471,-0.36554306046884694,3.8298042275073203,5.007357622942393,2.681552949229772,49.35064935064935,8.425766998120707,16.568682474039633,15.237505012526157,251.088633,255.7019557906771,-4.613322790677103,True
Peak window hours 14-18,Peak planning risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.5 MWh,mae<=5.5,1918,186.60138929457767,186.34163882863353,0.25975046594413814,5.117654222911651,6.686001325258311,2.925147956192548,49.89572471324296,10.935638959937274,27.18600025578172,31.312049319111793,352.83,343.9919551940421,8.838044805957907,True
