Test,Purpose,Basis,ForecastColumn,Target,Gate,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Pass
Last 45 days,Recent behavior,recent_45_day_backtest,Final_Backtest_Forecast_MWH,Recent MAE <= 3.0 MWh,mae<=3.0,1081,170.34891645420907,170.45887657283197,-0.10996011862292059,3.4027017141973794,4.788374882461854,1.9477444266303812,53.56151711378353,7.611194743023276,23.105802703082077,24.729249467373336,341.469,326.51048329553646,14.958516704463534,False
Seasonal rolling origins,General robustness,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,"MAE <= 4.5, MAPE <= 3.5%, abs bias <= 0.75",mae<=4.5;mape<=3.5;abs_bias<=0.75,7680,137.74102562838542,137.61186147199794,0.1291641563874934,3.5169745116009334,4.834739269654054,2.5483278519422012,52.083333333333336,7.756973975540177,22.5783752051654,30.763380369494286,327.308191,323.1663063739119,4.141884626088142,True
Day 1 only,Near-term operational forecast,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 3.5 MWh,mae<=3.5,480,123.59284843541667,123.5745794309268,0.018269004489870313,2.4736552238492147,3.568450711903578,1.9608052771433424,45.208333333333336,5.442463050246662,16.23847403711291,13.029101612157135,241.608383,236.4681282064874,5.140254793512611,True
Days 2-3,Short weather forecast horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,960,130.27984144270832,130.05402025231453,0.22582119039378235,3.6361121312599445,5.063230797998927,2.7402577215027235,46.041666666666664,8.660912660914697,19.428145720160842,18.265857559751254,274.743025,269.84016498409653,4.902860015903457,True
Days 4-7,Weather uncertainty horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,1920,137.75898377708333,137.54415848213128,0.2148252949520611,3.09548898095174,4.236654431967532,2.2872717421363764,51.66666666666667,6.890642052188234,17.16623927723201,18.569942030977558,327.308191,323.1663063739119,4.141884626088142,True
Hot peak days,Operational risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 6.0 MWh,mae<=6.0,430,252.0029498232558,251.2970680994846,0.7058817237712537,4.864362618091855,6.203700262988476,1.988577645670416,54.18604651162791,10.348686224177275,18.442355283322343,16.55169525723531,327.308191,323.1663063739119,4.141884626088142,True
Cloud/solar midday,BTM solar/cloud risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,1461,133.80833103490758,133.625368828477,0.18296220643058028,4.7038119640230835,6.293368548742991,3.5379430317565608,49.69199178644764,10.019527333267433,21.86371727943255,30.763380369494286,315.46625,310.70729515836064,4.758954841639365,True
Shoulder heat transition,Spring/fall load-response risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,693,145.27323621067822,145.4287723477791,-0.15553613710086317,4.390465815486516,5.666739352096462,2.996085519414042,47.61904761904761,9.504848712876425,18.59173724315417,16.1974756330104,251.088633,251.8335932328156,-0.7449602328156004,True
Peak window hours 14-18,Peak planning risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.5 MWh,mae<=5.5,1600,170.09232939875,170.20558854039118,-0.11325914164117692,4.8487430959622655,6.334802145405342,3.0338594408738793,47.75,10.351733280173516,22.5783752051654,30.714713863686825,327.308191,323.1663063739119,4.141884626088142,True
