Stage,ForecastColumn,Replay_Origin_ID,Replay_Origin_DT,Replay_Origin_Year,Replay_Origin_Season,Replay_Origin_Month,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,origin_17,2026-04-26 00:00:00-07:00,2026,Spring,4,384,127.136992640625,119.54393261671066,7.593060023914337,8.286773429294586,6.152771753657103,89.0625,17.62735994892578,25.79809214746095,9.462689456542975,10.149848287246357
xgb_component,XGB_Pred_MWH,origin_22,2026-07-07 00:00:00-07:00,2026,Summer,7,380,187.94545492105263,185.91579652083547,2.029658400217157,6.7331205719559515,3.5707611599689697,57.89473684210527,13.894085644824228,29.5129861328125,22.92158756445312,8.809568390490824
xgb_component,XGB_Pred_MWH,origin_07,2025-07-20 00:00:00-07:00,2025,Summer,7,384,157.82088622916666,151.69192397594452,6.128962253222148,6.542652024381002,4.045798161470495,89.58333333333334,13.632138964843747,22.947172282226575,7.400248591796867,8.243935227931338
xgb_component,XGB_Pred_MWH,origin_12,2025-12-06 23:00:00-08:00,2025,Winter,12,384,139.45845884114584,133.75463992357254,5.703818917573293,6.437440214992523,4.38728939096121,88.54166666666666,12.832844735937499,19.504711776367174,18.908302823242195,7.855058108582208
xgb_component,XGB_Pred_MWH,origin_21,2026-07-06 00:00:00-07:00,2026,Summer,7,380,185.74302035789472,186.08849413018478,-0.3454737722900388,6.001414127023797,3.3094833311988188,50.78947368421053,12.78983097265626,23.003516154296875,24.49696598242187,7.741033007057844
xgb_component,XGB_Pred_MWH,origin_23,2026-07-20 00:00:00-07:00,2026,Summer,7,384,200.18689673437498,196.42970422903696,3.757192505338033,5.834627311040243,2.7145384237878676,67.70833333333334,13.814659481249992,30.592865893554688,14.093300659179675,8.04301786750483
xgb_component,XGB_Pred_MWH,origin_24,2026-07-21 00:00:00-07:00,2026,Summer,7,384,200.79070704427082,197.85168290138245,2.939024142888387,5.285300757677715,2.423734374060191,65.625,13.125072984765627,30.034150073242188,17.973648071289062,7.492602578224884
xgb_component,XGB_Pred_MWH,origin_19,2026-05-28 00:00:00-07:00,2026,Spring,5,384,158.50971714583332,156.93719245990118,1.5725246859321593,4.777695713921864,3.1872195268318326,69.27083333333334,9.665823963574217,16.787839901367192,19.330152742187494,5.939182275413759
xgb_component,XGB_Pred_MWH,origin_08,2025-08-17 00:00:00-07:00,2025,Summer,8,384,187.771909734375,188.32728298505148,-0.5553732506764734,4.757702263847351,2.610221498233853,48.17708333333333,9.632389003417956,14.64617561914065,32.18580256347656,6.312942886528751
xgb_component,XGB_Pred_MWH,origin_05,2025-05-25 00:00:00-07:00,2025,Spring,5,384,153.69139593489584,155.81542295217514,-2.1240270172793068,4.738269178666433,2.9855242916544356,37.5,9.911254583789054,18.183486410156263,28.418101660156253,6.4752039520312366
xgb_component,XGB_Pred_MWH,origin_16,2026-03-29 00:00:00-07:00,2026,Spring,3,384,120.51718188281251,117.43104036649068,3.086141516321818,4.662719578231811,3.7080152743866326,76.04166666666666,10.68994180302734,21.321071997070305,13.205558300781249,6.229713783607597
xgb_component,XGB_Pred_MWH,origin_20,2026-05-29 00:00:00-07:00,2026,Spring,5,384,163.7729361171875,162.71181440353394,1.061121713653564,4.639284899294535,3.049670705970114,65.10416666666666,9.475054864550781,17.379407894531255,18.88480972460937,5.8258034779394166
xgb_component,XGB_Pred_MWH,origin_18,2026-05-24 00:00:00-07:00,2026,Spring,5,384,142.90284213541665,141.8494600454966,1.0533820899200441,4.381470501118977,3.220672918949644,65.88541666666666,9.18611829980468,17.98380852929688,22.509977571289056,5.592493689416386
xgb_component,XGB_Pred_MWH,origin_11,2025-11-08 23:00:00-08:00,2025,Fall,11,384,122.29222068489582,118.49628063042958,3.795940054466248,4.350850421696981,3.386815643273025,87.76041666666666,8.815804774902343,23.973560311523443,7.785343017578128,5.661603100325537
