ForecastColumn,RankBasis,Month,Forecast_Day_Bucket,Peak_Hour_Band,DailyMaxTempBiasBand,CloudCoverBiasBand,LagAnchorState,N,Residual_Sum_MWH,Positive_Residual_Sum_MWH,Negative_Residual_Sum_MWH,Bias_MWH,MAE_MWH,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Mean_MWH,Forecast_Mean_MWH,Raw_Bias_MWH,Raw_Residual_Sum_MWH,Mean_RawMinusSameHour7_MWH,Mean_Lag24MinusSameHour7_MWH,RMSE_MWH,Abs_Residual_Sum_MWH,Bias_Delta_vs_Raw_MWH
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE16-18,98-100,Clear/Low,<-10,8,97.70913724921905,97.70913724921905,0.0,12.213642156152382,12.213642156152382,100.0,26.31469930765955,27.667934304564085,-2.031526254087055,285.260912375,273.04727021884764,17.579777976832947,140.63822381466358,-20.872702680064695,-10.707341832709446,16.51352241066217,97.70913724921905,-5.366135820680565
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,11,Days8-16,HE16-18,<75,Overcast,-10..10,33,83.40585719842906,112.05453840138117,-28.648681202952105,2.5274502181342138,4.263733927404038,63.63636363636363,8.782296800420534,13.280108730381244,5.691501985008671,146.173408969697,143.64595875156274,11.973713562350932,395.1325475575808,1.1344151942647889,-0.5491231202074247,5.272724298227835,83.40585719842906,-9.446263344216717
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,2,Days8-16,HE16-18,<75,Overcast,-10..10,22,75.8171337792871,92.61153073086345,-16.794396951576346,3.4462333536039593,4.972996712838173,81.81818181818183,12.091526476517647,17.894393316934043,7.025301303636098,144.5913370909091,141.14510373730513,13.984687365340532,307.6631220374917,-2.0431363023295153,-3.0561478708162926,6.741219247432024,75.8171337792871,-10.538454011736572
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,6,Days8-16,HE16-18,92.5-95,Clear/Low,>50,12,70.0481057111316,70.0481057111316,0.0,5.8373421425942995,5.8373421425942995,100.0,11.451485287261335,15.636351407369517,-0.6131701519150852,250.3099109166667,244.47256877407236,11.760918609544268,141.1310233145312,70.47815939162972,49.81258148183457,7.489191663440227,70.0481057111316,-5.923576466949968
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,6,Days4-7,HE16-18,92.5-95,Overcast,>50,6,65.17631308951309,65.17631308951309,0.0,10.86271884825218,10.86271884825218,100.0,12.061296754875073,12.276958465616275,-8.823000727161144,247.41427733333333,236.55155848508116,18.495284339267386,110.97170603560431,73.29609576741142,66.8502853865088,10.93219807732205,65.17631308951309,-7.632565491015205
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,7,Days4-7,HE14-15,95-98,Clear/Low,-10..10,5,63.09009387145227,63.09009387145227,0.0,12.618018774290453,12.618018774290453,100.0,15.240598250487722,15.583420315562876,-8.590159245778835,246.2302464,233.61222762570952,16.27108500487274,81.35542502436371,-1.906028867939432,-16.266129029023215,12.921280737131262,63.09009387145227,-3.6530662305822883
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,7,Days4-7,HE16-18,85-90,Clear/Low,<-10,6,61.15187863682331,61.15187863682331,0.0,10.191979772803885,10.191979772803885,100.0,12.732041501889128,15.300473941832905,-7.849016604531641,196.64986783333333,186.45788806052943,18.114019427455187,108.68411656473111,-27.86485189538622,-26.340774594554347,10.47031905276737,61.15187863682331,-7.922039654651302
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,6,Days8-16,HE16-18,100-105,Clear/Low,>50,18,58.996855928220214,70.38549464867793,-11.38863872045772,3.2776031071233453,4.5430074093964254,66.66666666666666,11.05588526553321,11.488897194834237,3.6396965530560124,300.95936261111115,297.68175950398773,12.883839805188664,231.90911649339597,68.24658352455805,52.14348179348357,5.870354024187561,58.996855928220214,-9.606236698065318
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE16-18,105+,Clear/Low,25..50,6,58.10160386732906,58.10160386732906,0.0,9.683600644554843,9.683600644554843,100.0,11.304103651786619,11.331267936833797,-6.409868062837063,349.3093333333333,339.6257326887785,22.527006937878713,135.1620416272723,44.50821359328461,31.26257157510841,9.849489130901093,58.10160386732906,-12.84340629332387
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,2,Days8-16,HE14-15,<75,Overcast,-10..10,13,57.9663578241599,71.93983638361051,-13.973478559450612,4.4589506018584535,6.6087165340816245,69.23076923076923,13.227708242024637,16.23775022553221,8.377949347647402,126.190008,121.73105739814156,13.929440660934596,181.08272859214975,0.5548795641674207,-2.0896672032261585,8.14140335586674,57.9663578241599,-9.470490059076141
