Test,Purpose,Basis,ForecastColumn,Target,Gate,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Pass
Last 45 days,Recent behavior,recent_45_day_backtest,Final_Backtest_Forecast_MWH,Recent MAE <= 3.0 MWh,mae<=3.0,1077,184.7819700584958,183.3617381205266,1.4202319379692325,4.389199407866942,6.142557205928892,2.2551778724316627,54.967502321262764,9.993176647248037,25.97568454154606,17.71833699422038,352.83,330.07900382010337,22.750996179896617,False
Seasonal rolling origins,General robustness,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,"MAE <= 4.5, MAPE <= 3.5%, abs bias <= 0.75",mae<=4.5;mape<=3.5;abs_bias<=0.75,9208,147.027785982298,146.46117276624653,0.5666132160514861,4.7176598306513515,6.457626969358355,3.2170441934134133,52.791051259774115,10.32280241570023,35.30657769740466,34.279781262893835,352.83,342.599984387292,10.230015612707973,False
Day 1 only,Near-term operational forecast,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 3.5 MWh,mae<=3.5,576,133.62200413020835,130.52485325697197,3.0971508732363566,4.583053796461998,6.736518927631832,3.2589178431712718,62.326388888888886,11.439201154759004,30.580320040194636,7.636586770795404,333.002841,329.45589751353856,3.54694348646143,False
Days 2-3,Short weather forecast horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,1152,139.03631937760417,139.28902348511426,-0.2527041075100849,4.516060727232098,5.987843414629703,3.302040112194652,47.65625,9.530942158963486,22.70308089065557,27.019266382552217,333.002841,334.3226929243285,-1.3198519243285318,True
Days 4-7,Weather uncertainty horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,2304,144.97101395486112,144.61247781759585,0.35853613726527567,4.339956418882414,5.93350578421971,3.0420496192711406,51.90972222222222,9.540621538283768,31.991195297902124,24.218961249663536,327.308191,318.5774448783171,8.730746121682898,True
Hot peak days,Operational risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 6.0 MWh,mae<=6.0,719,264.07329501251735,261.72337372879224,2.349921283725155,7.277986540390398,9.485272014489919,2.843835520288766,58.97079276773296,15.074167377043178,35.30657769740466,25.9109977732233,352.83,342.599984387292,10.230015612707973,False
Cloud/solar midday,BTM solar/cloud risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,1616,141.9577870321782,141.217876984827,0.7399100473512327,6.580774706932516,8.545495351128103,4.7169530129170045,53.40346534653465,14.186003629458469,27.130532064646303,34.279781262893835,315.46625,299.93141092030305,15.534839079696951,True
Shoulder heat transition,Spring/fall load-response risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,693,145.27323621067822,146.14801556408764,-0.8747793534094274,5.2346473397015965,6.7441717664245,3.669799765363699,43.43434343434344,10.826460753293976,18.498058459073064,21.769289486128514,251.088633,247.89789177979702,3.190741220202966,True
Peak window hours 14-18,Peak planning risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.5 MWh,mae<=5.5,1918,186.6018328451512,185.88321084118326,0.7186220039679291,6.661504153032403,8.636660689073624,3.797178532447587,53.18039624608968,13.988505213166908,35.30657769740466,34.279781262893835,352.83,342.599984387292,10.230015612707973,False
