CreatedAtUTC,Stem,SnapshotPath,ContentHash,Rows,FirstDT,LastDT,Source
2026-07-30T18:45:16.112435+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260730_184516_f3ffd7d7c4.csv,f3ffd7d7c44218d4697ef298f3eb262f404ccf2e81ee21d61ec05dc7294a7c31,18,,,rolling_origin_replay
2026-07-30T18:45:16.146251+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260730_184516_d705f6288a.csv,d705f6288a726c6b9e7b51df258f34df815942869e89c84753c264acfabe7ac5,396,,,rolling_origin_replay
2026-07-30T18:45:16.159276+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260730_184516_8b82e819e0.csv,8b82e819e0d0f558caf5ed61f51011b2113e1d7d4477ba21f480e4c8cdcfd43f,9,,,rolling_origin_replay
2026-07-30T18:45:16.248181+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260730_184516_758d2670b6.csv,758d2670b6ca87f7796c428bd70c7905fa817ee3c02da6ec7414187c42369e3b,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-30T21:10:39.721389+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260730_211037_1ca6090a80.csv,1ca6090a80ab0cdd1c90b3562e52e8f7486c3cb6cb218ac6192254a767041cf7,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
2026-07-30T21:10:39.745451+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260730_211039_12d3b6a45e.csv,12d3b6a45ea423d791924489f11893385bc6cd4d6bf7d9cf9c2293dc9a2ba792,18,,,rolling_origin_replay
2026-07-30T21:10:39.780935+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260730_211039_35f6ac3dd7.csv,35f6ac3dd7a1bc0a02c0bddff14db7c720a72cbdd5cb67656a1b2c7f50242572,396,,,rolling_origin_replay
2026-07-30T21:10:39.794535+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260730_211039_9cc763cd15.csv,9cc763cd1523f01fd73c462e21ad53fe2dc95a4d6d527451436e29d2e3831934,9,,,rolling_origin_replay
2026-07-30T21:10:39.890613+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260730_211039_cf2eaaa508.csv,cf2eaaa508c899741e9b2e5966667c85d76e23a07939ddca283475be27cc74ae,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-30T23:52:23.207060+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260730_235220_90edfa59c2.csv,90edfa59c2545f656b709f112732ac2c4f36b25efcd9dfa65f3cef6db2edd2f6,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
