Audit,Source,N,Mean_Adjustment_MWH,MeanAbs_Adjustment_MWH,Min_Adjustment_MWH,Max_Adjustment_MWH,Before_MAE_MWH,After_MAE_MWH,Delta_MAE_MWH,Before_RMSE_MWH,After_RMSE_MWH,Delta_RMSE_MWH,Before_Bias_MWH,After_Bias_MWH,Delta_Bias_MWH,Before_P90_AbsError_MWH,After_P90_AbsError_MWH,Delta_P90_AbsError_MWH,Before_P99_AbsError_MWH,After_P99_AbsError_MWH,Delta_P99_AbsError_MWH
focused_guard_source,july_long_mild_hot_peak_soft_down+july_long_92_95_clear_high_state_hot_recovery_up,2,5.0,5.0,5.0,5.0,1.6914258951824763,5.100420251583131,3.4089943564006546,1.6944042569062026,5.373565697156141,3.6791614402499384,-0.10042025158313095,-5.100420251583131,-5.0,1.771762096448981,6.453560967729112,4.681798871280131,1.7898377417339446,6.758017628861958,4.968179887128013
focused_guard_source,july_long_mild_hot_peak_soft_down,13,-1.0,1.0,-1.0,-1.0,5.301081487152122,6.301081487152122,1.0,5.6991222531125585,6.6394395418760315,0.940317288763473,5.301081487152122,6.301081487152122,1.0,7.638729935074145,8.638729935074146,1.0000000000000009,9.166907946763402,10.166907946763402,1.0
focused_guard_source,june_long_cloudy_mild_peak_window_extra_up,12,8.0,8.0,8.0,8.0,6.630589644054903,7.301213393794882,0.6706237497399785,8.943660552546262,8.033392954696394,-0.9102675978498684,4.9658538571629025,-3.034146142837097,-8.0,16.25490237746537,10.745028754610123,-5.509873622855247,17.895376790328616,12.95772985925928,-4.937646931069336
focused_guard_source,june_long_hot_100_105_morning_ramp_up,12,2.0,2.0,2.0,2.0,4.315343824539364,4.98201049120603,0.6666666666666661,4.79401006399245,5.306739710384074,0.512729646391624,-0.2947384650265879,-2.294738465026588,-2.0,6.969612282389844,7.198329458448197,0.2287171760583533,7.877946266634109,7.799883656674527,-0.07806260995958247
focused_guard_source,june_long_90_95_cloudy_peak_extra_up,6,6.0,6.0,6.0,6.0,6.137006658110546,6.587724605148267,0.45071794703772117,10.61114782107811,8.832174744948178,-1.7789730761299314,5.882428946289191,-0.1175710537108093,-6.0,14.39634510699858,13.08709689488822,-1.3092482121103615,24.309049099581,18.778124278369962,-5.530924821211038
focused_guard_source,july_warm_partly_cloudy_overnight_lift,5,4.0,4.0,4.0,4.0,2.3142581614274405,2.704901861072557,0.39064369964511636,3.1940226745440965,2.772672998043997,-0.4213496765000997,2.3142581614274405,-1.6857418385725567,-3.9999999999999973,4.645292343000818,3.3932480173952997,-1.2520443256055187,6.3576392849250825,3.8184308082382934,-2.539208476686789
focused_guard_source,june_recent_85_93_clear_afternoon_backoff,41,-3.0,3.0,-3.0,-3.0,3.9959717762832923,4.367680187019915,0.37170841073662286,5.126810424084914,5.467189634793911,0.34037921070899735,-0.8990037702846244,2.1009962297153764,3.000000000000001,8.679421561810244,10.217954380076804,1.5385328182665603,11.608237889796987,11.855646687374525,0.2474087975775383
focused_guard_source,shoulder_heat_days2to7_bias_up,242,2.0,2.0,2.0,2.0,4.54156315271124,4.64192129173799,0.10035813902675006,5.77514962837546,5.7595294130264465,-0.015620215349013478,1.0450435426521123,-0.9549564573478879,-2.0,9.605089162450772,9.547340823912185,-0.05774833853858752,13.022827976002302,13.586912909896885,0.5640849338945824
focused_guard_source,july_long_95_98_peak_recovery_up+july_long_95_98_low_state_peak_backoff,4,4.0,4.0,4.0,4.0,5.35297357105258,5.428309977609011,0.07533640655643126,5.778944339963394,6.368989304244147,0.5900449642807528,1.104021615852325,-2.895978384147675,-4.0,7.768770201844391,8.447379134451513,0.6786089326071219,8.935073888414843,8.715255826440709,-0.21981806197413434
focused_guard_source,shoulder_heat_days8to16_bias_up+may_long_85_93_early_peak_recovery_up,12,7.25,7.25,7.25,7.25,5.822301078718862,5.834549439418506,0.012248360699643968,7.070168731665888,6.791104410044169,-0.27906432162171857,3.891771502489977,-3.358228497510023,-7.25,10.418954921614844,9.481239964761173,-0.9377149568536716,11.074156897508573,9.989090896951824,-1.0850660005567487
