Stage,ForecastColumn,Replay_Origin_ID,Replay_Origin_DT,Replay_Origin_Year,Replay_Origin_Season,Replay_Origin_Month,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,origin_17,2026-04-26 00:00:00-07:00,2026,Spring,4,384,127.136992640625,118.67597874005635,8.461013900568643,8.919171906364442,6.582434079344711,91.40625,19.26124052197265,27.91602732812501,7.456776208496095,10.993232863414784
xgb_component,XGB_Pred_MWH,origin_22,2026-07-07 00:00:00-07:00,2026,Summer,7,380,187.76115744473682,185.3359754060444,2.4251820386924345,6.916420054510177,3.628953378870022,61.05263157894737,14.87515844726562,31.16191210937501,21.41914615820312,8.846779268958645
xgb_component,XGB_Pred_MWH,origin_07,2025-07-20 00:00:00-07:00,2025,Summer,7,384,157.82088622916666,152.01135396957397,5.809532259592692,6.332697640566508,3.952647771534471,87.76041666666666,14.068592519531254,26.098539469726575,6.425366169921887,7.987908095469273
xgb_component,XGB_Pred_MWH,origin_21,2026-07-06 00:00:00-07:00,2026,Summer,7,380,185.56355498947372,183.43697720577842,2.1265777836952613,6.167547510545591,3.308807708482861,62.36842105263158,12.6626857241211,24.532843546875,22.152163125976557,7.914323305444012
xgb_component,XGB_Pred_MWH,origin_12,2025-12-06 23:00:00-08:00,2025,Winter,12,384,139.45845884114584,134.05264111359915,5.405817727546691,6.109360090337117,4.1534511716822555,89.0625,12.880312533203135,19.462512760742186,21.587761441406258,7.627189403033091
xgb_component,XGB_Pred_MWH,origin_13,2026-01-03 23:00:00-08:00,2026,Winter,1,384,128.126853875,124.12664979696274,4.000204078037262,4.849984081851959,3.706307553373337,85.67708333333334,10.194538458496098,19.334413126953137,10.755670828613276,6.084533852312925
xgb_component,XGB_Pred_MWH,origin_19,2026-05-28 00:00:00-07:00,2026,Spring,5,384,158.50971714583332,156.95732750495276,1.5523896408805846,4.823755563737232,3.230484491930273,68.75,9.756554195556634,17.642339718261724,24.42907547167968,6.0261609600908885
xgb_component,XGB_Pred_MWH,origin_18,2026-05-24 00:00:00-07:00,2026,Spring,5,384,142.90284213541665,140.9065348704656,1.99630726495107,4.7664193021545405,3.537994952193807,71.875,10.014820090429676,18.015829098144536,23.90576004199218,6.010812283347004
xgb_component,XGB_Pred_MWH,origin_08,2025-08-17 00:00:00-07:00,2025,Summer,8,384,187.771909734375,188.3543120622635,-0.5824023278884892,4.703557872779846,2.5846095506615065,48.69791666666667,9.423494745019545,16.946047363281252,31.04732905273437,6.198077860961166
xgb_component,XGB_Pred_MWH,origin_20,2026-05-29 00:00:00-07:00,2026,Spring,5,384,163.7729361171875,162.2256464958191,1.5472896213684078,4.666376881441751,3.005505245219464,67.70833333333334,9.377477200878909,17.250269059570314,21.248182527343744,5.90954455825014
xgb_component,XGB_Pred_MWH,origin_16,2026-03-29 00:00:00-07:00,2026,Spring,3,384,120.51718188281251,117.55713433027267,2.9600475525398253,4.579006690522512,3.676547611537474,76.30208333333334,9.881757321875009,23.790874853515618,11.928382397460936,5.942435354141433
xgb_component,XGB_Pred_MWH,origin_11,2025-11-08 23:00:00-08:00,2025,Fall,11,384,122.29222068489582,118.43171723683675,3.8605034480590823,4.484633405176798,3.4961184880243352,86.71875,8.52721747031251,24.953250863281255,9.535251464843753,5.8700304773113885
xgb_component,XGB_Pred_MWH,origin_10,2025-10-12 00:00:00-07:00,2025,Fall,10,384,118.67937204947917,114.923493206501,3.7558788429781593,4.294113950814565,3.5410995287122407,89.0625,7.636040172753905,14.724521842773441,6.785802465820311,5.032787908834787
xgb_component,XGB_Pred_MWH,origin_05,2025-05-25 00:00:00-07:00,2025,Spring,5,384,153.69139593489584,155.3051970998446,-1.6138011649487811,4.199998118137359,2.7013589984727973,37.5,9.042128317675775,20.004292960937505,26.66217866992187,5.843407156288806
xgb_component,XGB_Pred_MWH,origin_14,2026-01-31 23:00:00-08:00,2026,Winter,1,384,120.6618153359375,117.23115479946136,3.4306605364761356,4.14578359337616,3.294514710621644,83.85416666666666,9.371841138964852,24.722901180664053,8.06892464160157,5.911480912346737
xgb_component,XGB_Pred_MWH,origin_04,2025-04-27 00:00:00-07:00,2025,Spring,4,384,121.913576171875,123.88204437494278,-1.9684682030677794,4.01705931280899,3.2138211038249604,42.44791666666667,8.595261159570315,18.9945223388672,18.638252107421863,5.315899437145263
xgb_component,XGB_Pred_MWH,origin_06,2025-06-22 00:00:00-07:00,2025,Summer,6,384,168.52844033593752,167.4903840223948,1.0380563135426841,3.9329301212158208,2.359871439014509,58.59375,8.935998765917958,14.793698803710924,19.604992749023438,5.214920677215725
xgb_component,XGB_Pred_MWH,origin_15,2026-02-28 23:00:00-08:00,2026,Winter,2,384,115.88717167708334,112.75635981559753,3.130811861485799,3.8917839288279215,3.301395461516073,82.55208333333334,7.058632576855464,11.832744735351568,9.291411905273435,4.652520199999784
xgb_component,XGB_Pred_MWH,origin_03,2025-03-30 00:00:00-07:00,2025,Spring,3,384,111.3258731328125,108.96723548571269,2.358637647099813,3.879830694897969,3.4223353391795652,74.21875,7.490973497265629,17.4801451015625,9.716365698242186,4.85331553502081
xgb_component,XGB_Pred_MWH,origin_09,2025-09-14 00:00:00-07:00,2025,Summer,9,384,162.83103684895835,163.1547555923462,-0.3237187433878574,3.821983935348511,2.35981475925776,55.729166666666664,7.672332263671865,10.133071801757808,35.63123605078124,5.883970669971458
xgb_component,XGB_Pred_MWH,origin_02,2024-11-09 23:00:00-08:00,2024,Fall,11,384,116.68925462760417,114.44138316313426,2.24787146446991,3.7465087396189376,3.0657190781168744,72.91666666666666,8.232189315234375,14.391281258789064,12.059415625,4.81498462089801
xgb_component,XGB_Pred_MWH,origin_01,2024-10-13 00:00:00-07:00,2024,Fall,10,384,116.30257716666667,117.40668040513992,-1.1041032384732563,3.2899548851661677,2.891912144328406,30.729166666666668,6.295998099951177,12.834599584960927,14.60965652636719,4.058134854050844
lgb_component,LGB_Pred_MWH,origin_17,2026-04-26 00:00:00-07:00,2026,Spring,4,384,127.136992640625,118.64883085090172,8.488161789723295,8.958298521766654,6.602776518131356,91.40625,19.121594638740657,28.36461060501827,7.866464993658113,11.057856792501605
lgb_component,LGB_Pred_MWH,origin_22,2026-07-07 00:00:00-07:00,2026,Summer,7,380,187.76115744473682,185.46568144761721,2.29547599711961,6.7687456124276375,3.567168369315704,59.73684210526316,13.943321024508721,31.506332945954625,22.107525019435258,8.688002163164208
lgb_component,LGB_Pred_MWH,origin_07,2025-07-20 00:00:00-07:00,2025,Summer,7,384,157.82088622916666,151.96728090959314,5.8536053195735205,6.409964126154928,4.005719422088855,88.54166666666666,14.23940468129346,24.14241984787685,8.28245872583443,8.051761576134533
lgb_component,LGB_Pred_MWH,origin_21,2026-07-06 00:00:00-07:00,2026,Summer,7,380,185.56355498947372,183.38017460653668,2.183380382937001,6.200831740723611,3.3163096316206366,63.1578947368421,13.299853718056292,25.126129498485625,24.33330391219468,7.998763535873916
lgb_component,LGB_Pred_MWH,origin_12,2025-12-06 23:00:00-08:00,2025,Winter,12,384,139.45845884114584,134.05651383643138,5.401945004714455,6.137471463332708,4.163551084418337,88.54166666666666,13.258025127218616,19.23174506695827,21.963215065914113,7.677944732036911
lgb_component,LGB_Pred_MWH,origin_13,2026-01-03 23:00:00-08:00,2026,Winter,1,384,128.126853875,124.0882148088922,4.038639066107791,4.86369092843507,3.717293290922219,85.41666666666666,10.233750769690102,19.50438876858273,11.034693091456049,6.112126701267489
lgb_component,LGB_Pred_MWH,origin_19,2026-05-28 00:00:00-07:00,2026,Spring,5,384,158.50971714583332,157.0274412106493,1.4822759351840313,4.7813978143708775,3.1946265136552303,68.48958333333334,9.580884105225504,16.642376348510425,22.94172825756212,6.010185811741672
lgb_component,LGB_Pred_MWH,origin_18,2026-05-24 00:00:00-07:00,2026,Spring,5,384,142.90284213541665,140.9666711972208,1.9361709381958674,4.758982418713633,3.521944228983022,70.3125,10.282547680138128,16.656109845095585,22.08757182812127,6.01886415434026
lgb_component,LGB_Pred_MWH,origin_08,2025-08-17 00:00:00-07:00,2025,Summer,8,384,187.771909734375,188.42903445170535,-0.6571247173303619,4.727763358986134,2.620721674480941,48.69791666666667,9.776473087961257,15.805611304311753,31.62992694218039,6.324900693469339
lgb_component,LGB_Pred_MWH,origin_16,2026-03-29 00:00:00-07:00,2026,Spring,3,384,120.51718188281251,117.50557747526945,3.0116044075430572,4.655798424104947,3.7434837424412613,76.04166666666666,9.57678995804029,23.18033925094899,11.975093011918034,5.959112371168582
lgb_component,LGB_Pred_MWH,origin_20,2026-05-29 00:00:00-07:00,2026,Spring,5,384,163.7729361171875,162.37524365187687,1.3976924653106242,4.637348121543983,2.984712482537472,64.0625,9.195018478191328,16.532119883912287,20.31163655635865,5.877986540940274
lgb_component,LGB_Pred_MWH,origin_11,2025-11-08 23:00:00-08:00,2025,Fall,11,384,122.29222068489582,118.41234436154552,3.8798763233503077,4.5158065807694445,3.526417204497557,85.9375,8.739291517634978,23.130013480555874,9.998699077787435,5.902165350265173
lgb_component,LGB_Pred_MWH,origin_10,2025-10-12 00:00:00-07:00,2025,Fall,10,384,118.67937204947917,114.8771404327609,3.8022316167182613,4.332064652124822,3.572707881456133,90.10416666666666,7.551951771432996,13.672337385203747,6.9747454048134045,5.0264063832113335
lgb_component,LGB_Pred_MWH,origin_05,2025-05-25 00:00:00-07:00,2025,Spring,5,384,153.69139593489584,155.2416990420722,-1.5503031071763838,4.274113186548642,2.7479488413616484,39.0625,8.974199970581203,17.86623152856137,25.10962682380284,5.821505662197412
lgb_component,LGB_Pred_MWH,origin_14,2026-01-31 23:00:00-08:00,2026,Winter,1,384,120.6618153359375,117.17648714902867,3.4853281869088346,4.213673848836286,3.3537178969123738,85.67708333333334,9.29708161911502,24.516000693147532,8.723399585750968,5.932478194006253
lgb_component,LGB_Pred_MWH,origin_04,2025-04-27 00:00:00-07:00,2025,Spring,4,384,121.913576171875,123.8791347473384,-1.965558575463392,3.995731894182295,3.1934500958581302,42.44791666666667,8.906293049740565,19.089880557129163,16.95031257390869,5.278282518862922
lgb_component,LGB_Pred_MWH,origin_03,2025-03-30 00:00:00-07:00,2025,Spring,3,384,111.3258731328125,108.922403591243,2.4034695415695038,3.904130458613462,3.434075633470318,73.69791666666666,7.48691455147484,17.162464425902286,8.923618141079416,4.864375246124572
lgb_component,LGB_Pred_MWH,origin_06,2025-06-22 00:00:00-07:00,2025,Summer,6,384,168.52844033593752,167.50443645932702,1.0240038766104846,3.884941196200631,2.344676762297326,58.333333333333336,8.481151242202325,15.8828388945943,19.097542817166755,5.176811127167673
lgb_component,LGB_Pred_MWH,origin_09,2025-09-14 00:00:00-07:00,2025,Summer,9,384,162.83103684895835,163.31001278581553,-0.47897593685721285,3.8760007078519116,2.3825669951240824,54.166666666666664,6.924324444748094,12.580912029745747,39.32102527528468,6.028369901028818
lgb_component,LGB_Pred_MWH,origin_15,2026-02-28 23:00:00-08:00,2026,Winter,2,384,115.88717167708334,112.7936947647919,3.0934769122914356,3.851947458664904,3.2680416979741103,82.8125,7.136150313422548,12.174063842140413,8.393187269914037,4.605123521531922
lgb_component,LGB_Pred_MWH,origin_02,2024-11-09 23:00:00-08:00,2024,Fall,11,384,116.68925462760417,114.4107164909924,2.278538136611765,3.7982880385917137,3.1107507746393144,72.39583333333334,8.27049247229187,15.804454729245009,11.629607704140426,4.849474857513023
lgb_component,LGB_Pred_MWH,origin_01,2024-10-13 00:00:00-07:00,2024,Fall,10,384,116.30257716666667,117.45667668474955,-1.1540995180828917,3.3210646861504,2.930839614551486,30.729166666666668,6.177191489528123,12.242531540801906,14.317210867004349,4.0684971388536075
catboost_benchmark,CatBoost_Pred_MWH,origin_17,2026-04-26 00:00:00-07:00,2026,Spring,4,384,127.136992640625,118.83400441985147,8.30298822077352,8.689847587964612,6.440692714267473,92.70833333333334,17.873602335903108,25.699663773874647,7.257201994084241,10.589459885572325
catboost_benchmark,CatBoost_Pred_MWH,origin_22,2026-07-07 00:00:00-07:00,2026,Summer,7,380,187.76115744473682,185.20090928211982,2.5602481626170452,6.592688907185733,3.4683282491963925,64.73684210526316,13.800401543942161,28.034252185121943,24.77176323399442,8.439353709036094
