Test,Purpose,Basis,ForecastColumn,Target,Gate,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Pass
Last 45 days,Recent behavior,recent_45_day_backtest,Final_Backtest_Forecast_MWH,Recent MAE <= 3.0 MWh,mae<=3.0,1081,156.94206458248536,157.37927946204204,-0.437214879556699,3.2125359153681687,4.36917252896485,1.9954156609538194,51.433857539315454,7.39228549192012,17.509498244530334,17.540354575240087,315.708558,306.18198689526827,9.526571104731715,False
Seasonal rolling origins,General robustness,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,"MAE <= 4.5, MAPE <= 3.5%, abs bias <= 0.75",mae<=4.5;mape<=3.5;abs_bias<=0.75,7680,137.74102562838542,137.64086268635765,0.10016294202775207,3.5101051389570412,4.816418794072852,2.5487952794613284,52.330729166666664,7.780645992697588,22.01614882844865,30.763380369494286,327.308191,323.1663063739119,4.141884626088142,True
Day 1 only,Near-term operational forecast,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 3.5 MWh,mae<=3.5,480,123.59284843541667,123.56715839301731,0.025690042399357852,2.481509663685435,3.5655637284645163,1.96882505238248,45.208333333333336,5.442463050246662,16.23847403711291,11.892898967300567,241.608383,236.4681282064874,5.140254793512611,True
Days 2-3,Short weather forecast horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,960,130.27984144270832,130.07395544512028,0.2058859975880483,3.6531522295525254,5.118321319327411,2.7508548486194115,46.25,8.900308176093628,21.130819886649263,18.265857559751254,274.743025,269.84016498409653,4.902860015903457,True
Days 4-7,Weather uncertainty horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,1920,137.75898377708333,137.71654150391038,0.04244227317293798,3.139011077874909,4.301918604323051,2.3072332159632616,50.625,7.046259540879109,17.16623927723201,18.569942030977558,327.308191,323.1663063739119,4.141884626088142,True
Hot peak days,Operational risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 6.0 MWh,mae<=6.0,430,252.0029498232558,251.5432240401559,0.4597257830999072,4.872170673930986,6.113865928244233,1.9966200567318977,53.48837209302325,10.148658112654886,18.064663186922644,16.78423489498411,327.308191,323.1663063739119,4.141884626088142,True
Cloud/solar midday,BTM solar/cloud risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,1415,133.50162829893995,133.2656905183267,0.23593778061325593,4.75083275855271,6.362958108496757,3.5843871628312978,50.74204946996467,10.310906187031144,21.86371727943255,30.763380369494286,315.46625,310.70729515836064,4.758954841639365,True
Shoulder heat transition,Spring/fall load-response risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,693,145.27323621067822,145.81340664475826,-0.5401704340800384,4.365636546866611,5.590333167386865,2.99825475525939,46.03174603174603,9.372406572974075,18.59173724315417,16.1974756330104,251.088633,257.0581791284395,-5.969546128439532,True
Peak window hours 14-18,Peak planning risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.5 MWh,mae<=5.5,1600,170.09232939875,170.28811284329402,-0.1957834445439847,4.794998799283913,6.254893468348678,3.0087870326452206,47.625,10.294667977157207,22.01614882844865,30.714713863686825,327.308191,323.1663063739119,4.141884626088142,True
