Test,Purpose,Basis,ForecastColumn,Target,Gate,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Pass
Last 45 days,Recent behavior,recent_45_day_backtest,Final_Backtest_Forecast_MWH,Recent MAE <= 3.0 MWh,mae<=3.0,1077,173.8529632930981,173.97720269561935,-0.12423940252123808,3.0206286604174806,4.0556277040051825,1.7459520333268455,52.27483751160631,6.567874616239259,18.866852706677065,16.947778262528203,340.527716,339.9295200238484,0.5981959761516009,False
Seasonal rolling origins,General robustness,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,"MAE <= 4.5, MAPE <= 3.5%, abs bias <= 0.75",mae<=4.5;mape<=3.5;abs_bias<=0.75,8440,142.14687095165877,141.6354676413435,0.5114033103152629,3.658819764951146,5.0543273906396005,2.5798570065773725,55.33175355450237,7.950789594403248,29.554279753799335,34.609120247799666,340.527716,338.27494671289645,2.252769287103547,True
Day 1 only,Near-term operational forecast,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 3.5 MWh,mae<=3.5,528,126.66625613636361,126.08465440034827,0.5816017360153778,2.657342037293461,3.7941694656803495,2.0069036350361436,51.89393939393939,6.182443465586758,17.92937171442604,14.676195625072125,248.87775,242.05033016195637,6.827419838043625,True
Days 2-3,Short weather forecast horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,1056,133.36420725852275,132.2380747835357,1.1261324749870176,3.8546115659502007,5.41159480545662,2.7567533613097908,57.291666666666664,9.488785031164774,24.134204912548398,19.115590844504396,294.860266,276.34623380523556,18.514032194764468,True
Days 4-7,Weather uncertainty horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,2112,141.60408842613634,140.57010647065854,1.0339819554778318,3.5602579809625574,4.930214618884968,2.520092131167214,58.23863636363637,7.49561206049252,29.554279753799335,19.42144997293704,327.308191,325.61420351427734,1.6939874857226869,True
Hot peak days,Operational risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 6.0 MWh,mae<=6.0,567,255.91564689417987,255.27476730145625,0.6408795927236337,4.847076665929994,6.3368148978729595,1.9538989163475067,52.733686067019406,10.648436305117157,20.09658391262218,20.415714453637094,340.527716,338.27494671289645,2.252769287103547,True
Cloud/solar midday,BTM solar/cloud risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,1551,138.62130575048357,137.8797512527124,0.7415544977711527,4.9936353657941135,6.814619451840098,3.5961983150389525,53.836234687298514,10.715540015893637,29.554279753799335,34.609120247799666,315.46625,308.5052065629829,6.961043437017111,True
Shoulder heat transition,Spring/fall load-response risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,693,145.27323621067822,145.07782980518874,0.1954064054894617,4.455737894957211,5.767452324015692,3.060887286823524,52.81385281385281,9.918846424227514,17.608905666929587,17.268566778824507,251.088633,258.37900884726076,-7.290375847260776,True
Peak window hours 14-18,Peak planning risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.5 MWh,mae<=5.5,1756,177.78067989407742,176.8708606831472,0.9098192109302667,4.935138541519668,6.587889217554038,2.9781354736652657,55.23917995444191,10.604354693160147,29.554279753799335,34.609120247799666,340.527716,338.27494671289645,2.252769287103547,True
