Stage,ForecastColumn,Replay_Origin_ID,Replay_Origin_DT,Replay_Origin_Year,Replay_Origin_Season,Replay_Origin_Month,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,origin_17,2026-04-26 00:00:00-07:00,2026,Spring,4,384,127.136992640625,119.8567200700442,7.2802725705808,8.020893183640798,5.885247452719111,88.54166666666666,17.6344034461914,26.213461254882816,9.631833133300788,10.105117964889642
xgb_component,XGB_Pred_MWH,origin_07,2025-07-20 00:00:00-07:00,2025,Summer,7,384,157.82088622916666,151.45041473706564,6.370471492101033,6.630319847147624,4.008638754523333,91.66666666666666,14.251972663574215,25.304079623046903,5.582089053710945,8.685279516286636
xgb_component,XGB_Pred_MWH,origin_12,2025-12-06 23:00:00-08:00,2025,Winter,12,384,139.45845884114584,134.07695116599402,5.381507675151824,5.824787613852183,3.9527017921459966,90.88541666666666,13.386315609765626,20.661959423828137,13.93708089941407,7.4521546675373385
xgb_component,XGB_Pred_MWH,origin_16,2026-03-29 00:00:00-07:00,2026,Spring,3,384,120.51718188281251,116.76287001371384,3.754311869098663,4.920057370080312,3.929504270393503,77.86458333333334,10.84582854863281,25.186550512695305,11.294225027832027,6.530676526407931
xgb_component,XGB_Pred_MWH,origin_08,2025-08-17 00:00:00-07:00,2025,Summer,8,384,187.771909734375,188.53700506687164,-0.7650953324966435,4.90087412171173,2.645606700075114,44.79166666666667,9.646198874511718,19.067470785156274,35.250728710937494,6.750696322864935
xgb_component,XGB_Pred_MWH,origin_11,2025-11-08 23:00:00-08:00,2025,Fall,11,384,122.29222068489582,118.23284220695496,4.059378477940878,4.6293324763488775,3.655210541684537,89.0625,8.691415369384766,23.84054944726563,7.846896972656253,5.840160821985501
xgb_component,XGB_Pred_MWH,origin_13,2026-01-03 23:00:00-08:00,2026,Winter,1,384,128.126853875,124.24522258838017,3.881631286619822,4.622687679548899,3.53347055683326,87.5,9.191977020312498,19.48023374462892,8.95729283789062,5.801416407284706
xgb_component,XGB_Pred_MWH,origin_04,2025-04-27 00:00:00-07:00,2025,Spring,4,384,121.913576171875,124.3573192358017,-2.443743063926697,4.295460340716043,3.3459146587547317,42.70833333333333,10.11962609716797,17.17036462402345,27.206217626953134,6.31599281861919
xgb_component,XGB_Pred_MWH,origin_19,2026-05-28 00:00:00-07:00,2026,Spring,5,384,158.50971714583332,158.0959767897924,0.41374035604095427,4.2478294666392005,2.7778270089282042,61.197916666666664,8.567177168554686,15.63743401757813,21.93150637988282,5.5798761835720265
xgb_component,XGB_Pred_MWH,origin_05,2025-05-25 00:00:00-07:00,2025,Spring,5,384,153.69139593489584,155.07079648971558,-1.3794005548197426,4.188463479131062,2.648117191845699,46.09375,9.816419899999998,16.441503043945318,22.919045124999997,5.815554389928333
xgb_component,XGB_Pred_MWH,origin_20,2026-05-29 00:00:00-07:00,2026,Spring,5,384,163.7729361171875,163.30925784508386,0.46367827210362716,4.042030735172271,2.5594256701123355,59.895833333333336,8.277768139746097,15.664468888671877,19.909882771484376,5.436420463797705
xgb_component,XGB_Pred_MWH,origin_10,2025-10-12 00:00:00-07:00,2025,Fall,10,384,118.67937204947917,115.02781295776367,3.6515590917154945,4.029935871378581,3.341701968197492,90.88541666666666,7.164443175683591,18.53314270898437,7.846379858398436,4.822509506537989
xgb_component,XGB_Pred_MWH,origin_06,2025-06-22 00:00:00-07:00,2025,Summer,6,384,168.52844033593752,167.6184956630071,0.9099446729303997,3.9823062892278034,2.313744561010899,55.729166666666664,8.702258910058593,19.92241396484374,25.535458447265626,5.75808332426213
xgb_component,XGB_Pred_MWH,origin_18,2026-05-24 00:00:00-07:00,2026,Spring,5,384,142.90284213541665,141.64766838153204,1.2551737538846335,3.9101127881838473,2.866309852521379,67.70833333333334,7.916855060253905,15.808309566894536,18.51202224902343,4.984422017618883
xgb_component,XGB_Pred_MWH,origin_14,2026-01-31 23:00:00-08:00,2026,Winter,1,384,120.6618153359375,117.29184993108113,3.369965404856364,3.8817065378468834,3.1004655094908826,86.19791666666666,8.27371312685547,24.33116153222656,7.162186360351569,5.608996129651032
xgb_component,XGB_Pred_MWH,origin_09,2025-09-14 00:00:00-07:00,2025,Summer,9,384,162.83103684895835,163.27988803386688,-0.4488511849085483,3.7096360912195845,2.2855820544721346,50.0,7.857090787207036,14.90155412597656,34.31464669531249,5.664518670715524
