Stage,ForecastColumn,Replay_Origin_ID,Replay_Origin_DT,Replay_Origin_Year,Replay_Origin_Season,Replay_Origin_Month,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,origin_17,2026-04-26 00:00:00-07:00,2026,Spring,4,384,127.136992640625,120.28369462490082,6.853298015724182,7.663106693967183,5.652707142529171,87.5,16.571834711425783,22.86082006054687,10.603612002929694,9.532641254337538
xgb_component,XGB_Pred_MWH,origin_07,2025-07-20 00:00:00-07:00,2025,Summer,7,384,157.82088622916666,152.1255634625753,5.6953227665913895,6.313267955273946,3.678652630591182,81.77083333333334,16.067650844140633,33.56299756738281,10.375927286132821,9.114752483729065
xgb_component,XGB_Pred_MWH,origin_12,2025-12-06 23:00:00-08:00,2025,Winter,12,384,139.45845884114584,133.64432926972708,5.8141295714187615,6.240618777740479,4.258773255060971,91.92708333333334,13.635581214648441,20.813677563476574,16.235695401367195,7.872198052429448
xgb_component,XGB_Pred_MWH,origin_08,2025-08-17 00:00:00-07:00,2025,Summer,8,384,187.771909734375,188.77072900533676,-0.9988192709617619,5.60607685082372,3.064101861534397,44.27083333333333,11.168037332617178,23.2344934902344,33.82003413085937,7.334854665804097
xgb_component,XGB_Pred_MWH,origin_05,2025-05-25 00:00:00-07:00,2025,Spring,5,384,153.69139593489584,156.24381911754608,-2.552423182650248,5.443582519882201,3.4308050858705887,35.15625,11.553684753808595,16.459784374999998,33.76945053710938,7.526087901352902
xgb_component,XGB_Pred_MWH,origin_13,2026-01-03 23:00:00-08:00,2026,Winter,1,384,128.126853875,123.86090205113094,4.265951823869069,4.889045728270212,3.7502465394951536,88.02083333333334,9.350679287207024,19.742547587402356,9.39087981738281,5.989938539441212
xgb_component,XGB_Pred_MWH,origin_19,2026-05-28 00:00:00-07:00,2026,Spring,5,384,158.50971714583332,155.57282121976218,2.9368959260711667,4.877897642995198,3.098745133345474,77.34375,9.43414944472656,19.387704972656252,15.977369539062494,6.040370449840882
xgb_component,XGB_Pred_MWH,origin_06,2025-06-22 00:00:00-07:00,2025,Summer,6,384,168.52844033593752,171.88521711031595,-3.3567767743784582,4.8447768953653965,3.164572135449921,26.5625,11.725362667285165,15.510857845703129,35.21971289843751,7.39345879146895
xgb_component,XGB_Pred_MWH,origin_16,2026-03-29 00:00:00-07:00,2026,Spring,3,384,120.51718188281251,117.42071968317032,3.0964621996421813,4.614365573510487,3.6952748147712913,74.21875,9.932820638476558,23.557934179687493,11.789336042968756,6.199617655295549
xgb_component,XGB_Pred_MWH,origin_20,2026-05-29 00:00:00-07:00,2026,Spring,5,384,163.7729361171875,161.90939023097357,1.863545886213938,4.388973752287546,2.720993939764202,70.57291666666666,8.488223981152332,16.234659318359377,18.45868037890625,5.58182589852968
