Test,Purpose,Basis,ForecastColumn,Target,Gate,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Pass
Last 45 days,Recent behavior,recent_45_day_backtest,Final_Backtest_Forecast_MWH,Recent MAE <= 3.0 MWh,mae<=3.0,1081,156.84998351618873,157.14641530696215,-0.2964317907734754,3.1911372769546182,4.393746871862012,1.9837510293681964,52.543940795559664,7.401978311503967,16.584487725106158,18.67605473785318,315.708558,304.0006933232101,11.707864676789882,False
Seasonal rolling origins,General robustness,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,"MAE <= 4.5, MAPE <= 3.5%, abs bias <= 0.75",mae<=4.5;mape<=3.5;abs_bias<=0.75,7680,137.74102562838542,137.47550932631793,0.2655163020674965,3.4986872104479203,4.811569279579787,2.5492016691222203,53.502604166666664,7.758355854501257,22.60379916161135,30.763380369494286,327.308191,323.1663063739119,4.141884626088142,True
Day 1 only,Near-term operational forecast,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 3.5 MWh,mae<=3.5,480,123.59284843541667,123.5748601878859,0.017988247530760258,2.44540849269901,3.564059930287775,1.9357047669090695,45.625,5.38516352016782,16.23847403711291,13.38826717201026,241.608383,236.4681282064874,5.140254793512611,True
Days 2-3,Short weather forecast horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,960,130.27984144270832,129.9679611116304,0.3118803310779453,3.6102157378663167,5.077917443532498,2.712327656951905,46.979166666666664,8.724299968708,22.60379916161135,18.265857559751254,274.743025,269.84016498409653,4.902860015903457,True
Days 4-7,Weather uncertainty horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,1920,137.75898377708333,137.55274787984334,0.20623589724002292,3.1229097246816537,4.281159140395797,2.3083409920848172,51.87500000000001,6.953124159440819,17.16623927723201,18.569942030977558,327.308191,323.1663063739119,4.141884626088142,True
Hot peak days,Operational risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 6.0 MWh,mae<=6.0,430,252.0029498232558,251.11892983069174,0.884019992564071,4.703445652430123,5.926415662579525,1.9229182136454144,56.74418604651162,10.16584015613561,18.064663186922644,16.55169525723531,327.308191,323.1663063739119,4.141884626088142,True
Cloud/solar midday,BTM solar/cloud risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,1422,133.99201558790435,133.59954362896005,0.3924719589443185,4.7832417830802,6.4221283131475015,3.5941862389156025,51.19549929676512,10.357971060725822,22.60379916161135,30.763380369494286,315.46625,310.70729515836064,4.758954841639365,True
Shoulder heat transition,Spring/fall load-response risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,693,145.27323621067822,145.68686013611594,-0.4136239254377327,4.382616764618569,5.591169634481893,3.0048858846835387,46.17604617604618,9.32418045552476,18.59173724315417,16.1974756330104,251.088633,255.24480352129527,-4.15617052129528,True
Peak window hours 14-18,Peak planning risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.5 MWh,mae<=5.5,1600,170.09232939875,170.12465090158756,-0.03232150283755475,4.792468968108881,6.264075211905099,3.010147843322168,48.875,10.294667977157207,22.60379916161135,30.714713863686825,327.308191,323.1663063739119,4.141884626088142,True
