Test,Purpose,Basis,ForecastColumn,Target,Gate,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Pass
Last 45 days,Recent behavior,recent_45_day_backtest,Final_Backtest_Forecast_MWH,Recent MAE <= 3.0 MWh,mae<=3.0,1081,155.71615715325314,156.08835860006633,-0.37220144681318373,2.6021922746012653,3.6757514351363545,1.62644149335887,51.988899167437566,6.226763569884241,12.885878354915974,17.682775889242578,315.708558,314.43166656357073,1.2768914364292527,True
Seasonal rolling origins,General robustness,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,"MAE <= 4.5, MAPE <= 3.5%, abs bias <= 0.75",mae<=4.5;mape<=3.5;abs_bias<=0.75,7680,137.74102562838542,137.21205091394333,0.5289747144420632,3.7396046410542914,5.2425382959815146,2.690415639885971,56.09375,8.351583258075479,25.548971945897392,30.2001777093636,327.308191,321.85850258855436,5.449688411445663,True
Day 1 only,Near-term operational forecast,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 3.5 MWh,mae<=3.5,480,123.59284843541667,123.75631697288503,-0.16346853746835613,2.5675931503522764,3.7482658566662517,2.0191317417470502,45.83333333333333,6.0190858121496955,16.812090758469836,13.384772793805581,241.608383,242.3339632141262,-0.7255802141261825,True
Days 2-3,Short weather forecast horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,960,130.27984144270832,129.54717996001042,0.7326614826978871,3.533646374874127,5.019104456349671,2.674412395361333,51.145833333333336,8.422185081561135,22.93585220375641,17.841037292877814,274.743025,267.302658299292,7.440366700708012,True
Days 4-7,Weather uncertainty horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,1920,137.75898377708333,136.92073834711027,0.8382454299730313,3.5600957481044304,4.9058864368853525,2.578546672903317,59.68750000000001,7.904454219405541,20.85324998287686,25.71010971309707,327.308191,321.85850258855436,5.449688411445663,True
Hot peak days,Operational risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 6.0 MWh,mae<=6.0,430,252.0029498232558,251.3380548915683,0.6648949316875208,6.501463146769783,8.499689399453588,2.6372125219077236,64.18604651162791,14.812265617869285,19.23573955054337,29.415705495090435,327.308191,321.85850258855436,5.449688411445663,False
Cloud/solar midday,BTM solar/cloud risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,1523,134.2982597728168,133.67771402767568,0.6205457451411444,5.077024730566505,6.796920183821815,3.781178597366556,50.42678923177938,10.979913853007366,25.548971945897392,30.2001777093636,315.46625,311.41864319825135,4.047606801748657,True
Shoulder heat transition,Spring/fall load-response risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,693,145.27323621067822,145.10242624644388,0.17080996423432904,4.299093314595122,5.5214898166463655,2.9712872157000114,51.65945165945166,9.339177738750127,18.191389929291546,18.876414263027314,251.088633,252.27269533888247,-1.1840623388824838,True
Peak window hours 14-18,Peak planning risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.5 MWh,mae<=5.5,1600,170.09232939875,170.02493874967934,0.06739064907062847,5.236213789626525,6.897172188589463,3.2337708058686827,51.81249999999999,11.15287970093322,21.899267413680064,30.2001777093636,327.308191,321.85850258855436,5.449688411445663,True
