N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
1081,185.25576110175763,183.99077872750166,1.2649823742559758,3.9952199344720674,5.443567874201251,2.1101707036947612,56.33672525439408,9.038671879435753,21.97568454154606,18.090203900428577,352.83,334.07900382010337,18.750996179896617,Auto_Residual_Structural_HotPeak_Adjusted_Forecast_MWH,auto_residual_structural_hot_peak_shadow,10.984647046910677,73.3294031286299,13.606073539368094,-0.3928300760864927
1081,185.25576110175763,184.02546175480865,1.2302993469489976,4.270253583434628,5.913631197976654,2.2141823868166823,54.024051803885285,9.54786390826223,22.760682573627037,17.71833699422038,352.83,337.07900382010337,15.750996179896617,Auto_Residual_Full_Shadow_Adjusted_Forecast_MWH,auto_residual_full_shadow,10.709613397948115,71.49338115791161,13.640756566675071,-0.11779642712393201
1081,185.25576110175763,183.66285979960847,1.592901302149181,4.27630651523792,5.942777645726678,2.2087622187459233,57.446808510638306,9.484746622583373,22.760682573627037,18.090203900428577,352.83,337.07900382010337,15.750996179896617,Auto_Residual_Broad_HotPeak_Shadow_Adjusted_Forecast_MWH,auto_residual_broad_hot_peak_shadow,10.703560466144824,71.45297404474557,13.278154611474887,-0.11174349532064021
1081,185.25576110175763,183.83205683426348,1.4237042674941547,4.38805001055856,6.13892474896237,2.2514361180603166,54.94912118408881,9.975049692326593,25.97568454154606,17.71833699422038,352.83,330.07900382010337,22.750996179896617,Final_Backtest_Forecast_MWH,final_corrected_production,10.591816970824183,70.70701618370771,13.447351646129913,0.0
1081,185.25576110175763,183.83205683426348,1.4237042674941547,4.38805001055856,6.13892474896237,2.2514361180603166,54.94912118408881,9.975049692326593,25.97568454154606,17.71833699422038,352.83,330.07900382010337,22.750996179896617,Hot_Ramp_Peak_Shadow_Forecast_MWH,hot_ramp_peak_shadow,10.591816970824183,70.70701618370771,13.447351646129913,0.0
1081,185.25576110175763,183.83205683426348,1.4237042674941547,4.38805001055856,6.13892474896237,2.2514361180603166,54.94912118408881,9.975049692326593,25.97568454154606,17.71833699422038,352.83,330.07900382010337,22.750996179896617,Auto_Residual_Adjusted_Forecast_MWH,auto_residual_shadow,10.591816970824183,70.70701618370771,13.447351646129913,0.0
1081,185.25576110175763,183.83205683426348,1.4237042674941547,4.38805001055856,6.13892474896237,2.2514361180603166,54.94912118408881,9.975049692326593,25.97568454154606,17.71833699422038,352.83,330.07900382010337,22.750996179896617,Daily_Peak_Shadow_Adjusted_Forecast_MWH,daily_peak_shadow,10.591816970824183,70.70701618370771,13.447351646129913,0.0
1081,185.25576110175763,183.83205683426348,1.4237042674941547,4.38805001055856,6.13892474896237,2.2514361180603166,54.94912118408881,9.975049692326593,25.97568454154606,17.71833699422038,352.83,330.07900382010337,22.750996179896617,Heat_Analog_Shadow_Forecast_MWH,heat_analog_shadow,10.591816970824183,70.70701618370771,13.447351646129913,0.0
1081,185.25576110175763,183.83205683426348,1.4237042674941547,4.38805001055856,6.13892474896237,2.2514361180603166,54.94912118408881,9.975049692326593,25.97568454154606,17.71833699422038,352.83,330.07900382010337,22.750996179896617,Heat_Persistence_Peak_Shadow_Forecast_MWH,heat_persistence_peak_shadow,10.591816970824183,70.70701618370771,13.447351646129913,0.0
1081,185.25576110175763,183.51257286117496,1.743188240582678,4.416232305078586,6.207580502936842,2.254117460014062,57.724329324699355,9.954996145744758,26.97568454154606,18.090203900428577,352.83,329.07900382010337,23.750996179896617,Focused_Shape_Adjusted_Forecast_MWH,focused_shape_shadow,10.563634676304158,70.51888170591127,13.127867673041392,0.028182294520026296
1081,185.25576110175763,183.51257286117496,1.743188240582678,4.416232305078586,6.207580502936842,2.254117460014062,57.724329324699355,9.954996145744758,26.97568454154606,18.090203900428577,352.83,329.07900382010337,23.750996179896617,Stage_Selected_Forecast_MWH,stage_selected_production,10.563634676304158,70.51888170591127,13.127867673041392,0.028182294520026296
1081,185.25576110175763,182.67182729823392,2.5839338035237067,5.554602591695661,8.063211331886452,2.694867536723104,57.446808510638306,14.271567440192484,31.97568454154606,21.076602498261167,352.83,324.07900382010337,28.750996179896617,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,9.425264389687083,62.91954662481968,12.287122110100363,1.1665525811371014
1081,185.25576110175763,179.92318016865178,5.332580933105848,6.648192721558887,8.998745463298093,3.3186532918155196,81.8686401480111,15.989453219089512,31.97568454154606,20.80604546819606,352.83,324.07900382010337,28.750996179896617,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,8.331674259823856,55.61914715383398,9.53847498051822,2.260142711000327
1081,185.25576110175763,179.87045196695684,5.3853091348008055,6.705805848253371,9.066137833336056,3.3434106711149845,81.6836262719704,16.410812573325302,31.97568454154606,20.80604546819606,352.83,324.07900382010337,28.750996179896617,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,8.274061133129372,55.23454342693783,9.485746778823263,2.3177558376948113
1081,185.25576110175763,179.87045196695684,5.3853091348008055,6.705805848253371,9.066137833336056,3.3434106711149845,81.6836262719704,16.410812573325302,31.97568454154606,20.80604546819606,352.83,324.07900382010337,28.750996179896617,Residual_Calibrated_Forecast_MWH,residual_calibrated,8.274061133129372,55.23454342693783,9.485746778823263,2.3177558376948113
1081,185.25576110175763,174.09610037137853,11.15966073037911,11.522252235457211,14.527852236424184,5.806404805643252,93.98704902867715,25.39638724858534,42.6099190162052,11.90230259887332,352.83,313.1056038704263,39.72439612957368,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,3.4576147459255324,23.081745320053376,3.7113951832449583,7.134202224898651
1081,185.25576110175763,172.05595442597118,13.199806675786474,13.422067690325633,15.595878844212463,7.113276876635691,96.3922294172063,25.357593116150383,40.53174080177661,13.72067242797695,352.83,318.7813580166819,34.04864198331808,LGB_Pred_MWH,lgb_component,1.5577992910571101,10.399286542351623,1.6712492378375945,9.034017679767073
