Slice,SliceGroup,SliceValue,Purpose,HourDefinition,ForecastColumn,Gate,Gate_MAE_MWH,Pass,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH
PeakWindowHours14to18,peak_window,current_gate,Current production peak-window gate,"code Hour 14,15,16,17,18",Final_Backtest_Forecast_MWH,mae<=5.5,5.5,False,225,255.11252375111113,248.7716790907992,6.340844660311915,7.533906623305241,9.721862219469969,2.7906116630665028,80.0,17.947334066292793,25.97568454154606,10.858543056750761,352.83,330.07900382010337,22.750996179896617
PeakWindowHours14to20,peak_window,candidate_expansion,A/B candidate before changing peak-window training weights,"code Hour 14,15,16,17,18,19,20",Final_Backtest_Forecast_MWH,diagnostic_only,,,315,256.0782028888889,249.72389062395484,6.354312264934032,7.339456391755849,9.385550519891895,2.7178269474682724,81.9047619047619,16.262789351802912,25.97568454154606,10.858543056750761,352.83,330.07900382010337,22.750996179896617
LatePeakHours19to20,peak_window,late_extension_only,Isolate incremental HE20/HE21 late-peak behavior,code Hour 19-20,Final_Backtest_Forecast_MWH,diagnostic_only,,,90,258.49240073333334,252.10441945684406,6.387981276489331,6.853330812882369,8.486662620203349,2.535865158472695,86.66666666666667,14.236509919450437,17.997425508291144,4.049125488969764,335.89,321.04459443247964,14.845405567520345
HE18to20_CodeHours17to19,peak_window,solar_shifted_daily_peak,Daily peak timing/magnitude focus for later net-load peaks,operational HE18-20 / code Hour 17-19,Final_Backtest_Forecast_MWH,diagnostic_only,,,135,272.2701513925926,263.3537499838977,8.916401408694872,9.352695666883662,11.274682517088308,3.27436311778043,91.85185185185185,18.524318431727067,22.760682573627037,5.880993690428426,352.83,330.07900382010337,22.750996179896617
