Month,Replay_Horizon_Bucket,TempBand2p5,Hour,N,Final_Bias_ActualMinusForecast_MWH,Final_MAE_MWH,Final_MaxUnder_MWH,Final_MaxOver_MWH,Raw_Bias_ActualMinusForecast_MWH,Final_Correction_From_Raw_MWH,Avg_RawMinus7_MWH
6,Days8to16,90-92.5,18,2,-8.16998361491838,17.043742667721688,8.873759052803308,25.213726282640067,-26.13195020975361,-17.961966594835218,3.694707659517917
6,Days8to16,90-92.5,19,2,-3.2449380618161436,14.473643333777048,11.228705271960903,17.71858139559319,-23.843337690856856,-20.598399629040713,-0.8468845606605413
7,Days8to16,92.5-95,16,2,-0.8514317161299658,11.518763096759486,10.66733138062952,12.370194812889451,4.220678886766834,5.0721106028967995,-4.694299700310069
6,Days8to16,90-92.5,17,2,-3.4957525371561067,11.372876765382586,7.877124228226478,14.868629302538691,-23.861504932141287,-20.36575239498518,10.245748296914257
7,Days8to16,92.5-95,17,2,-3.457578654036425,10.577306526622337,7.119727872585912,14.034885180658762,2.5885672643487396,6.046145918385179,-7.168061043983673
7,Days8to16,92.5-95,18,2,-6.430920513271502,10.45981129370736,4.028890780435859,16.890731806978863,-0.7159960182907241,5.714924494980778,-11.741825525081085
9,Days8to16,100-105,17,2,10.017331254042006,10.017331254042006,10.298233598381614,0.0,10.594926378669584,0.5775951246275781,26.59359600167336
5,Days2to7,100-105,19,2,9.512702780627677,9.512702780627677,15.278043151952488,0.0,7.176547096568271,-2.336155684059406,90.68712940389437
7,Days8to16,92.5-95,19,2,-6.661197383272466,8.783450640615698,2.122253257343232,15.444648023888163,-0.9688563092649645,5.6923410740075155,-16.340375168198705
5,Days8to16,92.5-95,16,2,3.34706545588584,8.320359754616888,11.667425210502728,4.973294298731048,5.589933411610218,2.2428679557243782,68.42608098815968
5,Days8to16,92.5-95,17,2,3.600054000457191,8.28192890578913,11.88198290624632,4.681874905331938,7.046867197128691,3.4468131966715134,70.21330329653006
5,Days8to16,92.5-95,20,2,8.233100501695077,8.233100501695077,9.849533743786964,0.0,7.5578550749648485,-0.6752454267302284,52.05382915721944
7,Days8to16,95-98,18,5,-2.2016889025993636,8.212363293319669,9.54820927131084,11.989184147003527,11.170263196429682,13.371952099029055,26.88348406537487
9,Days8to16,100-105,16,2,8.068650073748898,8.068650073748898,8.598730804397348,0.0,8.642478016688187,0.573827942939289,27.441548667730743
6,Days8to16,98-100,19,5,-5.432158474757119,8.009958919452714,6.444501111738987,12.246727709108027,0.40874411274604083,5.840902587503161,24.141469003316196
9,Days2to7,92.5-95,17,2,-3.836387109549591,7.873722603547478,4.037335493997887,11.710109713097069,-8.987229157149898,-5.150842047600307,26.51699672947484
7,Days8to16,95-98,17,5,-0.8516739558355715,7.439730353949739,7.859968175863173,10.952893657958017,12.329372922276685,13.181046878112255,25.576999150278795
7,Days8to16,95-98,19,5,-0.8078876824039127,7.324222914938611,10.947091882102995,8.967475995235475,11.487067799380458,12.294955481784365,25.655807141512838
7,Days8to16,90-92.5,16,3,-5.789462343055324,7.185969667783041,2.0947609870915755,16.83912753667269,-12.066026041322564,-6.276563698267229,-46.12177118343478
6,Days8to16,100-105,18,6,7.178916305277151,7.178916305277151,8.762642961811594,0.0,5.028676149189086,-2.150240156088065,66.54262978406562
8,Days8to16,92.5-95,17,3,7.160292975849103,7.160292975849103,11.272057940224016,0.0,6.988048176887522,-0.17224479896157163,-16.046147879891766
8,Days8to16,92.5-95,18,3,7.140284346343312,7.140284346343312,8.855290537717622,0.0,6.871562470980554,-0.26872187536273867,-15.441621298774626
9,Days8to16,100-105,18,2,7.123742332812071,7.123742332812071,8.012737543960895,0.0,7.717406321492717,0.5936639886806745,28.010472845430968
7,Days8to16,95-98,16,5,-0.5831596804079536,7.089697215556811,7.660567876400279,13.296231215683235,13.948908739264692,14.532068419672646,23.670332652923054
8,Days2to7,100-105,16,3,4.775308334558001,6.996833041039015,13.610605261646867,3.332287059721523,11.73795055691979,6.962642222361808,46.81995198124111
5,Days8to16,92.5-95,19,2,4.026824604294192,6.944433904903421,10.971258509197613,2.9176093006092287,8.689339800149867,4.662515195855676,59.78529123375766
6,Days8to16,90-92.5,20,2,6.778187602617663,6.778187602617663,9.814883185079111,0.0,-19.492004639111002,-26.270192241728665,-5.063511441349419
5,Days2to7,100-105,20,2,4.241781731877751,6.756078830346809,10.99786056222456,2.514297098469058,2.494202172773555,-1.7475795591041958,84.18270218070407
6,Days8to16,92.5-95,16,7,1.19323095456245,6.541349672832098,13.710264960552252,9.81715585669491,-1.8842367565122515,-3.0774677110746893,53.549750418687154
6,Days8to16,100-105,20,6,6.540299786910396,6.540299786910396,8.51728728433045,0.0,7.553977460801311,1.0136776738909152,56.679484292012766
6,Days8to16,95-98,19,5,-6.394428125678251,6.394428125678251,0.0,14.074231692325183,2.5572438506443063,8.951671976322558,34.49955864386731
6,Days8to16,92.5-95,20,7,5.049551668009108,6.228174463700112,8.948800234083109,4.125179784918515,1.6906014119321884,-3.3589502560769113,40.7121517360693
6,Days8to16,100-105,19,6,5.907903393859338,6.058696305856159,9.572241140514734,0.4523787359904645,7.322980118885549,1.4150767250262106,63.54134335414225
5,Days8to16,92.5-95,18,2,2.228445196672112,6.037820976685396,8.266266173357508,3.809375780013284,6.542923769051825,4.314478572379713,67.23511237971323
7,Days8to16,95-98,20,5,-3.8474282294203475,6.000302434280843,5.382185512151239,12.4384913504052,8.308576185596166,12.15600441501652,23.988710761166676
6,Days8to16,92.5-95,19,7,4.885776386023265,5.965708529768116,11.327581342109823,3.77976250310698,1.160565081355421,-3.7252113046678477,48.11685860274592
8,Days8to16,100-105,20,4,0.4168715463985251,5.935407920478681,6.680961045543597,10.683372412202289,2.2660416024913275,1.8491700560928166,14.48296802727303
7,Days8to16,92.5-95,20,2,-5.831655908007207,5.831655908007207,0.0,11.62720263892595,-0.5217277361677333,5.309928171839488,-19.269787678698382
6,Days8to16,95-98,18,5,4.631145168657918,5.792127219186807,14.429721614329791,2.902455126322224,1.1094451400300103,-3.521700028627907,38.33646470514684
6,Days2to7,92.5-95,16,10,4.92830841540331,5.703804766770546,10.759098967158875,3.877481756836176,4.521218894937715,-0.40708952046559543,57.063202259026454
6,Days8to16,100-105,17,6,5.580324782247383,5.580324782247383,10.12256371146634,0.0,3.3732324438698433,-2.20709233837754,68.96043917407057
9,Days2to7,92.5-95,20,2,4.216473908156915,5.49050697009723,9.706980878254145,1.2740330619403153,-0.7377922775332451,-4.954266185690173,12.726651290341634
6,Days2to7,92.5-95,18,10,5.31847393887154,5.485068994160588,12.24021324348834,0.5260521218985161,5.209883617854675,-0.1085903210168567,61.06360394071817
6,Days2to7,92.5-95,17,10,4.716756460481799,5.479804300737504,10.733042010866852,2.79001037900008,4.524712541015125,-0.19204391946667557,61.1191645598776
6,Days2to7,92.5-95,19,10,5.179639425908158,5.43617079346941,14.66540593955196,1.2519927826060098,5.128951494697733,-0.05068793121042461,55.62296893583764
5,Days2to7,100-105,18,2,-1.7846504017664415,5.407907960034834,3.623257558268392,7.192558361801275,4.227375241658137,6.012025643424579,98.55818402824767
7,Days8to16,90-92.5,17,3,-4.207655211153015,5.405500923046645,1.796768567840445,14.297028608705403,-10.807138450719236,-6.5994832395662115,-43.37920681839636
6,Days8to16,98-100,20,5,5.392092333490342,5.392092333490342,9.010363381642918,0.0,0.6767532098106812,-4.715339123679667,21.51649153419756
9,Days8to16,100-105,19,2,5.363062639820839,5.363062639820839,9.247328943740456,0.0,5.958802571821963,0.5957399320011376,26.282439462254416
6,Days8to16,92.5-95,17,7,2.6275175791132677,5.3295587902381625,13.09714503318321,5.768049683225854,-0.4376192429737874,-3.065136822087055,54.939902896486764
6,Days8to16,100-105,16,6,4.550383235738981,5.2967631026687725,10.209612665959696,2.239139600789372,2.1232063889157473,-2.4271768468232344,71.19842366656178
6,Days8to16,95-98,16,5,4.61495763036441,5.274668111929617,12.411346880655202,1.6492762039130184,1.1945020867006975,-3.4204555436637123,42.73813664626816
6,Days8to16,90-92.5,16,2,-1.9563002159011802,5.235571025224388,3.279270809323208,7.191871241125568,-19.99758840581582,-18.041288189914624,12.771140381306367
9,Days2to7,92.5-95,18,2,-2.5993349079097925,5.165658735702635,2.566323827792843,7.764993643612428,-7.54589885867928,-4.946563950769487,21.917481187293507
8,Days8to16,100-105,19,4,0.45837355273275193,5.13071009372581,8.313772898428397,8.35298974291203,2.575268270230282,2.11689471749753,15.982188908791272
8,Days8to16,100-105,17,4,-2.9205202204876604,5.096984590656646,4.352928740337973,9.092740997959597,1.8518503145922551,4.772370535079929,17.034171403758577
8,Days8to16,95-98,18,3,5.052799953217857,5.052799953217857,7.188830586456732,0.0,2.1536002148370983,-2.8991997383807586,12.155440008894525
9,Days8to16,90-92.5,16,3,-5.039281685332649,5.039281685332649,0.0,12.4083068505565,-9.27511579904449,-4.23583411371185,-9.948662988609982
7,Days8to16,100-105,17,2,-1.0198110032972927,4.9990215698007034,3.979210566503411,6.018832573097996,6.3804751989503075,7.4002862022475995,32.54591955951517
8,Days8to16,92.5-95,16,3,4.781057163002639,4.781057163002639,7.99576740852342,0.0,4.901832461146928,0.1207752981442809,-14.603772987588618
9,Days8to16,100-105,20,2,4.62863063494963,4.62863063494963,5.4793217913401975,0.0,5.178409337713589,0.5497787027639589,22.25618863206971
6,Days8to16,92.5-95,18,7,3.499429680394781,4.623394254358707,10.809559341482585,2.702074957152064,0.4904764505194927,-3.0089532298752886,52.66195686931924
8,Days8to16,98-100,16,2,2.1273259030879217,4.59459739409084,6.721923297178762,2.4672714910029185,0.7819430233719231,-1.3453828797159986,-22.824054038673466
8,Days8to16,92.5-95,19,3,4.57971597546027,4.57971597546027,6.128158380797231,0.0,4.472392309240386,-0.10732366621987428,-14.976836031438259
7,Days8to16,100-105,20,2,-4.532411420462751,4.532411420462751,0.0,7.195838097472745,3.143366084650694,7.675777505113473,26.124529627670412
6,Days8to16,98-100,16,5,-3.2335486671086073,4.454973787589234,3.053562801201565,8.562210611447995,-7.826122037084735,-4.592573369976117,25.34777845194884
7,Days8to16,100-105,18,2,-3.029116743047382,4.429545158502549,1.400428415455167,7.458661901549931,4.491145193263662,7.520261936311044,32.08452223086351
7,Days8to16,100-105,19,2,-2.761156240572319,4.394693788693047,1.633537548120728,7.155850029265366,5.116609241517665,7.877765482089984,30.499712747862773
6,Days2to7,92.5-95,20,10,3.9983593911921647,4.364384681781982,8.757312172890607,1.830126452949088,4.210574279164175,0.21221488797200722,47.30508149743859
8,Days8to16,100-105,18,4,1.4563176881139694,4.106474911244717,5.685341405856832,5.300314446261496,6.1134011507146795,4.65708346260071,16.955959254864794
8,Days2to7,100-105,18,3,-1.3049138676021432,4.049749229202462,4.117253042400478,7.490442190711349,5.482474423323803,6.787388290925946,43.71011537457391
9,Days8to16,90-92.5,17,3,-3.8902449868660653,4.044304958718318,0.23108995777838,10.217395230679386,-7.765885289863671,-3.875640302997624,-10.94686146539552
8,Days8to16,95-98,19,3,1.2291595987784376,3.950888418859563,4.908688022769013,4.082593230121688,4.525182575058504,3.296022976280066,8.586803328421118
6,Days8to16,95-98,17,5,2.5720771696496514,3.927245092198177,15.038006030091992,3.214682502657922,-1.078403866047546,-3.6504810356971857,41.759895547348734
9,Days2to7,92.5-95,16,2,-0.28950394648050803,3.786669414453158,3.49716546797265,4.076173360933666,-5.443213403263442,-5.153709456782934,30.758544767600384
6,Days8to16,95-98,20,5,3.4399695933179943,3.7857202016218707,7.197293829919829,0.8643765207596914,2.0344544419065813,-1.405515151411413,28.52697793157646
7,Days8to16,90-92.5,18,3,-2.303025028632495,3.760180911969788,1.333915940322754,9.094808910903424,-8.85491852899228,-6.551893500359786,-40.83164897661035
8,Days8to16,100-105,16,4,-2.349859098396621,3.7424641931556835,2.6946675845066466,11.100505107016772,2.4893339113548762,4.8391930097515115,17.644020096277117
7,Days8to16,100-105,16,2,-1.6581598251221124,3.6955905725437503,2.037430747421638,5.353750397665863,5.6001545172890985,7.258314342411211,34.24957592731383
6,Days8to16,98-100,18,5,3.1603469541410503,3.673109338844506,6.270452514030751,1.281905961758639,-2.195837159766802,-5.356184113907853,24.96013915928391
8,Days2to7,100-105,17,3,-0.006708056012845039,3.6398336636432873,5.449688411445663,4.219781086621822,6.617260774921571,6.623968830934435,48.25126328348051
9,Days8to16,90-92.5,18,3,-2.477270785884457,3.634175741032095,1.7353574327214574,8.296847846973606,-6.374106145383014,-3.8968353594985863,-9.568947727369203
8,Days8to16,95-98,17,3,3.5920938109098586,3.5920938109098586,9.235739550543371,0.0,0.7208554304458706,-2.871238380463988,13.162640359548817
8,Days8to16,98-100,18,2,3.5300696336125554,3.5300696336125554,5.893265774553015,0.0,2.2075583508331817,-1.3225112827793737,-20.83114295645845
8,Days8to16,98-100,19,2,2.861015708314966,3.1627208430072926,6.0237365513222585,0.3017051346923267,1.3693979964110667,-1.4916177119039133,-20.47156884631073
5,Days2to7,100-105,16,2,3.134117524028454,3.134117524028454,3.6218797943790255,0.0,8.033273643053747,4.899156119025292,101.0684622293402
8,Days8to16,92.5-95,20,3,2.844072271221904,2.844072271221904,5.689733628275803,0.0,2.568218873045822,-0.275853398176082,-13.782296270580483
8,Days2to7,100-105,20,3,2.4641928838817457,2.4641928838817457,6.143877643704457,0.0,3.9638639860614453,1.4996711021797087,36.73312094063446
6,Days8to16,98-100,17,5,1.195660307950908,2.1942266723346107,5.209208201655258,1.328724673328395,-4.477689535766302,-5.673349843717193,25.130339087387807
8,Days8to16,98-100,17,2,2.181616653025941,2.181616653025941,4.076431417226388,0.0,2.67435920206961,0.492742549043669,-23.95468416163365
7,Days8to16,90-92.5,19,3,0.6402428399851016,2.131780714808457,2.6941805559550858,2.237306812235033,-5.771658572293499,-6.411901412278591,-38.75836725779093
8,Days8to16,95-98,16,3,2.0281001963647802,2.126630327169958,5.325899165493581,0.1477951962077668,-0.9027839553706656,-2.930884151735446,13.947987963099328
8,Days2to7,100-105,19,3,0.3999907894887163,1.9279554180087075,2.651203514080237,2.291946942779987,2.0686061243407607,1.6686153348520445,41.23381047878951
9,Days8to16,90-92.5,19,3,0.3403887183485968,1.9181095612757133,3.387747419436465,1.1985775416837328,-3.4829416007275618,-3.8233303190761583,-7.687392425436475
5,Days2to7,100-105,17,2,1.4485316825654877,1.8740852361552243,3.322616918720712,0.4255535535897365,7.661718778631126,6.213187096065639,100.13890406034795
8,Days8to16,98-100,20,2,1.3680848131371874,1.5044806229074084,2.872565436044596,0.1363958097702209,-0.35421931980674515,-1.7223041329439326,-17.34157566875453
8,Days8to16,95-98,20,3,0.5367253401202087,1.4631565160680964,2.078323007117177,1.3896467639218315,4.01590240623393,3.4791770661137207,9.622877618208776
7,Days8to16,90-92.5,20,3,0.1462170730854476,1.3820955914366,1.5994412757237058,1.8538177775267288,-6.14515773743932,-6.2913748105247675,-34.49553213263555
9,Days2to7,92.5-95,19,2,0.14717754554172302,1.2915319867084634,1.4387095322501864,1.1443544411667403,-4.836668012373124,-4.983845557914819,17.79117761469773
9,Days8to16,90-92.5,20,3,0.7268921923892245,0.9518409958198314,2.449373872643946,0.3374232051459103,-0.37692930394245155,-1.1038214963316666,-7.910750471604047
