Stage,ForecastColumn,Replay_Horizon_Bucket,Season,HourGroup,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Days2to7,Winter,Midday,18,129.6748405,114.38266838921442,15.292172110785591,15.292172110785591,11.130765885882036,100.0,30.044379406933594,31.786975651367186,0.0,17.97762255875779
xgb_component,XGB_Pred_MWH,Days2to7,Summer,Peak,60,250.73491036666667,237.0448232014974,13.690087165169272,14.071434188216147,5.796142636528598,93.33333333333333,25.301452987500003,36.148134765625,3.9035803378906166,16.03824940106562
xgb_component,XGB_Pred_MWH,Days8to16,Summer,Peak,150,240.97995336666665,229.5496342976888,11.430319068977864,13.940298951282552,5.603937546749815,76.0,27.88047306240233,47.3568391201172,22.02228609179687,17.490631624552176
xgb_component,XGB_Pred_MWH,Day1,Summer,Peak,20,201.72887755,187.97884140014648,13.750036149853514,13.750036149853514,6.585652281519157,100.0,21.979762829394545,25.7259390546875,0.0,14.972291088195174
xgb_component,XGB_Pred_MWH,Days8to16,Summer,Midday,180,175.36940692222223,164.99149928622776,10.377907635994468,12.409380676641169,6.943625675871873,76.11111111111111,26.76138930297853,50.330947404296865,13.682877734375012,16.24370589300673
xgb_component,XGB_Pred_MWH,Days8to16,Spring,Peak,80,152.262460725,140.4848731994629,11.777587525537111,11.860208465454104,7.2396544061006525,96.25,30.762549423046906,38.80051264648438,1.5260468828124942,15.613119228621077
xgb_component,XGB_Pred_MWH,Day1,Winter,Midday,18,135.98894827777778,126.28466076321072,9.704287514567056,11.503521386257594,8.055072036796611,83.33333333333334,19.270076652343747,19.532608292968746,6.082940632812495,12.967506035072224
xgb_component,XGB_Pred_MWH,Days8to16,Winter,Midday,54,126.86587457407407,116.48867741337529,10.377197160698787,10.770417849772137,7.989210286118435,92.5925925925926,23.146881927001967,30.80249549218749,4.087403035156257,13.455921486533171
xgb_component,XGB_Pred_MWH,Days2to7,Summer,Midday,72,182.04727754166666,172.29246701134576,9.75481053032091,10.442277802971734,5.620791900829754,84.72222222222221,25.124614567382807,36.70812202148437,5.565833682617182,14.112182810321096
xgb_component,XGB_Pred_MWH,Days8to16,Winter,Peak,45,146.34350595555557,135.92091793484158,10.422588020713976,10.422588020713976,7.052357256362977,100.0,14.407677532812505,20.4968944580078,0.0,11.138122695898598
