Month,Hour,TempBand,CloudBand,N,Actual_Mean_MWH,Raw_Mean_MWH,Raw_Bias_MWH,Raw_MAE_MWH,Raw_Overforecast_MWH,Final_Bias_MWH,Final_MAE_MWH,Final_Overforecast_MWH,Final_Delta_From_Raw_MWH,XGB_Bias_MWH,XGB_MAE_MWH,LGB_Bias_MWH,LGB_MAE_MWH,CatBoost_Bias_MWH,CatBoost_MAE_MWH,Tree_Component_Spread_MWH,Max_Raw_Overforecast_MWH,Max_Final_Overforecast_MWH,Baseline_SameHourYesterday_MAE_MWH,Baseline_SameHourYesterday_Bias_MWH,Baseline_SameHour7DaysAgo_MAE_MWH,Baseline_SameHour7DaysAgo_Bias_MWH,Baseline_Rolling7DaySameHourAvg_MAE_MWH,Baseline_Rolling7DaySameHourAvg_Bias_MWH
6,14,95-100,clear<=0.2,2,227.75587050000001,247.48679459741624,-19.73092409741622,19.73092409741622,19.73092409741622,-8.559176956060327,8.559176956060327,8.559176956060327,-11.171747141355894,-18.020534834472656,18.020534834472656,-20.334942501003752,20.334942501003752,-19.270434966905285,19.270434966905285,2.503044193435528,20.1069299898424,9.396251634384555,25.339833499999997,-5.584141499999987,91.0205705,91.0205705,38.19436478571433,38.19436478571433
6,16,95-100,clear<=0.2,2,255.6503745,273.82563197774766,-18.17525747774765,18.17525747774765,18.17525747774765,-12.647153325988995,12.647153325988995,12.647153325988995,-5.528104151758654,-18.330338390624988,18.330338390624988,-18.682820801761565,18.682820801761565,-17.333349136332217,17.333349136332217,4.092352940383648,23.52220879294063,17.310747491602513,30.243983499999985,10.62824150000003,50.430800000000005,48.26327500000002,29.324589071428562,29.324589071428562
6,13,95-100,clear<=0.2,2,206.342858,224.11495883347465,-17.772100833474653,17.772100833474653,17.772100833474653,-6.971496141755921,6.971496141755921,6.971496141755921,-10.800604691718732,-17.918929414550774,17.918929414550774,-17.969625192929783,17.969625192929783,-17.41975438830913,17.41975438830913,1.257519500262518,18.87458340049679,7.325292627836006,26.98342050000001,-6.835112499999994,77.52054600000001,77.52054600000001,32.709772,32.709772
6,14,90-95,clear<=0.2,12,192.66120891666665,208.55993853877695,-15.898729622110297,15.898729622110297,15.898729622110297,-6.081278364304798,6.500977058158483,6.291127711231641,-9.8174512578055,-16.114345740315763,16.114345740315763,-16.85685417501048,16.85685417501048,-14.331500719494178,14.331500719494178,3.0824042068702298,21.74154563622588,10.96968674478316,21.386794416666664,6.968952750000002,39.346875,11.365489000000002,28.430846630952384,13.490503654761904
6,15,90-95,clear<=0.2,11,213.2574270909091,228.8539693937164,-15.596542302807315,15.596542302807315,15.596542302807315,-5.719871209605199,6.307425977963047,6.013648593784123,-9.876671093202116,-15.318384121803975,15.318384121803975,-16.68536344201324,16.68536344201324,-13.965011421484625,13.965011421484625,3.2704243252843317,22.24654153765178,10.498145097958457,23.80860154545455,9.734216636363628,45.737824,14.092224363636358,31.99107380519481,21.75022772727272
6,13,90-95,clear<=0.2,12,173.88397208333333,188.98503048433236,-15.10105840099901,15.10105840099901,15.10105840099901,-5.5074829216829615,5.5074829216829615,5.5074829216829615,-9.59357547931605,-15.347824181315097,15.347824181315097,-15.435490810087366,15.435490810087366,-14.505017249484128,14.505017249484128,1.3752364592812778,21.01634238753641,10.215345441782858,19.238686166666664,6.590082000000002,32.84534583333333,7.794732166666667,24.359428892857135,10.16364913095238
6,15,85-90,clear<=0.2,3,161.57681366666665,176.36946267897474,-14.792649012308098,14.792649012308098,14.792649012308098,-7.107388750013873,7.107388750013873,7.107388750013873,-7.685260262294226,-14.607014051432296,14.607014051432296,-15.147730559186735,15.147730559186735,-14.287702284606155,14.287702284606155,1.2279030429247466,21.434428626585913,12.72462652176921,36.87992533333334,-23.91839733333333,52.39454700000001,-38.54008633333334,47.03288652380954,-47.03288652380954
6,16,90-95,clear<=0.2,10,234.4966665,248.7545840064629,-14.257917506462908,14.257917506462908,14.257917506462908,-10.140133171782944,10.339031123702844,10.239582147742894,-4.117784334679965,-13.54523718652344,13.54523718652344,-15.055803493812999,15.055803493812999,-13.207719617752593,13.30285964054753,3.1193106380310835,22.154893236102225,15.706900579462001,20.5327727,6.385942500000004,50.4086707,21.664544299999996,35.58877259999999,25.631243514285707
6,16,85-90,clear<=0.2,5,184.5982196,198.36939028200075,-13.77117068200074,13.77117068200074,13.77117068200074,-7.558466713527531,7.558466713527531,7.558466713527531,-6.2127039684732095,-13.885499272070314,13.885499272070314,-14.191542474582041,14.191542474582041,-13.07792112506732,13.07792112506732,1.7375651387785354,21.93100947205096,15.592378068244358,31.344074999999997,-20.03473180000001,47.43761500000001,-37.421101799999995,52.39520922857143,-52.39520922857143
6,17,85-90,clear<=0.2,3,192.443683,205.5321513862366,-13.08846838623659,13.08846838623659,13.08846838623659,-7.398494570919117,7.398494570919117,7.398494570919117,-5.689973815317472,-14.031017927734354,14.031017927734354,-13.61562067263146,13.61562067263146,-11.990786352902356,11.990786352902356,2.5044187580159587,19.588536851553187,13.660310622245902,38.92237766666667,-18.22690566666667,55.057950000000005,-37.800822000000004,47.4432031904762,-47.4432031904762
