Stage,ForecastColumn,Replay_Horizon_Bucket,DailyMaxTempBucket,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Days8to16,7.0,18,1,323.440566,299.49798583984375,23.94258016015624,23.94258016015624,7.402466690018173,100.0,23.94258016015624,23.94258016015624,0.0,23.94258016015624
xgb_component,XGB_Pred_MWH,Days8to16,7.0,16,1,318.083608,295.21856689453125,22.865041105468777,22.865041105468777,7.188374543798803,100.0,22.865041105468777,22.865041105468777,0.0,22.865041105468777
xgb_component,XGB_Pred_MWH,Days8to16,7.0,19,1,308.640708,288.1463623046875,20.494345695312518,20.494345695312518,6.640195270454252,100.0,20.494345695312518,20.494345695312518,0.0,20.494345695312518
xgb_component,XGB_Pred_MWH,Days8to16,7.0,20,1,288.781933,268.9384765625,19.84345643749998,19.84345643749998,6.871432790603276,100.0,19.84345643749998,19.84345643749998,0.0,19.84345643749998
xgb_component,XGB_Pred_MWH,Days8to16,7.0,17,1,322.500858,302.954833984375,19.546024015624994,19.546024015624994,6.06076651604598,100.0,19.546024015624994,19.546024015624994,0.0,19.546024015624994
xgb_component,XGB_Pred_MWH,Day1,5.0,20,1,274.36035,259.62127685546875,14.739073144531233,14.739073144531233,5.37215860255727,100.0,14.739073144531233,14.739073144531233,0.0,14.739073144531233
xgb_component,XGB_Pred_MWH,Day1,5.0,19,1,291.004458,276.457275390625,14.547182609375,14.547182609375,4.998955242594599,100.0,14.547182609375,14.547182609375,0.0,14.547182609375
xgb_component,XGB_Pred_MWH,Days2to7,6.0,16,4,305.19300375,294.2989196777344,10.8940840722656,14.4502369814453,4.694718044023633,75.0,19.67708169941404,21.585233300781226,7.112305818359403,15.337187765442197
xgb_component,XGB_Pred_MWH,Days8to16,6.0,16,2,298.128891,286.24717712402344,11.881713875976573,13.676662670898452,4.2506333688194236,50.0,23.18203377167971,25.558376546875024,1.7949487949218792,18.117014832585458
xgb_component,XGB_Pred_MWH,Days8to16,5.0,17,6,267.31335516666667,253.65234375,13.661011416666659,13.661011416666659,5.210352343977326,100.0,20.876249939453118,22.011826164062484,0.0,15.113760035661036
xgb_component,XGB_Pred_MWH,Days2to7,7.0,17,3,327.9163716666667,314.2878824869792,13.628489179687506,13.628489179687506,4.140425045094165,100.0,20.99671109921877,22.346202816406276,0.0,15.825298971841686
xgb_component,XGB_Pred_MWH,Days8to16,6.0,17,2,306.21727050000004,292.5948486328125,13.622421867187512,13.622421867187512,4.288409766413882,100.0,20.04403522031252,21.649438558593772,0.0,15.811495011280343
xgb_component,XGB_Pred_MWH,Days2to7,7.0,18,3,326.85064166666666,313.37208048502606,13.47856118164062,13.47856118164062,4.115160734546905,100.0,18.529930488281252,19.883604345703134,0.0,14.406870620073128
xgb_component,XGB_Pred_MWH,Days2to7,7.0,19,3,316.1306386666667,302.7346496582031,13.395989008463536,13.395989008463536,4.238896911091207,100.0,15.965698314062502,16.723544425781256,0.0,13.63642919160077
xgb_component,XGB_Pred_MWH,Days2to7,7.0,16,3,319.60280800000004,306.8970235188802,12.705784481119792,13.13922511132813,4.0877473058382146,66.66666666666666,20.11275348828126,20.598751017578138,0.650160945312507,15.862274061157223
xgb_component,XGB_Pred_MWH,Days8to16,5.0,16,6,256.60944283333333,243.63555145263672,12.97389138069662,12.97389138069662,5.197694861923692,100.0,19.09921569433594,19.126312231445326,0.0,14.702028775197306
xgb_component,XGB_Pred_MWH,Days2to7,6.0,17,4,312.77259349999997,302.69010162353516,10.082491876464843,12.97002122607421,4.112094786846114,75.0,16.608599963476564,17.18760654296875,5.775058699218732,13.676166343695447
xgb_component,XGB_Pred_MWH,Days2to7,5.0,16,2,273.2695455,260.42950439453125,12.840041105468742,12.840041105468742,4.70320108797892,100.0,19.007635630468748,20.549534261718748,0.0,14.976746653275292
xgb_component,XGB_Pred_MWH,Days2to7,5.0,18,2,287.3110625,274.74359130859375,12.567471191406241,12.567471191406241,4.416758484323901,100.0,18.844678300781254,20.413980078125007,0.0,14.81583726477118
xgb_component,XGB_Pred_MWH,Days2to7,5.0,17,2,286.525208,274.0535888671875,12.471619132812492,12.471619132812492,4.378314749230109,100.0,19.908074790625,21.767188705078127,0.0,15.554706601757724
xgb_component,XGB_Pred_MWH,Days8to16,6.0,18,2,302.661033,290.5384216308594,12.122611369140628,12.122611369140628,3.93067828491946,100.0,16.069039851953114,17.055646972656234,0.0,13.08787785214892
xgb_component,XGB_Pred_MWH,Days8to16,5.0,18,6,264.65711066666665,252.54873657226562,12.108374094401029,12.108374094401029,4.631217216904415,100.0,19.037936560546854,22.31815746289061,0.0,13.421950974727165
xgb_component,XGB_Pred_MWH,Day1,5.0,18,1,299.14635,288.17181396484375,10.974536035156234,10.974536035156234,3.668617730136515,100.0,10.974536035156234,10.974536035156234,0.0,10.974536035156234
xgb_component,XGB_Pred_MWH,Days2to7,4.0,16,3,230.59850500000002,220.2979736328125,10.300531367187498,10.300531367187498,4.521517169960905,100.0,14.150101382421866,14.491089022460926,0.0,11.352140146034966
xgb_component,XGB_Pred_MWH,Days2to7,4.0,17,3,241.77887166666667,231.71087646484375,10.067995201822924,10.067995201822924,4.183781691773606,100.0,14.207440482421879,14.661860580078127,0.0,11.231113264446574
xgb_component,XGB_Pred_MWH,Day1,5.0,17,1,299.403183,289.45697021484375,9.946212785156263,9.946212785156263,3.3220130412428723,100.0,9.946212785156263,9.946212785156263,0.0,9.946212785156263
xgb_component,XGB_Pred_MWH,Days2to7,5.0,19,2,274.57665799999995,264.84925842285156,9.727399577148418,9.727399577148418,3.6053739667324813,100.0,15.81654467480467,17.338830949218732,0.0,12.351363894940649
xgb_component,XGB_Pred_MWH,Days2to7,6.0,18,4,308.40566625,301.3729705810547,7.032695668945323,9.317590525390628,3.003079259301864,75.0,10.94076039687502,10.970275179687519,4.569789712890611,9.712529470941853
xgb_component,XGB_Pred_MWH,Days2to7,7.0,20,3,295.304919,285.99550374348956,9.30941525651042,9.30941525651042,3.155538957060785,100.0,11.691070160156267,12.34887508203127,0.0,9.610406689456637
xgb_component,XGB_Pred_MWH,Days8to16,4.0,17,8,240.16372475,235.27098846435547,4.892736285644535,9.0341895,3.849972777524897,87.5,15.997484538378894,15.75391525878905,16.56581285742186,10.750882705594524
xgb_component,XGB_Pred_MWH,Days2to7,6.0,19,4,294.73399774999996,289.9523391723633,4.781658577636705,8.994386116699218,3.0483083473922385,75.0,10.18859200878905,10.442312980468728,8.425455078125026,9.063286471446895
xgb_component,XGB_Pred_MWH,Days8to16,6.0,20,2,270.19003299999997,261.2350540161133,8.954978983886718,8.954978983886718,3.2690698585807083,100.0,11.638532587402352,12.30942098828126,0.0,9.5626319474661
xgb_component,XGB_Pred_MWH,Day1,5.0,16,1,295.669641,286.8652038574219,8.804437142578138,8.804437142578138,2.9777954587424613,100.0,8.804437142578138,8.804437142578138,0.0,8.804437142578138
xgb_component,XGB_Pred_MWH,Days8to16,5.0,19,6,251.99379833333333,243.51518758138022,8.478610751953118,8.478610751953118,3.403210414352836,100.0,12.568806213378906,14.543346313476576,0.0,9.503228383701577
xgb_component,XGB_Pred_MWH,Days2to7,4.0,18,3,242.64348833333335,234.39690144856772,8.246586884765634,8.246586884765634,3.4332454271392017,100.0,12.774676616796881,13.582754916015631,0.0,9.62903596009914
xgb_component,XGB_Pred_MWH,Days8to16,5.0,20,6,233.63286783333334,225.84478505452475,7.7880827788085965,7.7880827788085965,3.340253155352895,100.0,11.043152181152351,13.152299291992193,0.0,8.46032522177644
xgb_component,XGB_Pred_MWH,Days8to16,4.0,18,8,239.7861145,235.10699272155762,4.679121778442383,7.722728899047855,3.2717468509379453,75.0,12.725319213867191,15.508369677734379,10.726626660156256,9.023334073925122
xgb_component,XGB_Pred_MWH,Days8to16,4.0,16,8,231.107456125,226.6791229248047,4.428333200195318,7.647849724365237,3.3503753087684784,87.5,14.366139367675782,14.444729663085951,12.878066096679675,9.247075719920957
xgb_component,XGB_Pred_MWH,Days2to7,4.0,19,3,232.75477766666666,225.3238067626953,7.430970903971352,7.613687082356772,3.2894454195552334,66.66666666666666,13.701510418359375,15.31352170410156,0.27407426757812914,9.784201929427452
xgb_component,XGB_Pred_MWH,Days2to7,5.0,20,2,253.926062,246.60873413085938,7.317327869140627,7.317327869140627,2.9556897506379016,100.0,12.56591411601562,13.878060677734368,0.0,9.827843208469519
xgb_component,XGB_Pred_MWH,Days8to16,4.0,19,8,232.080414375,226.8136749267578,5.266739448242188,6.440335838867188,2.7667563035683025,75.0,12.528735058007804,14.885424755859361,4.09110553320312,8.03835641510089
xgb_component,XGB_Pred_MWH,Days2to7,6.0,20,4,273.4388455,270.72027587890625,2.7185696210937635,6.357430322265628,2.3238723646692026,75.0,7.553916714062507,7.6334560058593866,7.2777214023437296,6.622895363558512
xgb_component,XGB_Pred_MWH,Days8to16,6.0,19,2,286.9770665,280.68304443359375,6.294022066406228,6.294022066406228,2.156175012238302,100.0,8.621236477343723,9.203040080078097,0.0,6.93376518035302
xgb_component,XGB_Pred_MWH,Days2to7,4.0,20,3,217.82878000000002,211.8470255533854,5.9817544466145876,6.284650127604162,2.8755205239683232,66.66666666666666,11.069462212500003,12.31590140039063,0.4543435214843612,7.935139727295279
xgb_component,XGB_Pred_MWH,Days8to16,4.0,20,8,218.887570625,213.33550262451172,5.552068000488283,5.577298404052733,2.550738685576523,87.5,9.741013720214843,10.74929315624999,0.10092161425779977,6.605501748801633
