candidate,blend,cap_mwh,loss,scope,min_day,correction_rows,mean_nonzero_correction_mwh,metric_overall_n,metric_overall_mae_mwh,metric_overall_bias_mwh,metric_overall_p90_abs_error_mwh,metric_day1_n,metric_day1_mae_mwh,metric_day1_bias_mwh,metric_day1_p90_abs_error_mwh,metric_days2to3_n,metric_days2to3_mae_mwh,metric_days2to3_bias_mwh,metric_days2to3_p90_abs_error_mwh,metric_days4to7_n,metric_days4to7_mae_mwh,metric_days4to7_bias_mwh,metric_days4to7_p90_abs_error_mwh,metric_hot_peak_n,metric_hot_peak_mae_mwh,metric_hot_peak_bias_mwh,metric_hot_peak_p90_abs_error_mwh,metric_cloud_solar_midday_n,metric_cloud_solar_midday_mae_mwh,metric_cloud_solar_midday_bias_mwh,metric_cloud_solar_midday_p90_abs_error_mwh,metric_shoulder_heat_n,metric_shoulder_heat_mae_mwh,metric_shoulder_heat_bias_mwh,metric_shoulder_heat_p90_abs_error_mwh,metric_peak_window_14_18_n,metric_peak_window_14_18_mae_mwh,metric_peak_window_14_18_bias_mwh,metric_peak_window_14_18_p90_abs_error_mwh,metric_scorecard_pass,max_iter,min_samples_leaf,max_leaf_nodes,l2_regularization,upper_blend,upper_cap_mwh,low_forecast_threshold_mwh,hot_peak_gate_excess_mwh,peak_window_gate_excess_mwh,combined_gate_excess_mwh
scenario_midpoint_guard,0.5,4.0,none,peak_hot,4,1196,0.149317873437881,6906,3.8634245140268697,0.12195320318657436,8.683037760611697,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.635647052641702,-0.07212576125860003,7.738291492726683,345,6.835473449828999,-0.19070874674779806,14.584124326790107,1392,5.101949034855574,0.04398579581926498,10.89652387428432,649,5.830694790326044,-0.10542901489654727,12.910707006720228,1439,5.768709986822758,-0.42367734060173456,12.525522687937073,False,,,,,0.08,3.0,230.0,0.8354734498289993,0.26870998682275804,1.1041834366517573
scenario_midpoint_guard,0.5,5.0,none,peak_hot,4,1196,0.1494388302808232,6906,3.8634454616643095,0.12193225554913464,8.683037760611697,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.6357307704566093,-0.07220947907350678,7.738291492726683,345,6.835473449828999,-0.19070874674779806,14.584124326790107,1392,5.101949034855574,0.04398579581926498,10.89652387428432,649,5.830694790326044,-0.10542901489654727,12.910707006720228,1439,5.768810518013973,-0.4237778717929498,12.525522687937073,False,,,,,0.08,3.0,230.0,0.8354734498289993,0.26881051801397327,1.1042839678429726
scenario_midpoint_guard,0.5,6.0,none,peak_hot,4,1196,0.1494388302808232,6906,3.8634454616643095,0.12193225554913464,8.683037760611697,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.6357307704566093,-0.07220947907350678,7.738291492726683,345,6.835473449828999,-0.19070874674779806,14.584124326790107,1392,5.101949034855574,0.04398579581926498,10.89652387428432,649,5.830694790326044,-0.10542901489654727,12.910707006720228,1439,5.768810518013973,-0.4237778717929498,12.525522687937073,False,,,,,0.08,3.0,230.0,0.8354734498289993,0.26881051801397327,1.1042839678429726
scenario_midpoint_guard,0.5,3.0,none,peak_hot,4,1196,0.1452447542570008,6906,3.8629984572087075,0.12265859712522668,8.683037760611697,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.633303870149191,-0.06978257876608784,7.720848868166451,345,6.839807677205156,-0.1950429741239545,14.584124326790107,1392,5.100381535416301,0.04555329525853774,10.89652387428432,649,5.828814592038544,-0.10354881660904831,12.910707006720228,1439,5.765979308648772,-0.419606077192097,12.525522687937073,False,,,,,0.08,3.0,230.0,0.8398076772051564,0.26597930864877206,1.1057869858539284
scenario_midpoint_guard,0.5,4.0,none,peak_hot,4,1196,0.06766993268080283,6906,3.863400287506807,0.13609321725339532,8.659535331483369,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.640520119890362,-0.05761364514934968,7.738291492726683,345,6.83498849809696,0.0923374478767396,14.754392016597627,1392,5.102427777904593,0.04919508545126485,10.89652387428432,649,5.837844251034827,-0.09827955418776473,12.910707006720228,1439,5.774317501857,-0.3899989003460884,12.525522687937073,False,,,,,0.0,0.0,0.0,0.8349884980969602,0.2743175018570003,1.1093059999539605
scenario_midpoint_guard,0.5,5.0,none,peak_hot,4,1196,0.067790889523745,6906,3.863421235144247,0.13607226961595562,8.659535331483369,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.6406038377052687,-0.05769736296425645,7.738291492726683,345,6.83498849809696,0.0923374478767396,14.754392016597627,1392,5.102427777904593,0.04919508545126485,10.89652387428432,649,5.837844251034827,-0.09827955418776473,12.910707006720228,1439,5.7744180330482155,-0.39009943153730375,12.525522687937073,False,,,,,0.0,0.0,0.0,0.8349884980969602,0.27441803304821555,1.1094065311451757
scenario_midpoint_guard,0.5,6.0,none,peak_hot,4,1196,0.067790889523745,6906,3.863421235144247,0.13607226961595562,8.659535331483369,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.6406038377052687,-0.05769736296425645,7.738291492726683,345,6.83498849809696,0.0923374478767396,14.754392016597627,1392,5.102427777904593,0.04919508545126485,10.89652387428432,649,5.837844251034827,-0.09827955418776473,12.910707006720228,1439,5.7744180330482155,-0.39009943153730375,12.525522687937073,False,,,,,0.0,0.0,0.0,0.8349884980969602,0.27441803304821555,1.1094065311451757
scenario_midpoint_guard,0.5,4.0,none,peak_hot,4,1196,0.09612418463993097,6906,3.8636039051192674,0.13116543194451652,8.659535331483369,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.6390826866720256,-0.0642739061148649,7.738291492726683,345,6.839064391522033,-0.006303958914904599,14.346051567571262,1392,5.102535961648169,0.04738113542416396,10.89652387428432,649,5.834300337321421,-0.10182346790116989,12.910707006720228,1439,5.771091265473532,-0.4015003992460054,12.525522687937073,False,,,,,0.05,2.0,220.0,0.839064391522033,0.27109126547353224,1.1101556569955653
scenario_midpoint_guard,0.5,5.0,none,peak_hot,4,1196,0.09624514148287314,6906,3.863624852756707,0.1311444843070768,8.659535331483369,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.6391664044869323,-0.06435762392977167,7.738291492726683,345,6.839064391522033,-0.006303958914904599,14.346051567571262,1392,5.102535961648169,0.04738113542416396,10.89652387428432,649,5.834300337321421,-0.10182346790116989,12.910707006720228,1439,5.7711917966647475,-0.40160093043722067,12.525522687937073,False,,,,,0.05,2.0,220.0,0.839064391522033,0.27119179666474746,1.1102561881867805
scenario_midpoint_guard,0.5,6.0,none,peak_hot,4,1196,0.09624514148287314,6906,3.863624852756707,0.1311444843070768,8.659535331483369,432,3.185888524726019,-1.3078651713044915,7.017003586587944,864,4.01206557293533,0.0017821748205542136,9.643305047682746,1728,3.6391664044869323,-0.06435762392977167,7.738291492726683,345,6.839064391522033,-0.006303958914904599,14.346051567571262,1392,5.102535961648169,0.04738113542416396,10.89652387428432,649,5.834300337321421,-0.10182346790116989,12.910707006720228,1439,5.7711917966647475,-0.40160093043722067,12.525522687937073,False,,,,,0.05,2.0,220.0,0.839064391522033,0.27119179666474746,1.1102561881867805
