WeatherInputBasis,Slice,SliceGroup,SliceValue,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.65016274923474,-0.3327027036990154,5.410012251305734,7.86075954741404,2.9632353324845084,47.023809523809526,12.365688816632257,47.49003089061847,49.575196752755744,371.312516,327.1190104664234,44.19350553357663,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,0.24784152810936533,4.380486625707511,-0.18437278436757515,-0.050271580390129245
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.68946735235733,-0.37200730682161,5.433534121221904,7.880114852474803,2.979992439239631,47.023809523809526,12.329025573939308,47.49003089061847,49.468884017715595,371.312516,327.1190104664234,44.19350553357663,Peak_Risk_Adjusted_Forecast_MWH,peak_risk_adjusted,0.22431965819319455,3.9647482409201533,-0.22367738749016974,-0.026749710473958466
realized_historical_weather,Overall,all,all,3360,179.3174600455357,180.6915026478343,-1.3740426022985899,5.460283831695863,7.956310728992727,2.997074939191051,40.89285714285714,12.509738892006908,45.853121672252115,53.02519675275573,371.312516,330.5690104664234,40.74350553357664,Final_Backtest_Forecast_MWH,final_corrected_production,0.19756994771923608,3.4919592379366966,-1.2257126829671496,0.0
realized_historical_weather,Overall,all,all,3360,179.3174600455357,180.6915026478343,-1.3740426022985899,5.460283831695863,7.956310728992727,2.997074939191051,40.89285714285714,12.509738892006908,45.853121672252115,53.02519675275573,371.312516,330.5690104664234,40.74350553357664,Stage_Selected_Forecast_MWH,stage_selected_production,0.19756994771923608,3.4919592379366966,-1.2257126829671496,0.0
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.44106774241456,-0.12360769687883472,5.477669971299739,8.04393003841089,2.9692017719934665,47.64880952380952,13.043102897787932,46.838569473373354,49.10681085585986,371.312516,326.6356005471717,44.676915452828325,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,0.18018380811535994,3.1846671041750945,0.024722222452605525,0.01738613960387614
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.42410589341847,-0.10664584788278891,5.48326656029185,7.96265092431275,2.9922714795377376,48.36309523809524,12.681145344920562,47.49003089061847,49.468884017715595,371.312516,327.1190104664234,44.19350553357663,Residual_Calibrated_Forecast_MWH,residual_calibrated,0.17458721912324915,3.0857499315102084,0.04168407144865133,0.022982728595986934
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.43001993852232,-0.11255989298657153,5.4891806053956325,7.967084462133789,2.995956009362594,48.36309523809524,12.681145344920562,47.49003089061847,49.468884017715595,371.312516,327.1190104664234,44.19350553357663,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,0.16867317401946647,2.9812218660218477,0.03577002634486871,0.028896773699769618
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.40903747186613,-0.09157742633040655,5.492070168101772,7.95962123578065,2.9984545860906318,48.392857142857146,12.669305940987954,47.49003089061847,49.468884017715595,371.312516,327.1190104664234,44.19350553357663,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,0.1657836113133273,2.930150155461702,0.05675249300103369,0.03178633640590878
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.46578996486718,-0.14832991933144024,5.657853779415099,8.172252365327555,3.08880048198924,46.63690476190476,13.36746911298385,46.25297147407065,49.10681085585986,371.312516,326.6356005471717,44.676915452828325,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,0.19756994771923608
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.43745814050948,-0.11999809497375481,5.67537825196664,8.21948050215928,3.091814213064693,47.11309523809524,13.220879238281254,45.91551619531248,48.66761494921877,371.312516,325.80621337890625,45.50630262109377,XGB_Pred_MWH,xgb_component,-0.01752447255154088,-0.3097371058845663,0.02833182435768543,0.21509442027077696
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.51300967213,-0.19554962659428163,5.6986542009982255,8.178467568441327,3.118426038554546,46.041666666666664,13.481759284759459,48.053720493354945,49.838804033594954,371.312516,328.01791249428084,43.29460350571918,LGB_Pred_MWH,lgb_component,-0.04080042158312658,-0.7211289505495928,-0.04721970726284139,0.23837036930236266
