Slice,SliceGroup,SliceValue,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
Overall,all,all,4606,137.76075834737298,137.39130081675552,0.3694575306174866,4.434573965522816,6.298148139709042,3.1705408220175917,53.30004342162397,10.335313259249318,31.377119742173278,32.51217314322216,330.534108,315.4123167344102,15.12179126558982,Peak_Risk_Adjusted_Forecast_MWH,peak_risk_adjusted,0.8564844276461656,16.187393220833275,3.421292744790871,-0.03543681153736955
Overall,all,all,4606,137.76075834737298,137.09306654802737,0.6676917993456305,4.459651082282957,6.3084324358999995,3.170633883375861,54.6461137646548,10.266594732593603,31.377119742173278,31.255194061482996,330.534108,315.4123167344102,15.12179126558982,Residual_Calibrated_Forecast_MWH,residual_calibrated,0.831407310886024,15.71344047080282,3.123058476062727,-0.010359694777227979
Overall,all,all,4606,137.76075834737298,137.42811775413944,0.3326405932335593,4.470010777060185,6.339154798459158,3.1987935472616496,53.56057316543639,10.542457043980889,31.586808388077856,32.51217314322216,330.534108,315.4123167344102,15.12179126558982,Stage_Selected_Forecast_MWH,stage_selected_production,0.8210476161087961,15.517644204585027,3.4581096821747983,0.0
Overall,all,all,4606,137.76075834737298,137.42811775413944,0.3326405932335593,4.470010777060185,6.339154798459158,3.1987935472616496,53.56057316543639,10.542457043980889,31.586808388077856,32.51217314322216,330.534108,315.4123167344102,15.12179126558982,Final_Backtest_Forecast_MWH,final_corrected_production,0.8210476161087961,15.517644204585027,3.4581096821747983,0.0
Overall,all,all,4606,137.76075834737298,137.27542820086842,0.4853301465045742,4.48012294019791,6.369333396121378,3.18808005842234,53.669127225358224,10.53087046967407,31.377119742173278,31.255194061482996,330.534108,315.4123167344102,15.12179126558982,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,0.8109354529710711,15.326526239400968,3.3054201289037834,0.010112163137725005
Overall,all,all,4606,137.76075834737298,137.33668430182325,0.42407404554972133,4.485138847715917,6.376540374818283,3.1944912736732896,53.38688666956144,10.511168889543896,31.377119742173278,32.51217314322216,330.534108,315.4123167344102,15.12179126558982,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,0.8059195454530643,15.23172653874972,3.366676229858636,0.01512807065573174
Overall,all,all,4606,137.76075834737298,137.7547804198744,0.005977927498593834,4.5166777723609215,6.386173392192912,3.2434684101050113,49.78289188015631,10.688118384375244,31.586808388077856,32.7946821978733,330.534108,315.4123167344102,15.12179126558982,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,0.7743806208080599,14.635646845399092,3.7847723479097635,0.04666699530073615
Overall,all,all,4606,137.76075834737298,135.75686092475883,2.003897422614154,4.60513202874275,6.443155025711999,3.234109495465973,66.391663048198,10.429562037867512,31.414522447773635,28.179945261954202,330.534108,315.3377104156307,15.196397584369322,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,0.6859263644262317,12.963878178169356,1.7868528527942034,0.1351212516825644
Overall,all,all,4606,137.76075834737298,134.3029279489162,3.457830398456814,5.037560732771509,6.863905858808822,3.5421594857509944,77.05167173252279,11.00364381351281,34.224984258360564,24.708921096617928,330.534108,321.6839190550165,8.850188944983529,CatBoost_Pred_MWH,catboost_benchmark,0.2534976603974721,4.791057696977039,0.33291987695154335,0.5675499557113239
Overall,all,all,4606,137.76075834737298,134.0032984922655,3.7574598551075225,5.2717616722558,7.100236018943139,3.721517622995135,78.20234476769431,11.326019783658325,34.51910091439058,25.1239622228168,330.534108,316.0082881591298,14.525819840870213,LGB_Pred_MWH,lgb_component,0.019296720913181353,0.3647043649734498,0.033290420300835066,0.8017508951956147
