N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
4606,134.8651064001303,134.73479729484453,0.13030910528576295,4.149906640154235,5.853197552461958,3.0241884907662175,52.86582718193661,9.52400910318022,27.188402864288264,34.6784762400963,329.614775,317.8782520044699,11.736522995530095,Peak_Risk_Adjusted_Forecast_MWH,peak_risk_adjusted,0.9836249568980815,19.16078509116182,3.2595496179332346,-0.02997551403694665
4606,134.8651064001303,134.5778247169115,0.28728168321876524,4.158551631227134,5.865181930899569,3.023928172281366,53.669127225358224,9.52006128091758,27.219926651718055,34.6784762400963,329.614775,317.8782520044699,11.736522995530095,Residual_Calibrated_Forecast_MWH,residual_calibrated,0.9749799658251828,18.992382678330415,3.102577040000232,-0.021330522964047915
4606,134.8651064001303,134.69801698846177,0.16708941166848035,4.17715394505767,5.89638882581515,3.038819974979406,52.95267042987408,9.618078231505223,27.188402864288264,34.6784762400963,329.614775,317.8782520044699,11.736522995530095,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,0.9563776519946465,18.630013937068206,3.222769311550517,-0.002728209133511683
4606,134.8651064001303,134.64271954042994,0.22238685970030633,4.177907187122164,5.90176535970183,3.0374137788056683,53.2783326096396,9.720201000862119,27.219926651718055,34.6784762400963,329.614775,317.8782520044699,11.736522995530095,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,0.9556244099301523,18.615340957068884,3.167471863518691,-0.0019749670690174526
4606,134.8651064001303,135.07843646240147,-0.2133300622711936,4.179882154191182,5.890881143050689,3.0556370436098925,50.15197568389058,9.705480593392643,26.76231183271797,33.86688930593451,329.614775,319.1205360007547,10.494238999245283,Final_Backtest_Forecast_MWH,final_corrected_production,0.9536494428611348,18.57686905850004,3.176528660947804,0.0
4606,134.8651064001303,135.07843646240147,-0.2133300622711936,4.179882154191182,5.890881143050689,3.0556370436098925,50.15197568389058,9.705480593392643,26.76231183271797,33.86688930593451,329.614775,319.1205360007547,10.494238999245283,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,0.9536494428611348,18.57686905850004,3.176528660947804,0.0
4606,134.8651064001303,133.18578632419954,1.679320075930721,4.344080421828688,6.060802392626843,3.1313839869846913,66.56534954407294,9.734246086975787,28.59269508226508,33.29293888297681,329.614775,315.84904068238404,13.765734317615966,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,0.7894511752236282,15.378325043853486,1.7105386472882764,0.16419826763750667
4606,134.8651064001303,131.70008082067167,3.1650255794585966,5.006022995358801,6.804495212569761,3.6080060177644637,76.53061224489795,10.819531931639105,35.144901689766925,28.342669906972546,329.614775,317.8910278196455,11.723747180354508,CatBoost_Pred_MWH,catboost_benchmark,0.1275086016935152,2.483837866445214,0.22483314376040076,0.8261408411676197
4606,134.8651064001303,131.56650923796275,3.2985971621675,5.099072303575696,6.882570169080698,3.6842042198622797,76.61745549283543,10.717191485235332,34.567449356303996,31.987303491083594,329.614775,309.975391852243,19.63938314775703,LGB_Pred_MWH,lgb_component,0.0344592934766208,0.6712590119520719,0.09126156105149752,0.919190149384514
4606,134.8651064001303,131.47524767691127,3.3898587232189974,5.1335315970523165,6.915305235612917,3.714588222135612,77.22535822839774,10.830558562814737,34.52042475682286,31.289746824903403,329.614775,315.84904068238404,13.765734317615966,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,0.9536494428611348
4606,134.8651064001303,131.42049074028037,3.4446156598498816,5.167369093117122,6.9546069269089354,3.741771586007821,77.61615284411637,10.878107206542964,34.65118835449218,30.8712128251953,329.614775,319.37322998046875,10.241545019531259,XGB_Pred_MWH,xgb_component,-0.03383749606480535,-0.6591465431757526,-0.05475693663088421,0.9874869389259402
4606,134.8651064001303,131.92366858015467,2.941437819975606,6.806752666230777,8.93823996656305,5.043022276057566,63.09161962657404,14.536885052257091,38.52597626467224,31.08161367613718,329.614775,299.95502076429807,29.65975423570194,Prophet_Pred_MWH,prophet_benchmark,-1.6732210691784601,-32.59395676339514,0.44842090324339123,2.626870512039595
4582,134.96464216783065,134.90566389764294,0.058978270187690925,8.403248775207333,13.461195669662459,5.862106001591623,49.345264076822346,20.446840500000018,123.98603299999999,62.03,329.614775,325.1866,4.42817500000001,Baseline_SameHourYesterday_MWH,baseline_same_hour_yesterday,-3.269717178155016,-63.69332916997129,3.3308804530313063,4.223366621016151
4558,135.08802439052215,134.45225395059236,0.6357704399297942,12.476785867045905,19.281551844333745,8.407225908875075,47.871873628784556,29.766172814285717,116.5713867142857,83.07873214285712,329.614775,278.15418314285716,51.460591857142845,Baseline_Rolling7DaySameHourAvg_MWH,baseline_rolling_7day_same_hour_avg,-7.343254269993588,-143.0448830627652,2.754088283289203,8.296903712854723
4438,135.53971708111763,134.46342167169897,1.0762954094186574,17.64440175777377,28.173272172780678,11.735522111358913,50.45065344749887,41.28676430000002,196.71855,122.66765800000002,329.614775,251.2493,78.365475,Baseline_SameHour7DaysAgo_MWH,baseline_same_hour_7_days_ago,-12.510870160721455,-243.70883716592334,2.3135633138003397,13.46451960358259
