Stage,ForecastColumn,Replay_Horizon_Bucket,CloudCoverBucket,SolarLossBucket,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,High,13,1,150.362033,129.185546875,21.176486124999997,21.176486124999997,14.083665738278489,100.0,21.176486124999997,21.176486124999997,0.0,21.176486124999997
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,Extreme,11,1,114.462583,135.25216674804688,-20.78958374804688,20.78958374804688,18.162777043085672,0.0,20.78958374804688,-20.78958374804688,20.78958374804688,20.78958374804688
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,Extreme,12,1,116.055233,133.3545684814453,-17.29933548144531,17.29933548144531,14.906122743681289,0.0,17.29933548144531,-17.29933548144531,17.29933548144531,17.29933548144531
xgb_component,XGB_Pred_MWH,Days2to7,Some Clouds,High,10,2,141.731687,125.20512390136719,16.526563098632813,16.526563098632813,10.750288933886107,100.0,26.538971161914066,29.04207317773438,0.0,20.730780988500765
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,High,14,5,141.1057278,128.3460922241211,12.759635575878907,15.779565455175781,10.95440444029651,80.0,22.06390089082031,22.251594124999997,7.54982469824219,16.81024947778667
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,High,14,8,144.721682,130.90666103363037,13.815020966369625,15.41359100006103,10.299203812884613,87.5,24.143447370214837,24.36015015527343,6.394280134765623,17.1119647238116
xgb_component,XGB_Pred_MWH,Day1,Overcast,Medium,14,1,140.556875,125.40892028808594,15.147954711914053,15.147954711914053,10.777099812381326,100.0,15.147954711914053,15.147954711914053,0.0,15.147954711914053
xgb_component,XGB_Pred_MWH,Day1,Mostly Cloudy,Medium,15,1,143.888366,129.04864501953125,14.83972098046874,14.83972098046874,10.31335707882647,100.0,14.83972098046874,14.83972098046874,0.0,14.83972098046874
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,High,13,12,137.52426641666668,125.34065691630046,12.18360950036621,13.98777804341634,9.635468029690022,83.33333333333334,28.376239796435538,29.545977474609373,6.527582449707026,16.940869636424573
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,High,13,10,142.68452299999998,128.698477935791,13.986045064208986,13.986045064208986,9.500036391974799,100.0,21.860947400488275,31.8723180419922,0.0,16.322931473928914
