WeatherInputBasis,Slice,SliceGroup,SliceValue,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
realized_historical_weather,Overall,all,all,1901,138.01273576433454,137.89910185091958,0.11363391341498466,3.7248713289590705,5.13050275294899,2.6634382829650374,52.23566543924251,8.258701101737614,21.64882642515576,30.339223684318227,317.629341,316.2393264972184,1.3900145027815825,Peak_Risk_Adjusted_Forecast_MWH,peak_risk_adjusted,1.20427506411697,24.431716327366786,3.133021237250133,-0.05762400186920491
realized_historical_weather,Overall,all,all,1901,138.01273576433454,137.8588628358481,0.15387292848646067,3.7449479210172143,5.17459964914651,2.674582132872107,52.39347711730669,8.315657149019685,21.64882642515576,30.339223684318227,317.629341,316.2393264972184,1.3900145027815825,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,1.1841984720588261,24.024412699981212,3.092782222178657,-0.03754740981106108
realized_historical_weather,Overall,all,all,1901,138.01273576433454,137.79442764158603,0.218308122748524,3.7763239165752247,5.226860849039879,2.696398221543755,52.498684902682804,8.462318590655002,21.856617614355613,30.339223684318227,317.629341,316.2393264972184,1.3900145027815825,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,1.1528224765008157,23.387872555787396,3.0283470279165936,-0.006171414253050678
realized_historical_weather,Overall,all,all,1901,138.01273576433454,138.42156139091733,-0.40882562658276766,3.7824953308282754,5.1878632033704255,2.716364914817941,46.02840610205155,8.418894744567396,21.127510244057873,28.59976721180962,317.629341,316.05806754419797,1.571273455802043,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,1.146651062247765,23.262670061056877,2.83782952408235,0.0
realized_historical_weather,Overall,all,all,1901,138.01273576433454,138.42156139091733,-0.40882562658276766,3.7824953308282754,5.1878632033704255,2.716364914817941,46.02840610205155,8.418894744567396,21.127510244057873,28.59976721180962,317.629341,316.05806754419797,1.571273455802043,Final_Backtest_Forecast_MWH,final_corrected_production,1.146651062247765,23.262670061056877,2.83782952408235,0.0
realized_historical_weather,Overall,all,all,1901,138.01273576433454,137.71849912455573,0.29423663977882486,3.8002075847165293,5.237367737474266,2.7117256667939973,53.02472382956339,8.457158821841148,21.856617614355613,30.339223684318227,317.629341,316.2393264972184,1.3900145027815825,Residual_Calibrated_Forecast_MWH,residual_calibrated,1.128938808359511,22.903332916736428,2.952418510886293,0.017712253888253926
realized_historical_weather,Overall,all,all,1901,138.01273576433454,136.43758738674737,1.5751483775871935,4.018026459263544,5.449848777035222,2.868880176041976,65.7022619673856,8.789104647279999,22.435688821212665,28.631681920840407,317.629341,312.3968709616392,5.232470038360816,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,0.911119933812496,18.484335038057377,1.6715067730779243,0.23553112843526902
realized_historical_weather,Overall,all,all,1901,138.01273576433454,135.1042232286146,2.908512535719963,4.741313547746667,6.229266845833417,3.4080323605419247,75.1709626512362,9.837332473183892,24.147029123527943,25.109862666111212,317.629341,320.65545653940063,-3.026115539400621,CatBoost_Pred_MWH,catboost_benchmark,0.18783284532937383,3.8106566604153236,0.33814261494515474,0.9588182169183912
realized_historical_weather,Overall,all,all,1901,138.01273576433454,134.8274011550839,3.1853346092506887,4.8925901574327995,6.433997332292109,3.516583142606819,76.80168332456601,10.309628035096338,25.425126357254996,26.563030795493347,317.629341,313.80885153572547,3.8204894642745444,LGB_Pred_MWH,lgb_component,0.03655623564324095,0.7416342045468848,0.06132054141442911,1.110094826604524
realized_historical_weather,Overall,all,all,1901,138.01273576433454,134.76608061366943,3.246655150665118,4.92914639307604,6.464303189433343,3.5514547798203324,76.80168332456601,10.323758008317526,24.31713507623138,26.32495570602481,317.629341,312.3968709616392,5.232470038360816,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,1.146651062247765
realized_historical_weather,Overall,all,all,1901,138.01273576433454,134.7292882888208,3.283447475513762,4.963534116623704,6.50413580506847,3.5806721479631674,76.80168332456601,10.45631604003907,24.300864657226555,26.182110652343738,317.629341,311.5496826171875,6.079658382812511,XGB_Pred_MWH,xgb_component,-0.034387723547663285,-0.697640540682006,-0.03679232484864414,1.1810387857954283
realized_historical_weather,Overall,all,all,1901,138.01273576433454,135.3210119235784,2.691723840756142,6.702389049991328,8.648444037752713,4.870663810701225,59.81062598632298,14.468102581303583,37.111332502711434,30.769201774124383,317.629341,296.5721578094986,21.057183190501405,Prophet_Pred_MWH,prophet_benchmark,-1.7732426569152873,-35.974639734907385,0.5549313099089757,2.9198937191630523
realized_historical_weather,Overall,all,all,1877,138.17610482418752,135.98369651997868,2.192408304208844,9.065652403303146,15.454086183183161,6.078323715039156,56.366542354821526,21.331423400000023,146.253625,59.48872499999999,317.629341,298.303833,19.325508000000013,Baseline_SameHourYesterday_MWH,baseline_same_hour_yesterday,-4.136506010227105,-83.91931747122878,1.054246846456274,5.28315707247487
realized_historical_weather,Overall,all,all,1853,138.46511553642742,133.64073573319715,4.824379803230283,13.35532121122247,20.876812010392634,8.67729482597449,53.5887749595251,33.09653194285715,133.056412,55.37716071428568,317.629341,269.59492585714287,48.03441514285714,Baseline_Rolling7DaySameHourAvg_MWH,baseline_rolling_7day_same_hour_avg,-8.42617481814643,-170.94592341551586,-1.577724652565165,9.572825880394195
