Stage,ForecastColumn,Replay_Horizon_Bucket,CloudCoverBucket,SolarLossBucket,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,High,13,1,150.362033,124.302978515625,26.059054484374997,26.059054484374997,17.330874000868953,100.0,26.059054484374997,26.059054484374997,0.0,26.059054484374997
xgb_component,XGB_Pred_MWH,Days2to7,Partly Cloudy,High,14,1,143.0461,119.1527099609375,23.893390039062496,23.893390039062496,16.7032795994176,100.0,23.893390039062496,23.893390039062496,0.0,23.893390039062496
xgb_component,XGB_Pred_MWH,Days8to16,Some Clouds,High,10,2,141.731687,123.72828674316406,18.00340025683594,18.00340025683594,12.004533672935661,100.0,26.196325898242193,28.244557308593755,0.0,20.712404944057297
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,High,11,1,115.699866,131.517578125,-15.817712125,15.817712125,13.671331412777954,0.0,15.817712125,-15.817712125,15.817712125,15.817712125
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,High,12,1,116.055233,131.25213623046875,-15.196903230468749,15.196903230468749,13.094543725114704,0.0,15.196903230468749,-15.196903230468749,15.196903230468749,15.196903230468749
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,High,13,12,137.514683,124.20543734232585,13.309245657674149,15.15628645487467,10.502099950024864,83.33333333333334,30.656226344433605,31.930407406249998,10.905442219726567,18.264090013448058
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,High,14,6,139.17895366666667,125.2994867960612,13.879466870605468,14.929152249186195,10.358162429552698,83.33333333333334,22.868871960937497,23.668616830078122,3.1490561357421853,17.080785714219324
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,High,13,12,138.25915441666666,124.49394289652507,13.765211520141603,13.788127713338218,9.70684371386792,91.66666666666666,22.05869038481445,24.17271039697266,0.13749715917968786,15.688041739947781
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,High,15,5,146.788048,133.1201385498047,13.66790945019531,13.66790945019531,9.218252613554167,100.0,19.654010241210933,21.766590934570303,0.0,14.605471701641498
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,Medium,15,2,140.02250800000002,126.63893508911133,13.383572910888674,13.383572910888674,9.50193769611899,100.0,15.958488925146478,16.602217928710928,0.0,13.765162534885853
xgb_component,XGB_Pred_MWH,Days8to16,Some Clouds,High,11,3,145.187997,133.99184926350912,11.196147736490886,13.101870311360685,8.358597770232906,66.66666666666666,27.874653543554697,34.128670963867194,2.858583862304698,19.818446445175134
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Extreme,12,25,135.17567836,125.27925384521484,9.89642451478516,12.763311578105473,8.943717895783834,72.0,24.391221289062514,31.992736669921868,10.818221182617194,15.523560855309126
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Extreme,12,23,142.28024208695652,130.61387070365575,11.666371383300785,12.755536953783121,8.80011650016459,91.30434782608695,21.684735577050795,26.527255639648445,9.296291308593737,14.440342443514206
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,Extreme,11,3,130.60494966666667,131.36861165364584,-0.7636619869791635,12.36237724348959,9.920214570165358,66.66666666666666,17.564380761523445,9.065668424804699,19.68905884570313,13.407390328999382
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Extreme,13,13,134.70045869230768,124.68999950702374,10.010459185283954,12.231126310659555,8.784970479623153,84.61538461538461,22.16363703789063,24.50637012597656,8.606142817871088,14.411684666598424
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Extreme,14,7,146.02532471428572,133.90482439313615,12.120500321149555,12.120500321149555,8.228076027253618,100.0,19.313706409765626,19.709259066406247,0.0,13.246603611068876
xgb_component,XGB_Pred_MWH,Day1,Overcast,Extreme,15,1,126.066633,114.13435363769531,11.932279362304683,11.932279362304683,9.465057548022786,100.0,11.932279362304683,11.932279362304683,0.0,11.932279362304683
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Extreme,11,25,143.04553864,131.9173031616211,11.128235478378908,11.83634633279297,8.217467171452087,92.0,19.9080703044922,25.4334909267578,8.150565921386715,13.290523374348181
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,High,12,3,141.145158,132.38502756754556,8.760130432454426,11.5488703413086,8.105279187301578,66.66666666666666,16.848324107031253,17.92603979150391,4.18310986328126,12.858580122724232
