Month,Hour,N,Bias_Delta_F,Bias_Std_F,Month_Count,Month_Delta_F,Global_Delta_F,Bias_Source,Applied_Delta_F
1,0,217,2.2892198571428573,2.085196158563671,5208,2.4224622843701997,1.7978716380864177,month_hour,2.2892198571428573
1,1,217,2.1761892580645164,2.212390412099385,5208,2.4224622843701997,1.7978716380864177,month_hour,2.1761892580645164
1,2,217,2.1895082350230415,2.171661467429211,5208,2.4224622843701997,1.7978716380864177,month_hour,2.1895082350230415
1,3,217,2.002955,2.290141280083789,5208,2.4224622843701997,1.7978716380864177,month_hour,2.002955
1,4,217,1.8466420000000001,2.3113541928336776,5208,2.4224622843701997,1.7978716380864177,month_hour,1.8466420000000001
1,5,217,1.6879057142857141,2.1942784297099003,5208,2.4224622843701997,1.7978716380864177,month_hour,1.6879057142857141
1,6,217,1.8322793917050686,2.0683764279004766,5208,2.4224622843701997,1.7978716380864177,month_hour,1.8322793917050686
1,7,217,1.8144696682027646,2.0779287979847614,5208,2.4224622843701997,1.7978716380864177,month_hour,1.8144696682027646
1,8,217,2.0469799170506913,2.1700287911333733,5208,2.4224622843701997,1.7978716380864177,month_hour,2.0469799170506913
1,9,217,3.1137334377880186,2.0748134520812207,5208,2.4224622843701997,1.7978716380864177,month_hour,3.1137334377880186
1,10,217,3.741712479262673,2.551009972638455,5208,2.4224622843701997,1.7978716380864177,month_hour,3.741712479262673
1,11,217,3.919066198156682,2.7624073644838876,5208,2.4224622843701997,1.7978716380864177,month_hour,3.919066198156682
1,12,217,3.5154615714285717,2.6497281885276878,5208,2.4224622843701997,1.7978716380864177,month_hour,3.5154615714285717
1,13,217,2.804336566820276,2.5362632040713375,5208,2.4224622843701997,1.7978716380864177,month_hour,2.804336566820276
1,14,217,2.2503176405529954,2.518702584037032,5208,2.4224622843701997,1.7978716380864177,month_hour,2.2503176405529954
1,15,217,1.8775880368663596,2.5599743703227795,5208,2.4224622843701997,1.7978716380864177,month_hour,1.8775880368663596
1,16,217,1.6849169723502304,2.4763663167827503,5208,2.4224622843701997,1.7978716380864177,month_hour,1.6849169723502304
1,17,217,1.3754836543778803,1.9943013380454204,5208,2.4224622843701997,1.7978716380864177,month_hour,1.3754836543778803
1,18,217,2.6118618018433177,2.20986716377284,5208,2.4224622843701997,1.7978716380864177,month_hour,2.6118618018433177
1,19,217,3.212451023041475,2.3900348111035563,5208,2.4224622843701997,1.7978716380864177,month_hour,3.212451023041475
1,20,217,2.876692004608295,2.252500585315993,5208,2.4224622843701997,1.7978716380864177,month_hour,2.876692004608295
1,21,217,2.4727154516129035,2.2225905881412245,5208,2.4224622843701997,1.7978716380864177,month_hour,2.4727154516129035
1,22,217,2.462646013824885,2.169015736337874,5208,2.4224622843701997,1.7978716380864177,month_hour,2.462646013824885
1,23,217,2.3339629308755763,2.035167094647939,5208,2.4224622843701997,1.7978716380864177,month_hour,2.3339629308755763
2,0,198,2.8611022323232325,2.175627217586213,4752,2.889656503367003,1.7978716380864177,month_hour,2.8611022323232325
2,1,198,2.7434340808080813,2.253126773375372,4752,2.889656503367003,1.7978716380864177,month_hour,2.7434340808080813
2,2,198,2.5342619595959595,2.4078571178493005,4752,2.889656503367003,1.7978716380864177,month_hour,2.5342619595959595
2,3,198,2.3774287474747475,2.455860532136624,4752,2.889656503367003,1.7978716380864177,month_hour,2.3774287474747475
2,4,198,2.3930225757575756,2.518066640058154,4752,2.889656503367003,1.7978716380864177,month_hour,2.3930225757575756
2,5,198,1.9842083787878786,2.228945413285673,4752,2.889656503367003,1.7978716380864177,month_hour,1.9842083787878786
2,6,198,2.2459696161616165,2.2674435662613424,4752,2.889656503367003,1.7978716380864177,month_hour,2.2459696161616165
2,7,198,2.3903318080808083,2.1851671022653636,4752,2.889656503367003,1.7978716380864177,month_hour,2.3903318080808083
2,8,198,3.42501801010101,2.408707178387002,4752,2.889656503367003,1.7978716380864177,month_hour,3.42501801010101
2,9,198,4.032055388888889,2.150489679350286,4752,2.889656503367003,1.7978716380864177,month_hour,4.032055388888889
2,10,198,4.232584358585858,2.4257146978282362,4752,2.889656503367003,1.7978716380864177,month_hour,4.232584358585858
2,11,198,4.050866878787879,2.459742008982782,4752,2.889656503367003,1.7978716380864177,month_hour,4.050866878787879
2,12,198,3.4212194999999994,2.2045323663041803,4752,2.889656503367003,1.7978716380864177,month_hour,3.4212194999999994
2,13,198,2.8754889292929295,2.0578773089630933,4752,2.889656503367003,1.7978716380864177,month_hour,2.8754889292929295
