Month,Hour,N,Bias_Delta_F,Bias_Std_F,Month_Count,Month_Delta_F,Global_Delta_F,Bias_Source,Applied_Delta_F
1,0,217,2.287412064516129,2.0852894391802073,5208,2.4221481251920123,1.7961677219156134,month_hour,2.287412064516129
1,1,217,2.178082534562212,2.212343326057389,5208,2.4221481251920123,1.7961677219156134,month_hour,2.178082534562212
1,2,217,2.194300013824885,2.1724728970030576,5208,2.4221481251920123,1.7961677219156134,month_hour,2.194300013824885
1,3,217,2.0031073594470046,2.289103102021753,5208,2.4221481251920123,1.7961677219156134,month_hour,2.0031073594470046
1,4,217,1.847566737327189,2.314778493026206,5208,2.4221481251920123,1.7961677219156134,month_hour,1.847566737327189
1,5,217,1.6863567096774192,2.195393027379263,5208,2.4221481251920123,1.7961677219156134,month_hour,1.6863567096774192
1,6,217,1.8323073364055296,2.0676312070753897,5208,2.4221481251920123,1.7961677219156134,month_hour,1.8323073364055296
1,7,217,1.8128734700460825,2.0846191236568523,5208,2.4221481251920123,1.7961677219156134,month_hour,1.8128734700460825
1,8,217,2.0485184792626727,2.166294824009652,5208,2.4221481251920123,1.7961677219156134,month_hour,2.0485184792626727
1,9,217,3.1095509723502306,2.0705528146269616,5208,2.4221481251920123,1.7961677219156134,month_hour,3.1095509723502306
1,10,217,3.7419882211981568,2.552123467031847,5208,2.4221481251920123,1.7961677219156134,month_hour,3.7419882211981568
1,11,217,3.9207485714285717,2.7671801325374763,5208,2.4221481251920123,1.7961677219156134,month_hour,3.9207485714285717
1,12,217,3.5178388341013824,2.6520832180530287,5208,2.4221481251920123,1.7961677219156134,month_hour,3.5178388341013824
1,13,217,2.804836096774194,2.5340391176557797,5208,2.4221481251920123,1.7961677219156134,month_hour,2.804836096774194
1,14,217,2.2481083824884793,2.517634604792725,5208,2.4221481251920123,1.7961677219156134,month_hour,2.2481083824884793
1,15,217,1.8736285944700464,2.5573327939148522,5208,2.4221481251920123,1.7961677219156134,month_hour,1.8736285944700464
1,16,217,1.6846388202764977,2.475055058873188,5208,2.4221481251920123,1.7961677219156134,month_hour,1.6846388202764977
1,17,217,1.3789749032258067,1.9932664153512907,5208,2.4221481251920123,1.7961677219156134,month_hour,1.3789749032258067
1,18,217,2.608323677419355,2.2071793973531575,5208,2.4221481251920123,1.7961677219156134,month_hour,2.608323677419355
1,19,217,3.212857658986175,2.3916393301931915,5208,2.4221481251920123,1.7961677219156134,month_hour,3.212857658986175
1,20,217,2.8709958801843314,2.2562484234913764,5208,2.4221481251920123,1.7961677219156134,month_hour,2.8709958801843314
1,21,217,2.471993778801844,2.218190988726707,5208,2.4221481251920123,1.7961677219156134,month_hour,2.471993778801844
1,22,217,2.461337557603687,2.172529137078212,5208,2.4221481251920123,1.7961677219156134,month_hour,2.461337557603687
1,23,217,2.3352083502304146,2.0362770823539065,5208,2.4221481251920123,1.7961677219156134,month_hour,2.3352083502304146
2,0,198,2.8653169242424243,2.175749544586247,4752,2.889241965698653,1.7961677219156134,month_hour,2.8653169242424243
2,1,198,2.7400928333333336,2.25121435596404,4752,2.889241965698653,1.7961677219156134,month_hour,2.7400928333333336
