Stage,ForecastColumn,DT,Date,Forecast_Lead_Hour,Forecast_Day,Season,Month,Hour,HourGroup,Actual_MWH,Stage_Forecast_MWH,Raw_Forecast_MWH,Residual_Calibrated_Forecast_MWH,Warm_Ramp_Adjusted_Forecast_MWH,Cloud_Solar_Adjusted_Forecast_MWH,Recent_Corrected_Forecast_MWH,XGB_Pred_MWH,LGB_Pred_MWH,CatBoost_Pred_MWH,Prophet_Pred_MWH,Stage_Residual_MWH,Stage_AbsError_MWH,Stage_APE,Temperature,Temperature_DailyMax,DailyMaxTempBucket,CloudCover_Norm,CloudCoverBucket,BTM_Solar_Proxy_MW,BTMSolarBucket,SolarLossBucket,BTM_Solar_Loss_From_ClearSky_MW,Cloud_Solar_Shape_Cal_MWH,Cloud_Solar_Shape_Raw_Cal_MWH,CloudSolarEventClass,CloudSolarEventMultiplier,CloudSolarBaseBucket,Humidity_Norm,WindSpeed_Mph,WindDirection_Deg,WindDirection_Available_Flag,Westerly_Flow_Mph,Westerly_Flow_Flag,WindRamp_1Hr_Mph,WindRamp_3Hr_Mph,WindRamp_Next1Hr_Mph,WindRamp_Next3Hr_Mph,WesterlyFlow_Ramp_1Hr_Mph,WesterlyFlow_Ramp_3Hr_Mph,WesterlyFlow_Next1Hr_Ramp_Mph,WesterlyFlow_Next3Hr_Ramp_Mph,Temperature_Drop_From_DailyMax_F,TempDrop_1Hr_F,TempDrop_2Hr_F,TempDrop_3Hr_F,TempDrop_Next1Hr_F,TempDrop_Next2Hr_F,TempDrop_Next3Hr_F,IsPostPeakEvening18to23,ClearHotEvening_Flag,ClearVeryHotEvening_Flag,ClearHotEvening_x_TempDropFromDailyMax,ClearHotEvening_x_ForecastDropNext3Hr,ClearHotEvening_x_WesterlyFlow,ClearHotEvening_x_WesterlyFlowRamp,DeltaBreeze_Westerly_Flow_Flag,DeltaBreeze_EveningWindRamp_Flag,DeltaBreeze_Cooling_Flag,DeltaBreeze_Cooling_Signal,DeltaBreeze_CoolingNoDirection_Signal,DeltaBreeze_ClearHotEvening_Signal,Load_Decay_1Hr_MWH,Load_Decay_2Hr_MWH,Lag1_Minus_SameHourYesterday_MWH,Lag1_Minus_SameHour7DayMean_MWH,PostPeak_LoadDecay_1Hr_MWH,PostPeak_LoadDecay_2Hr_MWH,PostPeak_LoadDecay_VsSameHourYesterday_MWH,PostPeak_LoadDecay_VsSameHour7DayMean_MWH,ClearHotEvening_LoadDecay_Vs7Day_MWH,DeltaBreeze_PostPeak_LoadDecay_Signal,PrecipIn,IsWeekend,IsHoliday
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-03 16:00:00-07:00,2026-08-03,940,40,Summer,8,16,Peak,345.623,303.0130809837948,303.0130809837948,313.64731545845393,313.64731545845393,313.64731545845393,313.64731545845393,303.51104736328125,305.0912591982234,299.6050962526965,370.2796524518251,42.6099190162052,42.6099190162052,12.328438505598644,105.1,105.1,7.0,0.0,Clear/Low,6.7064029351689785,Medium-Low,None,0.0,0.0,0.0,other,0.7,170+,0.12,2.9,244.0,1.0,2.6065027342675844,0.0,-0.5,-0.30000000000000027,-0.5,-1.7,-0.7516376237558839,-0.4984435898156043,-0.3812614833072945,-1.9354712501026883,0.0,0.0,0.0,0.0,0.5999999999999943,0.8999999999999915,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.30842223609369,-34.70782628525876,1.698419072367244,27.546148682549642,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-03 15:00:00-07:00,2026-08-03,939,40,Summer,8,15,Midday,330.34,289.420570032136,289.420570032136,302.0195611141557,302.0195611141557,302.0195611141557,308.527677693468,291.2242431640625,294.84670526027253,280.3784509216567,350.3035340509719,40.91942996786395,40.91942996786395,12.387064832555534,104.2,105.1,7.0,0.0,Clear/Low,10.787104393177868,Medium-High,Medium,0.705688627867989,0.0,0.0,other,0.7,170+,0.14,3.4,261.0,1.0,3.3581403580234683,1.0,0.3999999999999999,0.10000000000000009,-0.5,-2.2,0.3745746719186487,0.2984336379530701,-0.7516376237558839,-2.158140358023468,0.8999999999999915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.39940404916507,-39.96763492857946,-0.9606686820647496,26.98149637745192,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-04 18:00:00-07:00,2026-08-04,966,41,Summer,8,18,Peak,337.234,296.3898452255527,296.3898452255527,309.47331742637294,309.47331742637294,309.47331742637294,309.47331742637294,298.010986328125,299.77806882266145,290.6023106865039,392.37197064359805,40.844154774447304,40.844154774447304,12.111517455074905,101.2,102.1,6.0,0.0,Clear/Low,1.387417260011429,Low,None,0.0,0.0,0.0,other,0.7,170+,0.16,5.7,191.0,1.0,1.087611273646306,0.0,0.9000000000000004,2.2,1.2999999999999998,2.3,-0.23544803427529004,0.06431030711672725,0.12792597002220685,-1.087611273646306,0.8999999999999915,0.8999999999999915,0.8999999999999915,0.0,2.700000000000003,8.0,13.400000000000006,1.0,1.0,1.0,0.8999999999999915,13.400000000000006,1.087611273646306,0.06431030711672725,0.0,0.0,1.0,15.552841213142171,14.299999999999997,17.0,-8.970574262572882,-25.35830671681265,-15.992836138244002,15.659345977680744,-8.970574262572882,-25.35830671681265,15.992836138244002,-15.659345977680744,-15.659345977680744,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-07 17:00:00-07:00,2026-08-07,1037,44,Summer,8,17,Peak,328.63,288.1562186671546,288.1562186671546,301.42390119389796,301.42390119389796,301.42390119389796,301.42390119389796,289.13812255859375,291.5548680061728,282.53494002257196,382.1872511234483,40.47378133284542,40.47378133284542,12.31591191700253,102.0,102.18406933818633,6.0,0.0,Clear/Low,3.6875312245514182,Medium-Low,None,0.0,0.0,0.0,other,0.7,170+,0.14,3.6,221.0,1.0,2.3618125043658265,0.0,-2.1999999999999997,-2.8000000000000003,1.4,5.800000000000001,-2.75928353421595,-3.2357536213263063,-2.1001327231511064,-2.1977598838553605,0.1840693381863332,0.1840693381863332,0.0,0.0,0.7999999999999972,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.227720767535914,-32.56623079025516,-0.17722751397843695,-9.593511215206831,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-04 17:00:00-07:00,2026-08-04,965,41,Summer,8,17,Peak,337.316,297.27219424709006,297.27219424709006,310.53987677383344,310.53987677383344,310.53987677383344,310.53987677383344,300.19671630859375,301.24394600328367,290.19529232692753,378.5123068584143,40.04380575290992,40.04380575290992,11.871303392934198,102.1,102.1,6.0,0.0,Clear/Low,3.6982761288109818,Medium-Low,None,0.0,0.0,0.0,other,0.7,170+,0.16,4.8,196.0,1.0,1.323059307921596,0.0,0.5999999999999996,1.0999999999999996,0.9000000000000004,2.7,0.16538241349019955,0.057584777616621174,-0.23544803427529004,-0.5390958334141951,0.0,0.0,0.0,0.0,0.8999999999999915,3.5999999999999943,8.899999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.387732454239767,-35.01328347206763,-24.803983885909133,8.417223820746074,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-03 17:00:00-07:00,2026-08-03,941,40,Summer,8,17,Peak,352.83,313.1056038704263,313.1056038704263,324.07900382010337,324.07900382010337,324.07900382010337,324.07900382010337,311.968505859375,318.7813580166819,304.51144678661075,376.56282865830264,39.72439612957368,39.72439612957368,11.258792089554087,104.5,105.1,7.0,0.0,Clear/Low,3.531880523648724,Medium-Low,None,0.0,0.0,0.0,other,0.7,170+,0.11,2.4,248.0,1.0,2.22524125096029,0.0,-0.5,-0.6000000000000001,-1.2,-0.8999999999999999,-0.3812614833072945,-0.7583244351445297,-1.02524125096029,-2.22524125096029,0.5999999999999943,0.5999999999999943,0.0,0.0,0.29999999999999716,1.4000000000000057,5.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.592510951658767,-29.900933187752457,7.2248185468970405,31.606632792955793,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-06 17:00:00-07:00,2026-08-06,1013,43,Summer,8,17,Peak,317.631,278.2174093799528,278.2174093799528,291.4850919066962,291.4850919066962,291.4850919066962,291.4850919066962,281.7218933105469,281.05523556022956,272.756687116491,373.23971469216406,39.41359062004716,39.41359062004716,12.408609556386866,100.4,101.33392246666666,6.0,0.0,Clear/Low,3.776031040011521,Medium-Low,None,0.0,0.0,0.0,other,0.7,170+,0.16,3.2,241.0,1.0,2.7987830628460664,0.0,0.30000000000000027,1.5000000000000002,0.8999999999999995,4.8,0.9737539288015378,1.2977721549858905,-0.3313414679226683,-0.7282307020259005,0.9339224666666581,0.19999999999998863,0.0,0.0,0.4000000000000057,0.0,9.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.65399164776926,-39.80993774440566,-12.260713961358249,-19.925387193123356,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-15 16:00:00-07:00,2026-07-15,484,21,Summer,7,16,Peak,340.527716,301.1248148396705,301.1248148396705,311.75174266422545,311.75174266422545,311.75174266422545,311.75174266422545,303.17938232421875,305.6576839739092,293.41471549028154,347.31820212143987,39.40290116032952,39.40290116032952,11.571128959244398,105.1,105.1,7.0,0.0,Clear/Low,7.09664614749256,Medium-Low,None,0.0,0.0,0.0,other,0.7,170+,0.15,6.2,226.0,1.0,4.459906762099638,1.0,0.7999999999999998,1.9000000000000004,-0.20000000000000018,1.3999999999999995,-0.21663041833633123,0.30642570905664446,0.13635989661423054,-1.6128966521387071,0.0,0.0,0.0,0.0,1.0,1.6999999999999886,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.06853514736548,-30.30069995773323,-6.654485108842607,53.18734028378165,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-07 16:00:00-07:00,2026-08-07,1036,44,Summer,8,16,Peak,316.876,278.0401818659744,278.0401818659744,289.13150046240537,289.13150046240537,289.13150046240537,289.13150046240537,280.90863037109375,281.67760831268265,271.5046693053986,374.3216440397557,38.8358181340256,38.8358181340256,12.255840812818139,102.18406933818633,102.18406933818633,6.0,0.29,Some Clouds,6.91523298465333,Medium-Low,None,0.0,0.0,0.0,other,0.7,170+,0.19,5.8,298.0,1.0,5.1210960385817765,1.0,-0.2999999999999998,2.5999999999999996,-2.1999999999999997,1.9000000000000004,-0.26488427785767765,1.952238218608751,-2.75928353421595,-5.1210960385817765,0.0,0.0,0.0,0.0,0.1840693381863332,0.9840693381863304,4.184069338186333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.338510022719248,-40.83372527637107,-2.729055612944478,-13.629947031312781,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-08-02 18:00:00-07:00,2026-08-02,918,39,Summer,8,18,Peak,335.688,296.9187525233773,296.9187525233773,310.00222472419756,310.00222472419756,310.00222472419756,310.00222472419756,297.415771484375,300.8408583768471,290.61343790763976,369.8055879820837,38.769247476622695,38.769247476622695,11.549190759461968,102.9,103.5,6.0,0.0,Clear/Low,1.3809951639813631,Low,None,0.0,0.0,0.0,other,0.7,170+,0.12,3.4,247.0,1.0,3.1297165017382973,1.0,-0.3999999999999999,0.2999999999999998,-0.8999999999999999,1.5000000000000004,-0.36820194138097584,0.23561717959697193,-1.3619495487719284,-3.1297165017382973,0.5999999999999943,0.5999999999999943,0.5999999999999943,0.0,1.3000000000000114,5.1000000000000085,8.100000000000009,1.0,1.0,1.0,0.5999999999999943,8.100000000000009,3.1297165017382973,0.23561717959697193,1.0,0.0,1.0,27.228533565123197,8.700000000000003,10.000000000000014,-8.06611147712897,-21.715445958790667,13.379539582873178,29.225337764421226,-8.06611147712897,-21.715445958790667,-13.379539582873178,-29.225337764421226,-29.225337764421226,0.0,0.0,1,0
