Slice,SliceGroup,SliceValue,N,RealizedWeather_MAE_MWH,PreviousRunWeather_MAE_MWH,WeatherInput_MAE_Delta_MWH,WeatherInput_MAPE_Delta_PCT,PreviousRunWeather_Bias_MWH,RealizedWeather_Bias_MWH,P90_WeatherInput_AbsError_Delta_MWH,WeatherInput_Harm_Rate_PCT,Forecast_Delta_Bias_MWH,P90_Abs_Forecast_Delta_MWH,Mean_Weather_DailyMaxTemp_Error_F,MAE_Weather_DailyMaxTemp_Error_F,P90_Abs_Weather_DailyMaxTemp_Error_F,Mean_Weather_CloudCover_Error_Norm,MAE_Weather_CloudCover_Error_Norm,P90_Abs_Weather_CloudCover_Error_Norm,Mean_Weather_Solar_Loss_Error_MW,MAE_Weather_Solar_Loss_Error_MW,P90_Abs_Weather_Solar_Loss_Error_MW
Overall,all,all,3360.0,5.460283831695863,23.964980509486573,18.504696677790708,8.519191610595508,16.349854475583157,-1.3740426022985899,60.3415844984498,81.19047619047619,-17.723897077881748,69.10649168564306,1.3014285714285712,2.3042857142857143,4.919999999999987,-0.04474107142857142,0.13305059523809523,0.64,1.660504555038687,1.7512723860242854,8.261110785421463
WeatherLead:day1,Weather_Forecast_Lead_Bucket,day1,480.0,4.600542145218426,16.62911029731605,12.028568152097625,5.250383367332513,14.943443814127884,-0.6753603613604552,50.17311815387828,75.41666666666667,-15.61880417548834,54.51738727784057,0.13500000000000015,0.9649999999999999,1.5800000000000463,-0.0007916666666666683,0.09087500000000001,0.4,1.651319524847025,1.7846399660016017,8.189268809545883
WeatherLead:days2to3,Weather_Forecast_Lead_Bucket,days2to3,960.0,5.514959717636926,23.181472312795147,17.666512595158217,7.983137126884973,18.853141520206613,-1.1135445401396402,59.28504197103461,78.33333333333333,-19.96668606034625,68.83282806763147,0.9274999999999995,1.807500000000002,3.5100000000000033,-0.03379166666666665,0.12479166666666666,0.65,1.6360980794951452,1.764204023871927,8.203490399379051
WeatherLead:days4to7,Weather_Forecast_Lead_Bucket,days4to7,1920.0,5.64788131034469,26.190702160874917,20.542820850530223,9.604420913266525,15.449813618635252,-1.6789621936125982,62.41536217767759,84.0625,-17.12877581224785,72.02635214053251,1.7799999999999998,2.8874999999999997,5.410000000000006,-0.061203125000000004,0.14772395833333332,0.72,1.675004050358374,1.7364646721061363,8.284213284464006
Horizon:Day1,Replay_Horizon_Bucket,Day1,480.0,4.600542145218426,16.62911029731605,12.028568152097625,5.250383367332513,14.943443814127884,-0.6753603613604552,50.17311815387828,75.41666666666667,-15.61880417548834,54.51738727784057,0.13500000000000015,0.9649999999999999,1.5800000000000463,-0.0007916666666666683,0.09087500000000001,0.4,1.651319524847025,1.7846399660016017,8.189268809545883
Horizon:Days2to7,Replay_Horizon_Bucket,Days2to7,2880.0,5.603574112775436,25.187625544848323,19.584051432072886,9.063992984472675,16.58425625249237,-1.4904896424549456,61.65012128394258,82.15277777777777,-18.074745894947316,70.92236804617296,1.4958333333333331,2.5275000000000003,5.109999999999998,-0.05206597222222221,0.14007986111111112,0.69,1.6620353934039644,1.745711122694733,8.284213284464006
ForecastDay:1,Forecast_Day,1,480.0,4.600542145218426,16.62911029731605,12.028568152097625,5.250383367332513,14.943443814127884,-0.6753603613604552,50.17311815387828,75.41666666666667,-15.61880417548834,54.51738727784057,0.13500000000000015,0.9649999999999999,1.5800000000000463,-0.0007916666666666683,0.09087500000000001,0.4,1.651319524847025,1.7846399660016017,8.189268809545883
ForecastDay:2,Forecast_Day,2,480.0,5.425283568506549,21.003174915176114,15.577891346669563,6.966775151206294,18.058050326270692,-0.9140905337061676,56.72082836344635,74.375,-18.972140859976864,65.56139780359922,0.6549999999999997,1.5750000000000028,2.7600000000000176,-0.024979166666666667,0.0915625,0.39100000000000024,1.6801785147382873,1.76463783388257,8.203490399379051
ForecastDay:3,Forecast_Day,3,480.0,5.604635866767304,25.359769710414177,19.75513384364687,8.999499102563652,19.64823271414253,-1.3129985465731129,61.48274863767798,82.29166666666666,-20.961231260715643,72.66299451727086,1.1999999999999993,2.0400000000000014,4.400000000000034,-0.04260416666666667,0.15802083333333336,0.7610000000000002,1.5920176442520027,1.763770213861284,8.189526251118044
ForecastDay:4,Forecast_Day,4,480.0,5.098112020694062,26.343434418105122,21.245322397411066,9.854852794038228,17.48343769653832,-2.3631772644456874,66.4636837476438,81.45833333333333,-19.84661496098401,76.80456651598793,0.8399999999999999,1.9199999999999982,4.080000000000018,-0.053770833333333344,0.1789375,0.8710000000000002,1.6737637592296568,1.7504561677378057,8.166256606587531
ForecastDay:5,Forecast_Day,5,480.0,5.614607267716527,26.366112729327806,20.75150546161128,9.786203335018744,14.049236479395978,-1.9833434225948139,61.26809127727885,83.95833333333333,-16.032579901990793,66.99613850359438,2.0749999999999993,3.055,5.110000000000009,-0.07933333333333333,0.08779166666666667,0.32,1.6769909283450313,1.7575652794428944,8.294106315065466
ForecastDay:6,Forecast_Day,6,480.0,5.732958598542912,26.147828943173693,20.414870344630778,9.24465681071252,15.14422260873865,-1.9644855449443066,64.52614208038874,85.20833333333333,-17.10870815368295,76.25423522392705,1.45,2.7099999999999995,4.270000000000019,-0.06847916666666666,0.14643749999999997,0.7510000000000002,1.680822969143526,1.7374320216795307,8.27246745711635
ForecastDay:7,Forecast_Day,7,480.0,6.1458473544252605,25.905432552893032,19.759585198467775,9.531970713296607,15.12235768986806,-0.40484254246558515,53.84254705250197,85.625,-15.527200232333646,70.10165235688311,2.755,3.8649999999999993,7.670000000000023,-0.043229166666666666,0.17772916666666666,0.7520000000000004,1.6684385447152823,1.7004052195643138,8.259029255068352
ScoredSeason:Spring,Season,Spring,144.0,3.6336267672325797,15.103875007918838,11.47024824068626,5.918669970591675,11.116468950241227,-0.3772736011347512,33.094144965511674,88.88888888888889,-11.493742551375979,33.83004407891894,-0.16666666666666904,0.5333333333333385,1.1000000000000085,0.0029166666666666785,0.18583333333333332,0.6670000000000003,1.1015153192627802,1.2474414333005122,5.765229820650882
ScoredSeason:Summer,Season,Summer,3216.0,5.5420744465225775,24.361746427467217,18.81967198094464,8.635632878058367,16.584185170747723,-1.418674050111896,60.92500849654199,80.84577114427861,-18.00285922085962,69.65970415439213,1.3671641791044773,2.3835820895522386,5.099999999999994,-0.046875,0.13068718905472634,0.6399999999999999,1.6855339238047724,1.773831980922365,8.296293060277382
OriginSeason:Spring,Replay_Origin_Season,Spring,336.0,4.573701672252724,18.90947103361838,14.33576936136566,7.044372909678297,13.941742588730326,-1.546131758049579,49.4386645537264,84.22619047619048,-15.487874346779904,54.46283889460432,0.1714285714285698,1.414285714285715,3.299999999999997,-0.011785714285714288,0.18327380952380953,0.73,1.133616466794349,1.2523309361557424,5.9854343530249094
OriginSeason:Summer,Replay_Origin_Season,Summer,3024.0,5.5587929605228785,24.526703784583038,18.967910824060155,8.683060355141865,16.617422463011252,-1.3549215849929241,60.946425000861815,80.85317460317461,-17.972344048004178,70.03281053104935,1.4269841269841266,2.4031746031746035,5.1000000000000085,-0.04840277777777778,0.1274702380952381,0.61,1.719047675954725,1.8067103248985683,8.349192313149082
HourGroup:LateEvening,HourGroup,LateEvening,420.0,4.83314341616396,24.11007840631683,19.276934990152867,9.700874056167171,18.18644676991436,-0.870171697710954,46.227579686367044,89.76190476190476,-19.05661846762532,49.180878390159286,1.3014285714285712,2.3042857142857147,4.920000000000009,-0.04228571428571428,0.13176190476190475,0.6130000000000007,0.0,0.0,0.0
