DT,Month,Season,Hour,Actual_MWH,Final_Backtest_Forecast_MWH,Final_Residual_MWH,Final_AbsError_MWH,Overforecast_MWH,Raw_Forecast_MWH,XGB_Pred_MWH,LGB_Pred_MWH,CatBoost_Pred_MWH,Temperature,Temperature_DailyMax,TempBucket,CloudCover_Norm,CloudBucket,BTM_Solar_Proxy_MW,BTM_Solar_Loss_From_ClearSky_MW,Midday_Overcast_Solar_Loss_MW,Stage_Selector_Source,Stage_Selector_Reason,Recent_Correction_Source,Pre_Focused_Guard_Forecast_MWH,Focused_Scorecard_Guard_MWH,Focused_Scorecard_Guard_Source
2026-06-25 15:00:00-07:00,6,Summer,15,187.015,197.51314509795844,-10.498145097958457,10.498145097958457,10.498145097958457,209.26154153765177,207.3286590576172,209.64341610498323,209.2137050689979,88.3,90.3,90-95,0.07,clear<=0.2,15.908073990942118,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,197.51314509795844,0.0,none
2026-06-30 18:00:00-07:00,6,Summer,18,249.588,259.9988860419909,-10.410886041990892,10.410886041990892,10.410886041990892,265.8384677173012,264.63336181640625,267.8620892577504,263.0028069825652,92.09913387846042,93.39701045877466,90-95,0.03,clear<=0.2,1.5221108342606656e-15,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,259.9988860419909,0.0,none
2026-05-24 19:00:00-07:00,5,Spring,19,177.849983,188.21650468802423,-10.36652168802425,10.36652168802425,10.36652168802425,192.71372268903104,190.9097137451172,192.87198949551288,192.98044883424927,79.0,84.9,80-90,0.68,cloudy0.6-0.85,0.0,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,186.96650468802423,1.25,shoulder_heat_days8to16_bias_up
2026-06-04 14:00:00-07:00,6,Summer,14,209.669616,219.97680084068395,-10.30718484068396,10.30718484068396,10.30718484068396,229.7433400284833,228.3238220214844,231.11455019360835,227.9941577710007,91.0,94.5,90-95,0.0,clear<=0.2,20.755798044918272,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,219.97680084068395,0.0,none
2026-05-21 16:00:00-07:00,5,Spring,16,241.242408,251.5309240259443,-10.28851602594429,10.28851602594429,10.28851602594429,255.2270403434123,254.4467315673828,256.37325841536807,253.6487858806331,93.9,94.2,90-95,0.0,clear<=0.2,9.7793898068794,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,251.5309240259443,0.0,none
2026-06-29 15:00:00-07:00,6,Summer,15,198.993,209.2620799750299,-10.26907997502991,10.26907997502991,10.26907997502991,220.53314355276396,219.5912170410156,221.95496608379815,218.5679728644953,89.2,90.2,90-95,0.14,clear<=0.2,15.959170588343431,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,209.2620799750299,0.0,none
2026-06-24 14:00:00-07:00,6,Summer,14,189.372,199.60459075976837,-10.232590759768328,10.232590759768328,10.232590759768328,210.836667183049,211.0691070556641,212.18745121255668,208.64759517307547,89.9,93.8,90-95,0.0,clear<=0.2,20.755798044918272,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,199.60459075976837,0.0,none
2026-06-29 13:00:00-07:00,6,Summer,13,166.171,176.38634544178285,-10.215345441782858,10.215345441782858,10.215345441782858,187.1873423875364,186.5335998535156,187.3620959025681,187.0995133022068,85.5,90.2,90-95,0.11,clear<=0.2,22.66148986487129,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,176.38634544178285,0.0,none
2026-05-18 16:00:00-07:00,5,Spring,16,149.93775,160.15240408928003,-10.21465408928006,10.21465408928006,10.21465408928006,150.33936620248153,150.39927673339844,149.7966309329097,151.17511861726098,83.3,83.3,80-90,0.0,clear<=0.2,10.020261476999584,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,158.15240408928003,2.0,shoulder_heat_days2to7_bias_up
2026-05-21 13:00:00-07:00,5,Spring,13,187.746158,197.93103099398644,-10.184872993986431,10.184872993986431,10.184872993986431,202.7267722931618,202.5766143798828,203.8614471996717,200.98661398672584,89.2,94.2,90-95,0.55,mixed0.2-0.6,22.684756281570337,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,197.93103099398644,0.0,none
