Stage,ForecastColumn,N,Coverage_PCT,Avg_Band_MWH,Avg_AbsError_MWH,P90_AbsError_MWH,Avg_Band_Miss_MWH,Max_Band_Miss_MWH
cloud_solar_adjusted,Cloud_Solar_Adjusted_Forecast_MWH,1081.0,70.30527289546717,4.417648451482403,3.3143522018575147,7.787633566630944,0.6214917616725367,9.17441808221309
final_corrected_production,Final_Backtest_Forecast_MWH,1081.0,83.34875115633672,4.4420176590573845,2.7084530053799996,6.748649396105236,0.2727389059183871,8.461244121655538
peak_risk_adjusted,Peak_Risk_Adjusted_Forecast_MWH,1081.0,70.49028677150785,4.4187316870313555,3.2877098577215675,7.787633566630944,0.6072364380999702,9.17441808221309
prophet_benchmark,Prophet_Pred_MWH,1081.0,44.21831637372803,4.363233628965136,5.905385311152863,13.264482360229337,2.674810829369758,19.910783982795003
raw_xgb_lgb_production,Raw_Forecast_MWH,1081.0,33.20999074930619,4.336615256850912,5.851697359813352,11.147635462457913,2.4162951479978307,15.959914060602738
recent_corrected_simulation,Recent_Corrected_Forecast_MWH,1081.0,83.25624421831638,4.441070014630427,2.698453881960701,6.753778426224073,0.2689382997673789,8.461244121655538
