ErrorType,Rank,IntervalStartDT,HE,Actual_MW,Forecast_MW,BaseForecast_MW,ActualReadCount,Error_MW,AbsError_MW,Underforecast_MW,Overforecast_MW,WeatherGHI_Wm2,GHI_kWh_per_m2,ClearSkyGHI_Wm2,ClearSkyIndex,CloudCoverPct,CloudCoverLowPct,CloudCoverMidPct,CloudCoverHighPct,PerformanceRatio,ResidualCalibrationFactor,SeasonalCalibrationFactor,RegimeCalibrationFactor,PeakCalibrationFactor,TotalCalibrationFactor,ActualQualityFlag,SolarBacktestExcluded,ActualToExpectedRatio,ActualQualityExpected_kWh,ActualQualitySuspiciousHour,ActualReadCoverageRatio,ForecastSource
Underforecast,1,2026-04-10 14:00:00,15,21.24709166,10.371772263453366,7.628119400033735,,-10.875319396546633,10.875319396546633,10.875319396546633,-10.875319396546633,160.09649393938665,0.16009649393938669,848.3695968247637,0.1887107865941778,99.2622939877863,1.0344154724583356,37.88038524566274,99.2622939877863,0.7716848133652966,1.3472486919345634,1.0089658152722663,1.0,1.0,1.359327874832251,,,,,,,backtest_calibrated
Underforecast,2,2026-02-25 12:00:00,13,13.003755000000002,3.841895775383534,3.7593424069982695,,-9.161859224616467,9.161859224616467,9.161859224616467,-9.161859224616467,72.18535019316316,0.07218535019316316,669.8456174265158,0.10776415985297108,100.0,97.95804024082214,100.0,99.93010758504977,0.8459550411312173,1.0167799240114006,1.0050180479883204,1.0,1.0,1.0218821744636504,,,,,,,backtest_calibrated
Underforecast,3,2026-04-15 14:00:00,15,31.477791,24.159477627430828,21.42712372875495,,-7.318313372569172,7.318313372569172,7.318313372569172,-7.318313372569172,649.7946805657001,0.6497946805657001,864.6831075998133,0.7514830287009997,32.92182888212915,0.0,6.639829573678382,28.55735098792117,0.5333293306254621,1.1172188046767157,1.0089658152722663,1.0,1.0,1.1272355820981492,,,,,,,backtest_calibrated
Underforecast,4,2025-11-12 12:00:00,13,19.344358789999998,12.091733570498182,15.58212368522249,,-7.252625219501816,7.252625219501816,7.252625219501816,-7.252625219501816,391.3785584472657,0.3913785584472657,545.9908259299823,0.7168225908935986,95.11326079089966,68.57550085904268,7.765617281816596,73.86243018425036,0.5096295225137898,0.7674725532414228,1.0014685557041578,1.009665880409739,1.0,0.7760288215383804,,,,,,,backtest_calibrated
Underforecast,5,2025-10-13 13:00:00,14,21.573795999999998,14.32239977915147,15.057921000381624,,-7.2513962208485285,7.2513962208485285,7.2513962208485285,-7.2513962208485285,446.68925689117265,0.44668925689117267,695.1996877165311,0.6425337421516665,81.29388208561963,6.551379893694966,46.41098737168771,57.07140793102626,0.4919705279512201,0.9374850889240003,1.0202587765486206,0.9943115472291554,1.0,0.9510365133995864,,,,,,,backtest_calibrated
Underforecast,6,2025-10-27 10:00:00,11,12.616986650000001,6.001903261466375,4.534959035624846,,-6.615083388533626,6.615083388533626,6.615083388533626,-6.615083388533626,84.20629305701476,0.08420629305701477,427.56409767659136,0.19694425587788297,100.0,100.0,0.0,0.0,0.8893769208721928,1.2992161397278434,1.0202587765486206,1.0,1.0,1.3255366691909511,,,,,,,backtest_calibrated
Underforecast,7,2026-03-03 08:00:00,9,6.8494720000000004,0.45649432824870567,0.34093467728897214,,-6.392977671751295,6.392977671751295,6.392977671751295,-6.392977671751295,3.825821083810695,0.0038258210838106946,247.30004440459288,0.0154703614915309,95.02888582283697,95.02888582283697,0.0,0.0,1.0709536173353433,1.359636281738258,0.9919267716719791,1.0,1.0,1.3486596275927236,,,,,,,backtest_calibrated
Underforecast,8,2025-11-04 08:00:00,9,6.646206,0.3740196316898835,0.25803506638284085,,-6.272186368310117,6.272186368310117,6.272186368310117,-6.272186368310117,4.0,0.004,233.26349758430757,0.017147989468666414,80.07929990071518,0.0,0.0,80.07929990071518,1.0339568156324563,1.4580535935787198,1.0014685557041578,1.0,1.0,1.4601948265005376,,,,,,,backtest_calibrated
Underforecast,9,2026-02-28 09:00:00,10,13.198341000000001,6.931702404739738,4.971292954912795,,-6.266638595260263,6.266638595260263,6.266638595260263,-6.266638595260263,71.16069247596705,0.07116069247596706,410.63280229684614,0.17329519726123838,47.686213367983555,0.0,43.31102712220511,11.382413698604902,1.0035665938724139,1.383235517669219,1.0050180479883204,1.0,1.0,1.3901766598760326,,,,,,,backtest_calibrated
Underforecast,10,2026-03-05 08:00:00,9,7.556253,1.2926788850638704,0.826678621507441,,-6.263574114936129,6.263574114936129,6.263574114936129,-6.263574114936129,8.06126527202766,0.00806126527202766,258.1887477584338,0.03122237255501905,0.0,0.0,0.0,0.0,1.0773569589933112,1.5890532474267691,0.9919267716719791,1.0,1.0,1.5762244577349096,,,,,,,backtest_calibrated
