Season,Month,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
Summer,8,17,8,325.80449999999996,288.64794125965136,37.1565587403486,37.1565587403486,11.390283946112834,100.0,40.172798426890566,40.47378133284542,0.0,37.35293454960033
Summer,8,18,8,326.803625,290.63667533056775,36.16694966943226,36.16694966943226,11.059331045898231,100.0,39.39171966597008,40.844154774447304,0.0,36.292470544097306
Summer,8,16,8,312.6715,278.15716237327393,34.51433762672607,34.51433762672607,10.999136137116649,100.0,39.96804839867948,42.6099190162052,0.0,34.91018599439518
Summer,8,15,8,292.03362500000003,262.28158490077993,29.752040099220064,29.752040099220064,10.117863071029502,100.0,35.95510622145225,40.91942996786395,0.0,30.48871530245953
Summer,8,19,8,313.991125,284.2433804022825,29.74774459771745,29.74774459771745,9.459156329913496,100.0,33.030624160993426,34.85009961985571,0.0,30.02485192222191
Summer,7,17,31,273.1744849032258,247.65061193483936,25.523872968386446,26.14269250134916,9.508358011260317,96.7741935483871,36.52487729716228,38.558239138489455,9.591702760922004,27.06676294734794
Summer,7,18,31,274.5031488709678,249.8558359024388,24.647312968528936,25.19878992304742,9.122736728164371,96.7741935483871,34.03958840315721,38.65817423006075,8.54789279503649,26.224644988657044
Summer,7,16,31,261.6812625806452,236.82505674545664,24.85620583518854,24.85620583518854,9.421242416947807,100.0,35.783389066973996,39.40290116032952,0.0,26.272530937138477
Summer,8,20,8,293.014125,268.51440289947544,24.499722100524572,24.499722100524572,8.370220259889521,100.0,28.984525965376047,29.36378765804045,0.0,24.90144038344983
Summer,8,14,8,266.087375,242.38518003721987,23.702194962780112,23.702194962780112,8.82461653259817,100.0,30.865250384303184,36.59785220395764,0.0,24.54655040793599
Summer,8,21,8,266.94425,243.93712258612354,23.007127413876482,23.007127413876482,8.63804217687125,100.0,27.281323440424213,28.359852706125167,0.0,23.312168270354107
Summer,7,19,31,266.07780048387093,243.49577419618873,22.582026287682233,22.792898126866977,8.513333177128109,96.7741935483871,32.62446373598294,35.21253488563735,3.268513507363565,23.906250821310472
Summer,7,15,31,242.6144110322581,220.1442972637634,22.47011376849467,22.47011376849467,9.204255012322827,100.0,32.57861018446482,37.98492204348321,0.0,23.90841337262593
Summer,8,22,8,235.028625,213.2508411986245,21.777783801375506,21.777783801375506,9.313701339388778,100.0,26.355219380158104,27.414613603109046,0.0,22.222207211592888
Summer,8,23,8,206.2785,186.24810977444523,20.030390225554765,20.030390225554765,9.789376760398662,100.0,27.373609126381645,28.546295962446635,0.0,20.757968858166915
