Slice,SliceGroup,SliceValue,N,RealizedWeather_MAE_MWH,PreviousRunWeather_MAE_MWH,WeatherInput_MAE_Delta_MWH,WeatherInput_MAPE_Delta_PCT,PreviousRunWeather_Bias_MWH,RealizedWeather_Bias_MWH,P90_WeatherInput_AbsError_Delta_MWH,WeatherInput_Harm_Rate_PCT,Forecast_Delta_Bias_MWH,P90_Abs_Forecast_Delta_MWH,Mean_Weather_DailyMaxTemp_Error_F,MAE_Weather_DailyMaxTemp_Error_F,P90_Abs_Weather_DailyMaxTemp_Error_F,Mean_Weather_CloudCover_Error_Norm,MAE_Weather_CloudCover_Error_Norm,P90_Abs_Weather_CloudCover_Error_Norm,Mean_Weather_Solar_Loss_Error_MW,MAE_Weather_Solar_Loss_Error_MW,P90_Abs_Weather_Solar_Loss_Error_MW
Overall,all,all,3558.0,3.851791339843474,7.128814488027936,3.2770231481844614,1.9496759135252262,1.3956385468474364,1.2099084344986224,11.572586725143962,66.07644744238335,-0.1857301123488135,16.992114464296336,1.9313940415964024,3.520207982012366,7.5,-0.010674536256323773,0.2303485103991006,0.84,-0.023955789215850284,0.4970145272094256,1.5236924668085277
WeatherLead:day1,Weather_Forecast_Lead_Bucket,day1,390.0,3.1924265195771024,3.538973730865689,0.3465472112885868,0.16113167340097723,1.0994170263384944,1.2387280588809388,5.305518429693004,53.58974358974359,0.1393110325424446,6.9149820903572055,-0.6320512820512828,2.207435897435898,4.0,0.029384615384615387,0.1451794871794872,0.59,0.19731908797400483,0.5037587108595417,1.5569199163544394
WeatherLead:days2to3,Weather_Forecast_Lead_Bucket,days2to3,1056.0,4.546565361058868,6.13464413068671,1.5880787696278424,0.9856906490952008,2.0244201269598054,2.073979034016641,7.967382778050805,58.61742424242424,0.04955890705683532,12.399400170157051,1.6659090909090903,2.3886363636363623,6.599999999999994,0.024668560606060607,0.17678977272727273,0.77,-0.028496894070332096,0.4783849467613369,1.4827791004719018
WeatherLead:days4to7,Weather_Forecast_Lead_Bucket,days4to7,2112.0,3.6261620375236014,8.288796397424532,4.662634359900929,2.7619394991722737,1.1359477534761415,0.7725513291008331,15.24604223058131,72.11174242424242,-0.3633964243753079,21.7545400029325,2.5375000000000005,4.3284090909090915,8.100000000000009,-0.03574337121212122,0.2728551136363636,0.89,-0.06254565445150882,0.5050839426117155,1.533185877816679
Horizon:Day1,Replay_Horizon_Bucket,Day1,528.0,3.275575975996179,3.833199051301093,0.5576230753049145,0.3284266982371208,1.3804413373039586,1.294555823903111,5.322157678683664,54.92424242424242,-0.0858855134008476,6.916498781918665,0.28674242424242236,2.436363636363636,4.54000000000002,0.03297348484848485,0.16801136363636365,0.6930000000000002,0.11557584606790831,0.4909744657101643,1.630611534931746
Horizon:Days2to7,Replay_Horizon_Bucket,Days2to7,3030.0,3.9522011458208244,7.7030999502694435,3.75089880444862,2.2321906282685005,1.398286773460953,1.195157998325167,12.666584545274974,68.01980198019803,-0.2031287751357861,18.969333377596747,2.2179867986798687,3.709075907590759,7.799999999999997,-0.018280528052805275,0.24121122112211218,0.86,-0.048270212790049845,0.49806705277761365,1.5000662944795096
ForecastDay:1,Forecast_Day,1,528.0,3.275575975996179,3.833199051301093,0.5576230753049145,0.3284266982371208,1.3804413373039586,1.294555823903111,5.322157678683664,54.92424242424242,-0.0858855134008476,6.916498781918665,0.28674242424242236,2.436363636363636,4.54000000000002,0.03297348484848485,0.16801136363636365,0.6930000000000002,0.11557584606790831,0.4909744657101643,1.630611534931746
ForecastDay:2,Forecast_Day,2,528.0,4.3727588814115315,6.1823778312940405,1.8096189498825097,1.1285409840797511,2.330891918385887,0.9767573945914906,7.858793897530046,58.14393939393939,-1.354134523794397,11.186545021841521,1.3316287878787865,2.393371212121211,6.599999999999994,0.02210227272727273,0.1897159090909091,0.7830000000000001,0.01509966398207208,0.4892016533168843,1.5812013748216254
ForecastDay:3,Forecast_Day,3,528.0,4.640760935610865,6.589707131323678,1.9489461957128131,1.2862401995367299,1.345555881383691,2.749208614104708,9.505113002524904,62.310606060606055,1.4036527327210173,14.772728073510976,2.3965909090909108,3.1026515151515146,6.0,0.025000000000000012,0.18606060606060604,0.7920000000000005,-0.06934939315455348,0.49744091773338905,1.6336792509311306
ForecastDay:4,Forecast_Day,4,528.0,3.989909302734442,7.453011018549612,3.463101715815169,2.180156771891531,0.10084889213512144,1.3049445907492037,13.132684146891874,69.88636363636364,1.2040956986140823,20.83281662264994,3.0418560606060616,4.558522727272728,8.100000000000009,-0.042424242424242434,0.22087121212121208,0.8430000000000001,-0.20782697957644833,0.5798269311415939,1.9611611456718658
ForecastDay:5,Forecast_Day,5,528.0,3.228396455828332,7.677124574750045,4.448728118921712,2.67987484540605,1.581462805503934,0.2301128140074706,15.114627879212492,72.72727272727273,-1.351349991496463,20.74515239037681,1.9070075757575757,3.586931818181818,5.400000000000006,0.022594696969696973,0.2682007575757576,0.84,0.07264864411832828,0.3952501575423443,1.2330507168292897
ForecastDay:6,Forecast_Day,6,528.0,3.3772687831485113,8.777596786211985,5.400328003063474,3.2387356738557425,1.0167808188956258,0.8393756914398547,15.563221674627451,75.0,-0.1774051274557715,21.749135784835786,3.1064393939393944,4.714015151515151,8.799999999999997,-0.04013257575757576,0.3303598484848485,0.95,0.005150783646166068,0.5242343058020645,1.5356136573071324
ForecastDay:7,Forecast_Day,7,390.0,4.157865770322346,10.18833151967209,6.030465749349743,3.108676946089997,2.232111888661638,1.0264564295946046,21.961165899190547,70.76923076923077,-1.2056554590670348,30.466939432278306,1.278974358974358,3.966153846153847,7.900000000000006,-0.1246153846153846,0.2558974358974359,0.9610000000000002,-0.125539334343767,0.5039986567000401,1.1653266901959582
ScoredSeason:Fall,Season,Fall,626.0,3.242388405879904,4.853994747510291,1.6116063416303872,1.3727294585269096,-0.15810709803905368,1.7996845454873642,5.719401277929265,69.00958466453673,1.9577916435264175,8.759116230328651,3.9829073482428123,4.489936102236423,8.100000000000009,0.015159744408945682,0.25228434504792335,0.79,-0.2938331013958611,0.5257359242614449,1.5300577702002496
ScoredSeason:Spring,Season,Spring,1056.0,3.212594602211193,4.310009856010604,1.0974152537994102,0.7138025978552117,0.9583330799680904,0.4255788720466048,5.3807436213042195,56.91287878787878,-0.5327542079214854,9.023334478209456,0.02499999999999944,2.775,6.599999999999994,0.02442234848484849,0.25211174242424245,0.88,-0.005571736327694931,0.3864022050633221,1.0903456115011794
ScoredSeason:Summer,Season,Summer,1440.0,4.767028114777375,9.906582551665702,5.139554436888327,2.695417925969407,1.5068688786598652,1.8450789974318724,15.972203021921416,70.76388888888889,0.3382101187720066,24.675761261275223,1.325,2.605,5.540000000000195,-0.012361111111111107,0.16730555555555554,0.6599999999999999,0.13613991622517818,0.5490425518168776,1.8997675731955685
ScoredSeason:Winter,Season,Winter,436.0,3.2521056418986736,8.047871454394826,4.795765812496152,3.3083506939308718,4.318270814997971,0.1649693561649035,15.83469748645308,68.57798165137615,-4.153301458833068,17.856394442947007,5.605963302752294,6.955504587155964,17.4,-0.12720183486238532,0.3543577981651376,0.96,-0.20975436320733293,0.5518463212392198,2.269847748462281
