Stage,ForecastColumn,N,Candidate_MAE_MWH,Final_MAE_MWH,Candidate_MAE_Improvement_vs_Final_MWH,Candidate_Bias_MWH,Final_Bias_MWH,Candidate_MAPE_PCT,Final_MAPE_PCT,Candidate_Underforecast_Rate_PCT,Final_Underforecast_Rate_PCT,Seasonal_Abs_Bias_Gate_MWH,Candidate_Seasonal_Abs_Bias_MWH,Seasonal_Abs_Bias_Gate_Pass,HotPeak_N,HotPeak_Final_MAE_MWH,HotPeak_Candidate_MAE_MWH,HotPeak_MAE_Delta_vs_Final_MWH,HotPeak_MAE_Gate_Pass,Peak14to18_N,Peak14to18_Final_MAE_MWH,Peak14to18_Candidate_MAE_MWH,Peak14to18_MAE_Delta_vs_Final_MWH,Peak14to18_MAE_Gate_Pass,Day1_N,Day1_MAE_Delta_vs_Final_MWH,Day1_NoRegression_Gate_Pass,Days2to7_N,Days2to7_MAE_Delta_vs_Final_MWH,Days2to7_NoRegression_Gate_Pass,CloudSolar_N,CloudSolar_MAE_Delta_vs_Final_MWH,CloudSolar_NoRegression_Gate_Pass,Promotion_Gate_Pass,Promotion_Gate_Failures,Meets_Promotion_Rule,Beats_Final
auto_residual_structural_hot_peak_shadow,Auto_Residual_Structural_HotPeak_Adjusted_Forecast_MWH,1081,3.9952199344720674,4.38805001055856,0.3928300760864927,1.2649823742559758,1.4237042674941547,2.1101707036947612,2.2514361180603166,56.33672525439408,54.94912118408881,0.75,1.2649823742559758,False,195,9.564157960326352,7.358443228912775,-2.2057147314135763,True,225,7.533906623305241,6.156612889685116,-1.3772937336201254,True,24,0.0,True,144,0.0,True,17,-0.256917554078143,True,False,Seasonal_Abs_Bias,False,True
auto_residual_full_shadow,Auto_Residual_Full_Shadow_Adjusted_Forecast_MWH,1081,4.270253583434628,4.38805001055856,0.11779642712393201,1.2302993469489976,1.4237042674941547,2.2141823868166823,2.2514361180603166,54.024051803885285,54.94912118408881,0.75,1.2302993469489976,False,195,9.564157960326352,8.916671915107061,-0.6474860452192903,True,225,7.533906623305241,7.134547998157498,-0.3993586251477428,True,24,0.0,True,144,0.0,True,17,0.1397823115846606,False,False,Seasonal_Abs_Bias;CloudSolar_NoRegression,False,True
auto_residual_broad_hot_peak_shadow,Auto_Residual_Broad_HotPeak_Shadow_Adjusted_Forecast_MWH,1081,4.27630651523792,4.38805001055856,0.11174349532064021,1.592901302149181,1.4237042674941547,2.2087622187459233,2.2514361180603166,57.446808510638306,54.94912118408881,0.75,1.592901302149181,False,195,9.564157960326352,8.916671915107061,-0.6474860452192903,True,225,7.533906623305241,7.21725466039018,-0.3166519629150608,True,24,0.0,True,144,0.0,True,17,-0.256917554078143,True,False,Seasonal_Abs_Bias,False,True
auto_residual_shadow,Auto_Residual_Adjusted_Forecast_MWH,1081,4.38805001055856,4.38805001055856,0.0,1.4237042674941547,1.4237042674941547,2.2514361180603166,2.2514361180603166,54.94912118408881,54.94912118408881,0.75,1.4237042674941547,False,195,9.564157960326352,9.564157960326352,0.0,True,225,7.533906623305241,7.533906623305241,0.0,False,24,0.0,True,144,0.0,True,17,0.0,True,False,Seasonal_Abs_Bias;Peak14to18_MAE,False,False
daily_peak_shadow,Daily_Peak_Shadow_Adjusted_Forecast_MWH,1081,4.38805001055856,4.38805001055856,0.0,1.4237042674941547,1.4237042674941547,2.2514361180603166,2.2514361180603166,54.94912118408881,54.94912118408881,0.75,1.4237042674941547,False,195,9.564157960326352,9.564157960326352,0.0,True,225,7.533906623305241,7.533906623305241,0.0,False,24,0.0,True,144,0.0,True,17,0.0,True,False,Seasonal_Abs_Bias;Peak14to18_MAE,False,False
heat_analog_shadow,Heat_Analog_Shadow_Forecast_MWH,1081,4.38805001055856,4.38805001055856,0.0,1.4237042674941547,1.4237042674941547,2.2514361180603166,2.2514361180603166,54.94912118408881,54.94912118408881,0.75,1.4237042674941547,False,195,9.564157960326352,9.564157960326352,0.0,True,225,7.533906623305241,7.533906623305241,0.0,False,24,0.0,True,144,0.0,True,17,0.0,True,False,Seasonal_Abs_Bias;Peak14to18_MAE,False,False
hot_ramp_peak_shadow,Hot_Ramp_Peak_Shadow_Forecast_MWH,1081,4.38805001055856,4.38805001055856,0.0,1.4237042674941547,1.4237042674941547,2.2514361180603166,2.2514361180603166,54.94912118408881,54.94912118408881,0.75,1.4237042674941547,False,195,9.564157960326352,9.564157960326352,0.0,True,225,7.533906623305241,7.533906623305241,0.0,False,24,0.0,True,144,0.0,True,17,0.0,True,False,Seasonal_Abs_Bias;Peak14to18_MAE,False,False
heat_persistence_peak_shadow,Heat_Persistence_Peak_Shadow_Forecast_MWH,1081,4.38805001055856,4.38805001055856,0.0,1.4237042674941547,1.4237042674941547,2.2514361180603166,2.2514361180603166,54.94912118408881,54.94912118408881,0.75,1.4237042674941547,False,195,9.564157960326352,9.564157960326352,0.0,True,225,7.533906623305241,7.533906623305241,0.0,False,24,0.0,True,144,0.0,True,17,0.0,True,False,Seasonal_Abs_Bias;Peak14to18_MAE,False,False
focused_shape_shadow,Focused_Shape_Adjusted_Forecast_MWH,1081,4.416232305078586,4.38805001055856,-0.028182294520026296,1.743188240582678,1.4237042674941547,2.254117460014062,2.2514361180603166,57.724329324699355,54.94912118408881,0.75,1.743188240582678,False,195,9.564157960326352,9.692363088531481,0.12820512820512953,False,225,7.533906623305241,7.670898877475712,0.13699225417047067,False,24,0.0,True,144,0.0,True,17,-0.256917554078143,True,False,Seasonal_Abs_Bias;HotPeak_MAE;Peak14to18_MAE,False,False
