WeatherInputBasis,Slice,SliceGroup,SliceValue,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.39283001387182,-0.07536996833610078,5.374894814429269,7.759412577309508,2.962218286229531,49.61309523809524,12.335215922549532,41.675676671953,47.54038484414809,371.312516,337.4003458428563,33.91217015714369,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,0.232539188561236,4.146980391338005,0.23376652395324177,-0.048743030209200455
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.4121199359269,-0.09465989039121135,5.4163908565978955,7.789007969924145,2.9913483678863604,49.345238095238095,12.376610383686321,41.675676671953,47.182553548398914,371.312516,337.4003458428563,33.91217015714369,Peak_Risk_Adjusted_Forecast_MWH,peak_risk_adjusted,0.19104314639260966,3.4069620131190894,0.21447660189813117,-0.007246988040574109
realized_historical_weather,Overall,all,all,3360,179.3174600455357,180.68949734115753,-1.372037295621815,5.42363784463847,7.891267952921566,3.001780548711454,41.726190476190474,12.587899722517886,41.22567667195301,52.49038484414808,371.312516,342.3503458428563,28.962170157143703,Final_Backtest_Forecast_MWH,final_corrected_production,0.18379615835203555,3.277723077151065,-1.0629008033324725,0.0
realized_historical_weather,Overall,all,all,3360,179.3174600455357,180.68949734115753,-1.372037295621815,5.42363784463847,7.891267952921566,3.001780548711454,41.726190476190474,12.587899722517886,41.22567667195301,52.49038484414808,371.312516,342.3503458428563,28.962170157143703,Stage_Selected_Forecast_MWH,stage_selected_production,0.18379615835203555,3.277723077151065,-1.0629008033324725,0.0
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.15357217365772,0.1638878718779967,5.496134845371883,7.88718393508848,3.016950643643896,50.476190476190474,12.64169303325053,41.675676671953,44.45726299897581,371.312516,337.4003458428563,33.91217015714369,Residual_Calibrated_Forecast_MWH,residual_calibrated,0.11129915761862197,1.984850067950241,0.14524862041134584,0.07249700073341359
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.15756520305612,0.15989484247958047,5.5001278747703,7.89021082401983,3.019454861662528,50.476190476190474,12.64169303325053,41.675676671953,44.45726299897581,371.312516,337.4003458428563,33.91217015714369,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,0.10730612822020547,1.9136405022863925,0.14924164980976207,0.07649003013183009
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.08025531412815,0.2372047314075891,5.500832329849789,7.948042902541019,2.9977936269527783,50.595238095238095,13.073020855282323,42.02465232781506,43.78856430274544,371.312516,335.7145689627982,35.597947037201834,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,0.106601673140716,1.9010776245224497,0.07193176088175343,0.07719448521131955
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.13678709480806,0.18067295072765258,5.502471220237147,7.8841597405212775,3.021605795420587,50.50595238095238,12.64169303325053,41.675676671953,44.45726299897581,371.312516,337.4003458428563,33.91217015714369,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,0.10496278275335857,1.871850523740106,0.12846354156168996,0.07883337559867698
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.00832355324638,0.30913649228934253,5.607434002990505,7.9948826361350545,3.065731025667217,50.05952380952381,12.993577706313301,41.34908996939578,43.78856430274544,371.312516,335.7145689627982,35.597947037201834,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,0.18379615835203555
realized_historical_weather,Overall,all,all,3360,179.3174600455357,179.0853891756023,0.2320708699333938,5.626464390797032,7.999237960029139,3.0799195746196393,49.43452380952381,13.105563203304103,41.745389638621845,46.86245837678615,371.312516,334.1335547504046,37.17896124959543,LGB_Pred_MWH,lgb_component,-0.019030387806527216,-0.3393778294381727,0.07706562235594874,0.20282654615856277
