Stage,ForecastColumn,Date,PeakWindowName,PeakHours,Season,Actual_Peak_DT,Actual_Peak_Hour,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Forecast_Peak_DT,Forecast_Peak_Hour,Forecast_Peak_MWH,Daily_Peak_Timing_Error_Hours,Daily_Energy_Actual_MWH,Daily_Energy_Forecast_MWH,Daily_Energy_Error_MWH,Daily_MAE_MWH,Daily_MAPE_PCT,DailyMaxTempBucket,Temperature_DailyMax,CloudCoverBucket,BTMSolarBucket,SolarLossBucket
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-19,all_hours,all,Summer,2026-07-19 18:00:00-07:00,18,277.570166,252.56827805484312,25.001887945156852,2026-07-19 18:00:00-07:00,18,252.56827805484312,0.0,4352.122275,3925.143400006322,-426.9788749936779,17.790786458069903,9.696559910370006,5.0,96.7,Partly Cloudy,Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-05,all_hours,all,Summer,2026-07-05 18:00:00-07:00,18,239.071591,214.53891537829406,24.53267562170595,2026-07-05 18:00:00-07:00,18,214.53891537829406,0.0,3847.3991429999996,3466.9903445616465,-380.4087984383532,15.850366601598045,9.957680358517322,4.0,91.5,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-24,all_hours,all,Summer,2026-07-24 17:00:00-07:00,17,287.470266,263.157717686893,24.31254831310696,2026-07-24 18:00:00-07:00,18,263.5430207359555,1.0,4501.224541,4177.813607392228,-323.41093360777177,13.475455566990513,7.428294619124304,5.0,96.9,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-28,all_hours,all,Summer,2026-07-28 18:00:00-07:00,18,286.38505,262.1167503429634,24.26829965703655,2026-07-28 18:00:00-07:00,18,262.1167503429634,0.0,4489.97106,4167.775340849689,-322.19571915031065,13.424821631262935,6.93907625134313,5.0,96.7,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-25,all_hours,all,Summer,2026-07-25 18:00:00-07:00,18,279.683441,255.74128626440728,23.942154735592737,2026-07-25 18:00:00-07:00,18,255.74128626440728,0.0,4271.587783999999,3991.7977965720665,-279.78998742793283,11.657916142830567,6.650932130422904,5.0,96.4,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-06-30,all_hours,all,Summer,2026-06-30 18:00:00-07:00,18,250.969091,227.4139956303387,23.555095369661302,2026-06-30 17:00:00-07:00,17,228.25166574426126,-1.0,4091.340214,3722.6338668258977,-368.7063471741021,15.362764465587583,9.09499054661536,4.0,92.1,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-18,all_hours,all,Summer,2026-07-18 18:00:00-07:00,18,258.001408,234.70562775616548,23.295780243834542,2026-07-18 18:00:00-07:00,18,234.70562775616548,0.0,3984.914818,3727.37655883457,-257.5382591654302,10.773145263819265,6.212225283038643,4.0,94.1,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-10,all_hours,all,Summer,2026-07-10 17:00:00-07:00,17,271.224325,247.94938697838205,23.27493802161797,2026-07-10 17:00:00-07:00,17,247.94938697838205,0.0,4450.607959,4018.4309345122792,-432.1770244877207,18.00737602032169,10.045957423293384,5.0,95.8,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-06,all_hours,all,Summer,2026-07-06 18:00:00-07:00,18,248.87775,226.01385025386438,22.863899746135615,2026-07-06 18:00:00-07:00,18,226.01385025386438,0.0,3919.951067,3561.903704109817,-358.04736289018274,14.91864012042428,9.25962312003749,4.0,92.1,Clear/Low,Medium-Low,None
raw_xgb_lgb_production,Raw_Forecast_MWH,2026-07-11,all_hours,all,Summer,2026-07-11 17:00:00-07:00,17,266.14615,243.74229467019114,22.403855329808835,2026-07-11 18:00:00-07:00,18,247.03295783005836,1.0,4102.125900000001,3858.260965617402,-243.86493438259913,10.161038932608259,5.834780641128904,5.0,96.4,Overcast,Medium-Low,None
