Focused_Scorecard_Guard_Source,N,Final_Bias_ActualMinusForecast_MWH,Final_MAE_MWH,Final_MaxUnder_MWH,Final_MaxOver_MWH,Raw_Bias_ActualMinusForecast_MWH,Final_Correction_From_Raw_MWH,Focused_Guard_Delta_MWH
june_long_mild_hot_peak_backoff,2,-16.293605349065942,16.293605349065942,0.0,17.71858139559319,-30.51775643039717,-14.224151081331229,-10.0
june_long_mild_hot_peak_backoff+june_long_90_95_cloudy_peak_extra_up,2,-16.202798761882818,16.202798761882818,0.0,25.213726282640067,-25.24112024069268,-9.038321478809834,-4.0
july_long_mild_hot_peak_soft_down+july_long_92_95_low_state_hot_backoff,5,-14.073532492668239,14.073532492668239,0.0,16.890731806978863,-15.636160295259383,-1.562627802591129,-9.000000000000005
june_long_95_100_evening_recovery_up+june_long_95_100_low_forecast_hot_extra_up+june_long_98_100_clear_high_state_overstack_backoff,1,-11.415705495090464,11.415705495090464,0.0,11.415705495090464,-8.178743405068587,3.2369620900218763,8.0
july_long_95_98_peak_recovery_up+july_long_95_98_low_state_peak_backoff,10,-8.431132414598968,8.431132414598968,0.0,13.296231215683235,-3.0468381642768465,5.384294250322123,-2.0000000000000027
september_long_90_92_cloudy_low_state_hot_backoff,4,-8.030281867473306,8.030281867473306,0.0,12.4083068505565,-17.259620505321728,-9.229338637848436,-8.0
june_long_95_100_evening_recovery_up+june_long_95_100_low_forecast_hot_extra_up,2,-7.699420354721908,7.699420354721908,0.0,14.074231692325183,1.542512005347561,9.24193236006947,14.0
june_long_mild_hot_peak_backoff+june_long_90_92_clear_hot_extra_backoff,6,7.469205761258205,7.469205761258205,11.228705271960903,0.0,-19.189169735529575,-26.65837549678778,-21.999999999999996
september_day4to7_cloudy_92_95_hot_down,5,-2.4811172614277663,6.939393425629499,9.706980878254145,11.710109713097069,-14.21150134928124,-11.73038408785348,-14.0
may_long_hot_93_97_down,10,3.71193226291021,6.815361045708016,11.88198290624632,4.373622329108628,-12.723174534669315,-16.43510679757952,-4.0
july_long_95_98_peak_recovery_up+july_long_clear_hot_peak_ramp_up,4,6.810262549758811,6.810262549758811,9.54820927131084,0.0,29.563701308712602,22.753438758953806,14.999999999999993
shoulder_heat_days8to16_bias_up+may_long_85_93_hot_peak_recovery_up,1,6.61666725960319,6.61666725960319,6.61666725960319,0.0,20.443227359877426,13.826560100274236,9.25
june_long_100_plus_evening_finish_up,11,6.440251938262903,6.522502617533896,9.572241140514734,0.4523787359904645,8.234331616968166,1.7940796787052642,5.0
june_long_95_100_evening_recovery_up,6,-6.4604813182302605,6.4604813182302605,0.0,12.246727709108027,2.054189107752009,8.514670425982269,12.000000000000009
june_long_95_100_evening_recovery_up+june_long_98_100_clear_high_state_overstack_backoff,1,6.444501111738987,6.444501111738987,6.444501111738987,0.0,7.598524564813147,1.15402345307416,6.0
