combo,overall_mae,overall_bias,hot_mae,hot_bias,peak_mae,last45_mae,days47_mae,cloud_mae,shoulder_mae,all_pass,pass_like
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-14,3.6866685425896653,0.562330756528182,5.318958687664104,1.6767248986484493,5.049940624441908,2.8332822539136666,3.4643411744638666,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-12,3.6870751286489747,0.5610286731948487,5.326220503793173,1.6534690846949611,5.053690624441908,2.8332822539136666,3.465967518701106,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|july_90_95_low_state_backoff-15,3.687676705995947,0.5786067981948487,5.3369649550135225,1.967422573067054,5.0563258275423975,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_90_95_down-10,3.6878563786489744,0.5597265898615154,5.340173992165266,1.6302132707414727,5.057440624441909,2.8332822539136666,3.469092518701106,5.076010503284025,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|july_90_95_low_state_backoff-12,3.6878842655294646,0.5735286731948487,5.3406720648214545,1.8767248986484495,5.057322113303279,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-14,3.6879706259229987,0.5610286731948487,5.342214501617592,1.6534690846949611,5.053690624441908,2.8332822539136666,3.4695495077971996,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-14,3.688231042589665,0.5571224231948487,5.34686566440829,1.5837016428344959,5.057440624441909,2.8332822539136666,3.4643411744638666,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-12,3.6883772119823077,0.5597265898615154,5.349476317746661,1.6302132707414727,5.057440624441909,2.8332822539136666,3.4711758520344396,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|june_evening_combo_trim-6,3.6885326770882196,0.5610286731948487,5.352252996847592,1.6534690846949611,5.076190624441908,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_90_95_down-8,3.6886376286489746,0.558424506528182,5.354127480537359,1.6069574567879843,5.061190624441909,2.8332822539136666,3.472217518701106,5.077323700920269,4.37010182312897,True,True
