Test,Purpose,Basis,ForecastColumn,Target,Gate,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,Pass
Last 45 days,Recent behavior,recent_45_day_backtest,Final_Backtest_Forecast_MWH,Recent MAE <= 3.0 MWh,mae<=3.0,1081,127.61379119333948,127.58513673204196,0.028654461297540172,2.68835673623674,3.690660514852067,2.0613796164032654,54.671600370027754,6.720596201289851,12.955444192722211,12.98019969818381,253.572,254.2350558534217,-0.6630558534216959,True
Seasonal rolling origins,General robustness,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,"MAE <= 4.5, MAPE <= 3.5%, abs bias <= 0.75",mae<=4.5;mape<=3.5;abs_bias<=0.75,4606,137.6383939218411,137.51636359990184,0.12203032193922146,4.469638898368074,6.252021800714871,3.209872128210413,52.23621363438993,10.526565113945978,31.586808388077856,26.940864920359687,330.534108,315.4123167344102,15.12179126558982,True
Day 1 only,Near-term operational forecast,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 3.5 MWh,mae<=3.5,288,145.21414114583334,146.1518365534438,-0.9376954076104916,4.410179042949292,6.71862815446221,3.1284267383012163,51.388888888888886,11.795668024273443,14.096529559828355,26.83868756283684,300.440716,297.98941812674695,2.451297873253054,False
Days 2-3,Short weather forecast horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,576,143.89875441145833,145.02363721712683,-1.1248828056684945,4.358503468277421,6.176073073691139,3.0664529046944446,46.875,11.093815651166146,18.594753250887436,23.55346646854575,330.534108,315.4123167344102,15.12179126558982,True
Days 4-7,Weather uncertainty horizon,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.0 MWh,mae<=5.0,1152,140.18340744010416,138.7530282979705,1.4303791421336316,4.413653082866972,6.00207260164798,3.1053542657035877,61.892361111111114,9.818798157706604,22.123977831040122,26.940864920359687,329.614775,312.0439504313019,17.57082456869813,True
Hot peak days,Operational risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 6.0 MWh,mae<=6.0,160,265.84066158124995,260.115013084007,5.725648497243036,8.27432404663536,10.12573509787771,3.0902116087208378,78.125,17.407683921035414,22.761265184789295,19.180293307469242,330.534108,315.4123167344102,15.12179126558982,False
Cloud/solar midday,BTM solar/cloud risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,951,134.61250243217668,134.9840191561198,-0.37151672394317037,6.6865666218148005,8.55618889444042,5.009289698834774,47.84437434279706,14.692673873353144,22.948599423520534,26.940864920359687,254.29495,245.8706422843975,8.42430771560251,True
Shoulder heat transition,Spring/fall load-response risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 7.0 MWh,mae<=7.0,396,154.24242596212122,157.18353320590361,-2.941107243782407,6.015084506404418,7.731169180702976,4.011901861627316,40.4040404040404,12.83327706554141,13.27757897396782,22.806343264966102,238.3,251.0844637293005,-12.784463729300484,True
Peak window hours 14-18,Peak planning risk,seasonal_rolling_origin_replay,Final_Backtest_Forecast_MWH,MAE <= 5.5 MWh,mae<=5.5,960,167.241841309375,166.56475256610753,0.677088743267457,6.747367162275132,8.732784160677383,4.155552879343698,51.87500000000001,15.385335518453164,31.586808388077856,26.83868756283684,330.534108,315.4123167344102,15.12179126558982,False
