Month,Hour,N,Bias_Delta_F,Bias_Std_F,Month_Count,Month_Delta_F,Global_Delta_F,Bias_Source,Applied_Delta_F
1,0,217,2.2962344516129036,2.089262744697284,5208,2.4232052183179724,1.7938864215061423,month_hour,2.2962344516129036
1,1,217,2.1762722534562213,2.212616561207062,5208,2.4232052183179724,1.7938864215061423,month_hour,2.1762722534562213
1,2,217,2.194827207373272,2.1736002697902035,5208,2.4232052183179724,1.7938864215061423,month_hour,2.194827207373272
1,3,217,2.0048429124423963,2.2890088614712902,5208,2.4232052183179724,1.7938864215061423,month_hour,2.0048429124423963
1,4,217,1.8507619262672812,2.3118392503907867,5208,2.4232052183179724,1.7938864215061423,month_hour,1.8507619262672812
1,5,217,1.6850855576036867,2.1959883869579215,5208,2.4232052183179724,1.7938864215061423,month_hour,1.6850855576036867
1,6,217,1.8309013686635942,2.071471912920918,5208,2.4232052183179724,1.7938864215061423,month_hour,1.8309013686635942
1,7,217,1.8188826958525341,2.082302761464872,5208,2.4232052183179724,1.7938864215061423,month_hour,1.8188826958525341
1,8,217,2.0534059723502303,2.1641963300604643,5208,2.4232052183179724,1.7938864215061423,month_hour,2.0534059723502303
1,9,217,3.11323430875576,2.0718285099471028,5208,2.4232052183179724,1.7938864215061423,month_hour,3.11323430875576
1,10,217,3.736492447004608,2.5537932537172514,5208,2.4232052183179724,1.7938864215061423,month_hour,3.736492447004608
1,11,217,3.9209517649769587,2.765263276817029,5208,2.4232052183179724,1.7938864215061423,month_hour,3.9209517649769587
1,12,217,3.517228198156682,2.6489656269182333,5208,2.4232052183179724,1.7938864215061423,month_hour,3.517228198156682
1,13,217,2.8013316129032257,2.5332790255983553,5208,2.4232052183179724,1.7938864215061423,month_hour,2.8013316129032257
1,14,217,2.2513421843317976,2.5172054379449307,5208,2.4232052183179724,1.7938864215061423,month_hour,2.2513421843317976
1,15,217,1.8756323271889401,2.55913320927321,5208,2.4232052183179724,1.7938864215061423,month_hour,1.8756323271889401
1,16,217,1.6855793087557605,2.474709019466831,5208,2.4232052183179724,1.7938864215061423,month_hour,1.6855793087557605
1,17,217,1.3831150506912444,1.9905044868165356,5208,2.4232052183179724,1.7938864215061423,month_hour,1.3831150506912444
1,18,217,2.6091969447004604,2.2081764657179144,5208,2.4232052183179724,1.7938864215061423,month_hour,2.6091969447004604
1,19,217,3.2155546635944705,2.3963745821235074,5208,2.4232052183179724,1.7938864215061423,month_hour,3.2155546635944705
1,20,217,2.875416820276498,2.2521556441992767,5208,2.4232052183179724,1.7938864215061423,month_hour,2.875416820276498
1,21,217,2.4712147511520737,2.215751361292602,5208,2.4232052183179724,1.7938864215061423,month_hour,2.4712147511520737
1,22,217,2.4606282626728113,2.170637747083338,5208,2.4232052183179724,1.7938864215061423,month_hour,2.4606282626728113
1,23,217,2.3287922488479262,2.035196056160402,5208,2.4232052183179724,1.7938864215061423,month_hour,2.3287922488479262
2,0,198,2.8619637979797985,2.1754193712921164,4752,2.8908314945286193,1.7938864215061423,month_hour,2.8619637979797985
2,1,198,2.7459517575757575,2.2546338566150044,4752,2.8908314945286193,1.7938864215061423,month_hour,2.7459517575757575
2,2,198,2.532484474747475,2.405342284650903,4752,2.8908314945286193,1.7938864215061423,month_hour,2.532484474747475
2,3,198,2.3819983535353537,2.4549150852098363,4752,2.8908314945286193,1.7938864215061423,month_hour,2.3819983535353537
2,4,198,2.392129186868687,2.5169276920581054,4752,2.8908314945286193,1.7938864215061423,month_hour,2.392129186868687
2,5,198,1.9838293333333337,2.2277070375820394,4752,2.8908314945286193,1.7938864215061423,month_hour,1.9838293333333337
2,6,198,2.2471609090909093,2.2679810826790536,4752,2.8908314945286193,1.7938864215061423,month_hour,2.2471609090909093
2,7,198,2.3900642222222226,2.180928548547544,4752,2.8908314945286193,1.7938864215061423,month_hour,2.3900642222222226
2,8,198,3.4214249595959596,2.4058800825711772,4752,2.8908314945286193,1.7938864215061423,month_hour,3.4214249595959596
2,9,198,4.039763176767677,2.1495578963929596,4752,2.8908314945286193,1.7938864215061423,month_hour,4.039763176767677
2,10,198,4.235682712121212,2.4286998673357365,4752,2.8908314945286193,1.7938864215061423,month_hour,4.235682712121212
2,11,198,4.057569570707071,2.4721203110753143,4752,2.8908314945286193,1.7938864215061423,month_hour,4.057569570707071
2,12,198,3.4221707979797977,2.2014889022617123,4752,2.8908314945286193,1.7938864215061423,month_hour,3.4221707979797977
2,13,198,2.8771521111111116,2.05362923998539,4752,2.8908314945286193,1.7938864215061423,month_hour,2.8771521111111116
2,14,198,2.526842212121212,2.050533864261273,4752,2.8908314945286193,1.7938864215061423,month_hour,2.526842212121212
2,15,198,2.283761262626263,1.899629905462623,4752,2.8908314945286193,1.7938864215061423,month_hour,2.283761262626263
2,16,198,2.0979132272727274,1.8895628184994346,4752,2.8908314945286193,1.7938864215061423,month_hour,2.0979132272727274
2,17,198,1.5866766717171712,1.5828885197444096,4752,2.8908314945286193,1.7938864215061423,month_hour,1.5866766717171712
2,18,198,2.0332657929292925,1.6313161086778594,4752,2.8908314945286193,1.7938864215061423,month_hour,2.0332657929292925
2,19,198,3.506134484848485,2.791457518298358,4752,2.8908314945286193,1.7938864215061423,month_hour,3.506134484848485
2,20,198,3.8663928030303025,2.639559444111519,4752,2.8908314945286193,1.7938864215061423,month_hour,3.8663928030303025
2,21,198,3.5503627575757575,2.3405543504403212,4752,2.8908314945286193,1.7938864215061423,month_hour,3.5503627575757575
2,22,198,3.300177863636364,2.229671548294467,4752,2.8908314945286193,1.7938864215061423,month_hour,3.300177863636364
2,23,198,3.0390834292929294,2.1772193612494286,4752,2.8908314945286193,1.7938864215061423,month_hour,3.0390834292929294
3,0,217,2.894350442396313,2.0224397338518383,5199,2.7036472360069244,1.7938864215061423,month_hour,2.894350442396313
3,1,217,2.784888847926268,1.9543248638814192,5199,2.7036472360069244,1.7938864215061423,month_hour,2.784888847926268
3,2,210,2.864602914285714,1.9650036596942078,5199,2.7036472360069244,1.7938864215061423,month_hour,2.864602914285714
3,3,217,2.704775576036867,2.0197012564801606,5199,2.7036472360069244,1.7938864215061423,month_hour,2.704775576036867
3,4,217,2.6356813870967746,2.0350095108607187,5199,2.7036472360069244,1.7938864215061423,month_hour,2.6356813870967746
3,5,217,2.055881944700461,1.9802673351720788,5199,2.7036472360069244,1.7938864215061423,month_hour,2.055881944700461
3,6,217,2.2116952949308755,1.8806458685367626,5199,2.7036472360069244,1.7938864215061423,month_hour,2.2116952949308755
3,7,217,2.621274188940092,2.050388163147851,5199,2.7036472360069244,1.7938864215061423,month_hour,2.621274188940092
3,8,217,3.4999620967741936,2.224365872210407,5199,2.7036472360069244,1.7938864215061423,month_hour,3.4999620967741936
3,9,217,3.6540343041474648,2.574845184551383,5199,2.7036472360069244,1.7938864215061423,month_hour,3.6540343041474648
3,10,217,3.4145058571428573,2.7246566931903855,5199,2.7036472360069244,1.7938864215061423,month_hour,3.4145058571428573
3,11,217,2.9913744700460834,2.5845616043744206,5199,2.7036472360069244,1.7938864215061423,month_hour,2.9913744700460834
3,12,217,2.5636872580645163,2.684795732083158,5199,2.7036472360069244,1.7938864215061423,month_hour,2.5636872580645163
3,13,217,2.312639,2.7685950325650657,5199,2.7036472360069244,1.7938864215061423,month_hour,2.312639
3,14,217,2.049208391705069,2.8141845425860885,5199,2.7036472360069244,1.7938864215061423,month_hour,2.049208391705069
3,15,217,1.7646276082949308,2.988034517267356,5199,2.7036472360069244,1.7938864215061423,month_hour,1.7646276082949308
3,16,216,1.566618699074074,3.0110226932979844,5199,2.7036472360069244,1.7938864215061423,month_hour,1.566618699074074
3,17,216,1.4751856296296297,2.4829057020318137,5199,2.7036472360069244,1.7938864215061423,month_hour,1.4751856296296297
