Month,Replay_Horizon_Bucket,TempBand2p5,CloudBand,RawMinus7Band,N,Final_Bias_ActualMinusForecast_MWH,Final_MAE_MWH,Final_P90Abs_MWH,Final_MaxUnder_MWH,Final_MaxOver_MWH,Raw_Bias_ActualMinusForecast_MWH,XGB_Bias_ActualMinusForecast_MWH,LGB_Bias_ActualMinusForecast_MWH,CatBoost_Bias_ActualMinusForecast_MWH,Pre_Guard_Bias_ActualMinusForecast_MWH,Post_Guard_Bias_ActualMinusForecast_MWH,Final_Correction_From_Raw_MWH,Focused_Guard_Delta_MWH,Guard_MWH,Avg_TempMax_F,Avg_CloudCover,Avg_RawMinus7_MWH,Dominant_Direction,Diagnostic_Action_Note
5,Days8to16,92.5-95,clear<=.10,>50,4,10.696733199826042,10.696733199826042,11.817615597523242,11.88198290624632,0.0,-6.025709878935132,-6.515249472900379,-4.672517792395546,-8.012286130935792,6.696733199826035,10.696733199826035,-16.722443078761167,-4.0,-4.0,94.6,0.0,61.31135236634173,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
7,Days8to16,95-98,clear<=.10,10..25,3,-9.216904095912488,9.216904095912488,11.546470740903874,0.0,11.989184147003527,-4.1030319315639,-2.537948206380198,-4.017424681717766,-4.684724388517509,-11.216904095912488,-9.216904095912488,5.113872164348588,-2.0,-2.0,96.8,0.0,10.676018621155237,overforecast,consider smaller existing uplift or narrow backoff; avoid broad hot-peak offset
8,Days2to7,105+,mixed .10-.60,>50,3,8.581850245254694,8.581850245254694,10.273165131266285,10.76125194253234,0.0,12.190885562573746,11.180181548828122,14.691196856588514,8.550597533049332,10.248516911921362,8.581850245254694,3.60903531731905,1.6666666666666667,1.6666666666666667,105.40000000000002,0.36000000000000004,57.361886142230766,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
8,Days8to16,100-105,clear<=.10,-10..10,6,-7.480603840385034,7.480603840385034,10.89193875960953,0.0,11.100505107016772,-5.355214236392688,-4.351158064453131,-4.8667768215732865,-6.40963193737727,-7.480603840385044,-7.480603840385044,2.1253896039923554,0.0,0.0,102.10000000000001,0.0,6.671849705461682,overforecast,consider smaller existing uplift or narrow backoff; avoid broad hot-peak offset
9,Days8to16,100-105,clear<=.10,25..50,6,7.041434699678111,7.041434699678111,9.491878926721427,9.736428909702395,0.0,7.062446598055762,8.225950205078144,8.031278497770742,5.207566867925867,7.0414346996780965,7.0414346996780965,0.02101189837766526,0.0,0.0,101.39999999999999,0.0,28.29841800499791,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
9,Days8to16,100-105,clear<=.10,10..25,4,7.038556418169556,7.038556418169556,9.788382760186336,10.298233598381614,0.0,8.452341416109377,9.004762319335953,8.5039336459039,8.213433368367568,7.038556418169556,7.038556418169556,1.4137849979398212,0.0,0.0,102.9,0.0,22.844495797082736,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
9,Days2to7,95-98,clear<=.10,>50,3,6.8757998257300414,6.8757998257300414,7.387594189800905,7.440366700708012,0.0,8.538030537781443,8.821056019531284,9.571804317467922,6.8326644606312925,6.8757998257300414,6.8757998257300414,1.6622307120514013,0.0,0.0,97.3,0.0,56.44579743702305,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
6,Days2to7,92.5-95,clear<=.10,25..50,3,6.731211359090821,6.731211359090821,8.073827988924261,8.290685729655223,0.0,5.4221556620911615,5.394706600260425,4.968502881416754,6.142881192245483,6.731211359090811,6.731211359090811,-1.3090556969996499,0.0,0.0,93.59999999999998,0.049999999999999996,40.066232653505914,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
6,Days8to16,92.5-95,clear<=.10,>50,20,6.538910605538938,6.538910605538938,11.504537711217164,13.710264960552252,0.0,3.064530324820545,4.17702355976563,3.4120871609053864,2.2005143724172185,6.538910605538933,6.538910605538933,-3.474380280718388,0.0,0.0,93.7,0.0,68.21068881321511,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
7,Days8to16,95-98,clear<=.10,-10..10,5,-6.482297396922195,6.482297396922195,8.07727789634575,0.0,9.090931485988593,-0.8711022094270902,-1.2344104374999916,-0.9512153615926934,-0.6414077622887987,-8.4822973969222,-6.482297396922195,5.611195187495104,-2.0000000000000058,-2.0,97.16,0.0,-2.12133840768941,overforecast,consider smaller existing uplift or narrow backoff; avoid broad hot-peak offset
8,Days8to16,92.5-95,clear<=.10,-50..-25,3,6.309588010440639,6.309588010440639,8.309864106333544,8.855290537717622,0.0,8.225982816970449,8.09565175260417,8.439250681028588,7.928085048983765,6.309588010440611,6.309588010440611,1.916394806529837,0.0,0.0,93.7,0.06333333333333334,-36.3097030950623,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
6,Days2to7,92.5-95,clear<=.10,10..25,9,5.951170618668259,6.302713951863195,12.725251782701063,14.66540593955196,1.02522882227845,4.371012267546815,5.044233699869788,4.1198860265861645,4.573290236964157,5.951170618668249,5.951170618668249,-1.580158351121434,0.0,0.0,93.6888888888889,0.0,16.469036456864792,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
6,Days8to16,100-105,clear<=.10,>50,26,6.102960077930998,6.275201585684027,9.33545639516683,10.209612665959696,2.239139600789372,5.5994232327179025,5.984594183819109,5.916154996287352,4.99165304679417,8.949113924084845,6.102960077930998,-0.5035368452130954,2.8461538461538463,2.8461538461538463,101.34615384615384,0.006153846153846154,68.23323676519892,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
7,Days8to16,95-98,clear<=.10,25..50,10,6.202943836553009,6.247559898222255,9.688097532390055,10.947091882102995,0.2230803083462262,25.294040084770653,26.58982774609376,25.9330875083259,23.919597658805838,17.002943836553,6.202943836553004,19.09109624821765,10.799999999999997,10.8,95.85,0.008,33.467309827953684,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
8,Days8to16,100-105,mixed .10-.60,10..25,4,4.309864154669782,5.754334780733302,7.823929342562957,8.313772898428397,2.88894125212704,7.601129003929628,9.4178520834961,7.360612240636939,7.460020180656315,5.559864154669782,4.309864154669782,3.2912648492598464,1.25,1.25,101.675,0.20750000000000002,20.88595160141802,underforecast,consider small uplift only if row-level dates are repeatable; raw/tree is structurally low after existing correction
7,Days8to16,90-92.5,clear<=.10,<=-50,9,-4.398606685410439,5.649170634744116,14.805448394298862,2.6941805559550858,16.83912753667269,-19.848272795307846,-19.898272155056404,-20.501966961209302,-18.806753574677384,-21.50971779652155,-4.398606685410439,-15.449666109897407,-17.11111111111111,-17.11111111111111,90.91111111111111,0.0,-61.96037049338684,overforecast,consider smaller existing uplift or narrow backoff; avoid broad hot-peak offset
