Slice,SliceGroup,SliceValue,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
Overall,all,all,3070,134.33930052410423,134.2998635687681,0.039436955336117734,3.9245886642928225,5.623585064131037,2.858826643691273,54.36482084690554,8.871637854119601,20.808750419490366,38.094951284718206,317.629341,319.15753880422824,-1.5281978042282276,Final_Backtest_Forecast_MWH,final_corrected_production,1.6848258609387186,30.035681145692717,3.964146993169288,0.0
Overall,all,all,3070,134.33930052410423,134.2998635687681,0.039436955336117734,3.9245886642928225,5.623585064131037,2.858826643691273,54.36482084690554,8.871637854119601,20.808750419490366,38.094951284718206,317.629341,319.15753880422824,-1.5281978042282276,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,1.6848258609387186,30.035681145692717,3.964146993169288,0.0
Overall,all,all,3070,134.33930052410423,134.00693044240418,0.33237008170007,3.9951767203089763,5.6592596198522775,2.9188484987323946,57.49185667752443,8.700588630314435,21.22648394812481,37.292848962522925,317.629341,317.9170236728245,-0.2876826728244737,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,1.6142378049225647,28.777295699250065,3.671213866805336,0.07058805601615381
Overall,all,all,3070,134.33930052410423,134.00693044240418,0.33237008170007,3.9951767203089763,5.6592596198522775,2.9188484987323946,57.49185667752443,8.700588630314435,21.22648394812481,37.292848962522925,317.629341,317.9170236728245,-0.2876826728244737,Peak_Risk_Adjusted_Forecast_MWH,peak_risk_adjusted,1.6142378049225647,28.777295699250065,3.671213866805336,0.07058805601615381
Overall,all,all,3070,134.33930052410423,133.9202270471617,0.41907347694256386,3.999916992747556,5.683967428269175,2.919035607294639,57.88273615635179,8.758874723074548,22.72297203776907,37.292848962522925,317.629341,317.9170236728245,-0.2876826728244737,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,1.609497532483985,28.692790045099215,3.584510471562842,0.07532832845473347
Overall,all,all,3070,134.33930052410423,133.7965123688752,0.5427881552290487,4.039487508969725,5.710265069892054,2.9408746827760583,58.46905537459284,8.92278375603191,22.72297203776907,37.292848962522925,317.629341,317.9170236728245,-0.2876826728244737,Residual_Calibrated_Forecast_MWH,residual_calibrated,1.5699270162618157,27.98735962906955,3.460795793276357,0.11489884467690281
Overall,all,all,3070,134.33930052410423,132.14893981613412,2.190360707970129,4.520108557097953,6.076227444572317,3.30266019156095,73.38762214983713,9.332430069533304,23.81930206017097,35.37399376671698,317.629341,312.48951743755526,5.139823562444747,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,1.089305968133588,19.419245328256864,1.8132232405352768,0.5955198928051306
Overall,all,all,3070,134.33930052410423,130.3548319904635,3.98446853364073,5.591299916000282,7.16564727176525,4.109744273730757,82.11726384364822,10.894410048215478,26.995507470188713,36.88139877862386,317.629341,313.92285216420987,3.7064888357901395,LGB_Pred_MWH,lgb_component,0.01811460923125896,0.32293226235604755,0.019115414864675717,1.6667112517074596
Overall,all,all,3070,134.33930052410423,130.33571657559884,4.003583948505406,5.609414525231541,7.173332802297779,4.129279217455176,82.11726384364822,11.02349442952617,26.43005153789305,37.94699951207673,317.629341,312.48951743755526,5.139823562444747,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,1.6848258609387186
Overall,all,all,3070,134.33930052410423,130.32424732668002,4.015053197424197,5.6314876028760885,7.196226846062943,4.148363805660182,82.41042345276874,11.155150384472657,26.516468221679673,38.58635995214843,317.629341,311.6295166015625,5.999824398437511,XGB_Pred_MWH,xgb_component,-0.022073077644547467,-0.3935005613377512,-0.011469248918791308,1.706898938583266
Overall,all,all,3046,133.93742867925147,134.16604452035455,-0.22861584110308625,8.198132030203547,13.025459007529074,5.805781983331039,51.083388049901515,19.9129955,105.481991,82.48586599999999,317.629341,298.303833,19.325508000000013,Baseline_SameHourYesterday_MWH,baseline_same_hour_yesterday,-2.5887175049720064,-46.14951334631757,3.7749681074023194,4.273543365910725
Overall,all,all,3022,133.5607152319656,134.99372699804056,-1.4330117660749742,11.187240991197095,16.626900928142167,7.94341602955011,45.86366644606221,25.73270327142859,83.96140271428573,83.07873214285718,317.629341,275.88803033333335,41.741310666666664,Baseline_Rolling7DaySameHourAvg_MWH,baseline_rolling_7day_same_hour_avg,-5.577826465965554,-99.43687422058217,2.5705721824304315,7.262652326904273
Overall,all,all,2902,131.2675379758787,134.19001819745003,-2.9224802215713304,15.4224820547898,23.47038488799628,11.113174899192174,46.55410062026189,33.83835170000003,129.25466699999998,125.67567499999998,304.358241,239.692025,64.66621600000002,Baseline_SameHour7DaysAgo_MWH,baseline_same_hour_7_days_ago,-9.813067529558259,-174.93924696451637,1.0811037269340753,11.497893390496976
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,159.8373127762356,-0.5775237449855606,5.7853052390851305,7.8591638511245066,3.7179026916888387,52.81249999999999,12.295617729584713,18.81087992522822,38.094951284718206,317.629341,319.15753880422824,-1.5281978042282276,Final_Backtest_Forecast_MWH,final_corrected_production,1.6450306720645242,22.1393849717623,3.8524141476209808,0.0
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,159.8373127762356,-0.5775237449855606,5.7853052390851305,7.8591638511245066,3.7179026916888387,52.81249999999999,12.295617729584713,18.81087992522822,38.094951284718206,317.629341,319.15753880422824,-1.5281978042282276,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,1.6450306720645242,22.1393849717623,3.8524141476209808,0.0
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,159.47803691686514,-0.21824788561513278,5.81675428684846,7.873373729967343,3.747241533599051,55.00000000000001,11.915411506943627,19.285987927142173,37.292848962522925,317.629341,317.9170236728245,-0.2876826728244737,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,1.6135816243011947,21.71613293929176,4.211690006991408,0.031449047763329574
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,159.555432894263,-0.2956438630129975,5.819572542061133,7.861465594220918,3.7523256950981896,54.6875,11.915411506943627,19.237094878775196,37.292848962522925,317.629341,317.9170236728245,-0.2876826728244737,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,1.610763369088522,21.678203897504513,4.134294029593544,0.034267302976002334
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,159.555432894263,-0.2956438630129975,5.819572542061133,7.861465594220918,3.7523256950981896,54.6875,11.915411506943627,19.237094878775196,37.292848962522925,317.629341,317.9170236728245,-0.2876826728244737,Peak_Risk_Adjusted_Forecast_MWH,peak_risk_adjusted,1.610763369088522,21.678203897504513,4.134294029593544,0.034267302976002334
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,159.18576967661002,0.0740193546399794,5.903993858725173,7.903500035603359,3.79642047583452,55.78125000000001,11.630384339289385,19.285987927142173,37.292848962522925,317.629341,317.9170236728245,-0.2876826728244737,Residual_Calibrated_Forecast_MWH,residual_calibrated,1.5263420524244822,20.542032966963397,4.355918537966562,0.11868861964004207
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,157.08379572370956,2.1759933075404314,6.280226092677784,8.130806335796935,4.038924207904657,69.0625,12.68532191211941,20.520037503309652,35.37399376671698,317.629341,312.48951743755526,5.139823562444747,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,1.1501098184718703,15.478570985546739,2.25394458506611,0.4949208535926539
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,154.84140043272456,4.418388598525455,7.406148126042643,9.266611875431172,4.781051707600654,76.40625,15.112657609208956,23.757607561701292,36.88139877862386,317.629341,313.92285216420987,3.7064888357901395,LGB_Pred_MWH,lgb_component,0.024187785107011806,0.32552747811463834,0.011549294081086181,1.6208428869575124
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,154.82985113864348,4.429937892606541,7.430335911149655,9.309781774932185,4.803465554557775,76.875,15.093460468966041,23.3125178482386,37.94699951207673,317.629341,312.48951743755526,5.139823562444747,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,1.6450306720645242
PeakWindowHours14to18,risk_slice,peak_window,640,159.25978903125,154.82292156219484,4.4368674690551755,7.458748369198608,9.36119265604507,4.823845320754315,77.34375,15.161685667968763,23.472010949707027,38.58635995214843,317.629341,311.6295166015625,5.999824398437511,XGB_Pred_MWH,xgb_component,-0.02841245804895287,-0.38238457034382944,-0.006929576448634123,1.6734431301134771
PeakWindowHours14to18,risk_slice,peak_window,635,158.66431813228346,158.78185352440946,-0.11753539212598425,12.58786115905512,19.132414190499336,7.715987546159023,52.75590551181102,28.63452860000001,105.481991,82.48586599999999,317.629341,298.303833,19.325508000000013,Baseline_SameHourYesterday_MWH,baseline_same_hour_yesterday,-5.157525247905465,-69.41173736393661,4.312402500480557,6.802555919969989
PeakWindowHours14to18,risk_slice,peak_window,630,157.92995657301586,160.31517269008694,-2.3852161170710513,17.61824808202192,25.03711144266638,10.846442331186354,46.507936507936506,45.40124957142858,83.96140271428573,83.07873214285718,317.629341,275.88803033333335,41.741310666666664,Baseline_Rolling7DaySameHourAvg_MWH,baseline_rolling_7day_same_hour_avg,-10.187912170872266,-137.11240370148954,2.04472177553549,11.832942842936792
PeakWindowHours14to18,risk_slice,peak_window,605,153.2283907140496,157.9491315090909,-4.720740795041324,24.503896014876034,36.04892808774223,15.48078398044789,49.917355371900825,67.40128960000003,129.25466699999998,125.67567499999998,304.358241,239.692025,64.66621600000002,Baseline_SameHour7DaysAgo_MWH,baseline_same_hour_7_days_ago,-17.07356010372638,-229.78180674317161,-0.29080290243478224,18.718590775790904
HotPeakDailyMax90Plus,risk_slice,hot_peak,80,254.85525048749997,254.26703307691614,0.5882174105838786,6.0091840056994394,7.975253661780041,2.448047226046357,60.0,11.539193529504292,12.832384093106242,26.850219097652086,317.629341,312.48951743755526,5.139823562444747,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,0.0,0.0,0.0,-0.5812823860755207
HotPeakDailyMax90Plus,risk_slice,hot_peak,80,254.85525048749997,254.26703307691614,0.5882174105838786,6.0091840056994394,7.975253661780041,2.448047226046357,60.0,11.539193529504292,12.832384093106242,26.850219097652086,317.629341,312.48951743755526,5.139823562444747,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,-0.5812823860755207
HotPeakDailyMax90Plus,risk_slice,hot_peak,80,254.85525048749997,254.06036243606673,0.794888051433259,6.078323811603431,7.985637424778984,2.461519121751263,57.49999999999999,11.811470110101716,13.148925534090552,26.942191682280736,317.629341,313.92285216420987,3.7064888357901395,LGB_Pred_MWH,lgb_component,-0.06913980590399138,-1.1505689597525288,-0.20667064084938047,-0.5121425801715294
HotPeakDailyMax90Plus,risk_slice,hot_peak,80,254.85525048749997,254.3910354614258,0.4642150260742195,6.080047404174802,8.070602060653854,2.485280094828366,61.25000000000001,12.12510907011718,12.765171118164062,26.795035546875,317.629341,311.6295166015625,5.999824398437511,XGB_Pred_MWH,xgb_component,-0.07086339847536216,-1.1792515990216215,0.12400238450965906,-0.5104189876001586
HotPeakDailyMax90Plus,risk_slice,hot_peak,80,254.85525048749997,258.0951859785979,-3.239935491097904,6.2747667461085985,8.748277121976674,2.5461743301453668,32.5,14.048045740780749,9.983866820574917,31.814979813894524,317.629341,317.9170236728245,-0.2876826728244737,Residual_Calibrated_Forecast_MWH,residual_calibrated,-0.2655827404091591,-4.419614046720251,-2.6517180805140255,-0.31569964566636166
HotPeakDailyMax90Plus,risk_slice,hot_peak,80,254.85525048749997,258.0951859785979,-3.239935491097904,6.2747667461085985,8.748277121976674,2.5461743301453668,32.5,14.048045740780749,9.983866820574917,31.814979813894524,317.629341,317.9170236728245,-0.2876826728244737,Warm_Ramp_Adjusted_Forecast_MWH,warm_ramp_adjusted,-0.2655827404091591,-4.419614046720251,-2.6517180805140255,-0.31569964566636166
HotPeakDailyMax90Plus,risk_slice,hot_peak,80,254.85525048749997,258.1182647859507,-3.2630142984507087,6.303136573834723,8.777089424052544,2.556288037264561,32.5,14.048045740780749,9.983866820574917,31.814979813894524,317.629341,317.9170236728245,-0.2876826728244737,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,-0.2939525681352837,-4.891721868667743,-2.67479688786683,-0.28732981794023704
