Candidate,Description,Rows,Current_Bias_MWH,Current_MAE_MWH,Counterfactual_Bias_MWH,Counterfactual_MAE_MWH,MAE_Improvement_MWH,Current_MaxUnder_MWH,Current_MaxOver_MWH,Counterfactual_MaxUnder_MWH,Counterfactual_MaxOver_MWH
july_d8_16_clear_92p5_95_rawplus10_25_plus6,"Add +6 MWh only for July day-8..16 HE16-20, 92.5-95F, clear, raw minus 7-day same-hour 10..25 MWh.",5,10.780418822781211,10.780418822781211,4.780418822781212,4.794862493616597,5.9855563291646146,16.66733138062952,0.0,10.66733138062952,0.03610917708846273
august_100_plus_finish_up_min_rawminus20_removed_rows,Rows that would lose the existing August +5 finish-up if that rule required raw minus 7-day same-hour >=20 MWh.,6,-9.860010568904395,9.860010568904395,-4.8600105689043955,4.962203857579851,4.897806711324543,0.0,16.100505107016772,0.3065798660263681,11.100505107016772
june_d8_16_clear_98_100_rawplus10_25_minus6,"Apply -6 MWh only for June day-8..16 HE16-20, 98-100F, clear, raw minus 7-day same-hour 10..25 MWh.",7,-7.2758396075066925,7.402839925146403,-1.275839607506693,3.4401666192761207,3.9626733058702825,0.4445011117389867,17.415705495090435,6.444501111738987,11.415705495090435
august_100_plus_finish_up_min_rawminus20_all_rule_hits,All current August +5 finish-up hits after applying a >=20 MWh raw-minus gate to the low-state subset.,12,-3.771353876923437,6.764211254014621,-1.2713538769234372,4.315307898352349,2.4489033556622726,5.685341405856832,16.100505107016772,5.685341405856832,11.100505107016772
